"","施設数","１軽症／施設数","１軽症／割合","２中等症／施設数","２中等症／割合","３重症／施設数","３重症／割合","無回答／施設数","無回答／割合"
"認可保育所＊","131","72","55.0","46","35.1","10","7.6","3","2.3"
"認証保育所＊","22","12","54.5","10","45.5","","","",""
"認定こども園＊","4","2","50.0","1","25.0","","","1","25.0"
"幼稚園＊","14","7","50.0","5","35.7","2","14.3","",""
"ベビーホテル","6","","","5","83.3","","","1","16.7"
"家庭的保育","11","7","63.6","3","27.3","","","1","9.1"
"学童保育","20","13","65.0","5","25.0","2","10.0","",""
"上記以外の施設","3","1","33.3","2","66.7","","","",""
"総数","211","114","54.0","77","36.5","14","6.6","6","2.8"
"＊前回調査施設 (再掲）","171","93","54.4","62","36.3","12","7.0","4","2.3"
