"区市町村名","地域自立支援協議会の活動状況（27年度実績）／設置状況／設置","地域自立支援協議会の活動状況（27年度実績）／設置状況／設置年月","地域自立支援協議会の活動状況（27年度実績）／運営方法","地域自立支援協議会の活動状況（27年度実績）／全体会／回数","地域自立支援協議会の活動状況（27年度実績）／全体会／委員数","地域自立支援協議会の活動状況（27年度実績）／専門部会等／部会名","地域自立支援協議会の活動状況（27年度実績）／専門部会等／回数","地域自立支援協議会の活動状況（27年度実績）／専門部会等／委員数"
"1／千代田区","済","H21.3","直営","3","23","計画部会","0","13"
"1／千代田区","済","H21.3","直営","3","23","相談支援部会","1","11"
"1／千代田区","済","H21.3","直営","3","23","高次脳機能障害専門部会","1","8"
"2／中央区","済","H19.7","直営","4","17","障害者（児）サービス部会","4","9"
"2／中央区","済","H19.7","直営","4","17","地域移行・地域定着部会","4","11"
"2／中央区","済","H19.7","直営","4","17","就労支援部会","6","12"
"2／中央区","済","H19.7","直営","4","17","子ども発達支援のあり方検討部会","4","12"
"3／港区","済","H19.10","直営","2","15","相談支援部会","12","20"
"3／港区","済","H19.10","直営","2","15","就労支援部会","3","23"
"3／港区","済","H19.10","直営","2","15","地域生活支援部会","4","16"
"4／新宿区","済","H19.3","直営","3","16","権利擁護部会","2","9"
"4／新宿区","済","H19.3","直営","3","16","相談支援部会","2","9"
"5／文京区","済","H20.3","直営","4","21","相談支援専門部会","3","16"
"5／文京区","済","H20.3","直営","4","21","就労支援専門部会","3","22"
"5／文京区","済","H20.3","直営","4","21","権利擁護専門部会","4","17"
"5／文京区","済","H20.3","直営","4","21","障害当事者部会","3","10"
"6／台東区","済","H20.3","直営","3","14","就労部会","12","7"
"6／台東区","済","H20.3","直営","3","14","相談支援部会","11","11"
"6／台東区","済","H20.3","直営","3","14","くらしの部会","12","11"
"7／墨田区","済","H19.10","直営","2","20","卒後対策部会","2","24"
"7／墨田区","済","H19.10","直営","2","20","就労支援部会","1","22"
"7／墨田区","済","H19.10","直営","2","20","児童発達支援部会","2","19"
"7／墨田区","済","H19.10","直営","2","20","居住系サービス部会","1","7"
"8／江東区","済","H20.3","直営","2","17","精神部会","5","23"
"8／江東区","済","H20.3","直営","2","17","相談支援部会","4","22"
"8／江東区","済","H20.3","直営","2","17","就労支援部会","3","20"
"8／江東区","済","H20.3","直営","2","17","児童部会","2","18"
"8／江東区","済","H20.3","直営","2","17","権利擁護部会","6","18"
"9／品川区","済","H20.3","直営","2","25","相談支援部会","2","12"
"9／品川区","済","H20.3","直営","2","25","社会資源強化推進部会","2","13"
"9／品川区","済","H20.3","直営","2","25","就労支援部会","0","0"
"9／品川区","済","H20.3","直営","2","25","日常生活用具検討部会","1","4"
"9／品川区","済","H20.3","直営","2","25","子ども支援部会","2","21"
"10／目黒区","済","H21.2","直営","3","24","相談支援部会","11","25"
"10／目黒区","済","H21.2","直営","3","24","一般就労部会","7","17"
"10／目黒区","済","H21.2","直営","3","24","施設就労部会","3","18"
"10／目黒区","済","H21.2","直営","3","24","意思疎通支援部会","4","11"
"10／目黒区","済","H21.2","直営","3","24","高齢化・ｸﾞﾙｰﾌﾟﾎｰﾑ対策部会","5","12"
"10／目黒区","済","H21.2","直営","3","24","防災部会","1","11"
"10／目黒区","済","H21.2","直営","3","24","子ども部会","11","19"
"11／大田区","済","H20.7","直営","3","22","相談支援部会","10","19"
"11／大田区","済","H20.7","直営","3","22","防災部会","9","12"
"11／大田区","済","H20.7","直営","3","22","就労支援部会","10","16"
"11／大田区","済","H20.7","直営","3","22","こども部会","10","14"
"11／大田区","済","H20.7","直営","3","22","地域移行部会","10","19"
"12／世田谷区","済","H19.10","委託","2","44","世田谷エリア自立支援協議会","3","12"
"12／世田谷区","済","H19.10","委託","2","44","北沢エリア自立支援協議会","2","17"
"12／世田谷区","済","H19.10","委託","2","44","玉川エリア自立支援協議会","3","13"
"12／世田谷区","済","H19.10","委託","2","44","砧エリア自立支援協議会","2","20"
