"","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／合計","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／就労時間の短縮","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／家事のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／育児のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／介護のサポート","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／健康状態の改善","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／通勤･通学時間の短縮","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／睡眠環境を整える","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／就寝前に携帯電話、メール、ゲームなどに熱中しない","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／その他","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／特にない","問11 あなたが、自分の睡眠の確保のために必要なことは何ですか｡最もあてはまる番号を1つ選んで○印をつけて下さい。／無回答","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／合計","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／毎日吸っている","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／時々吸う日がある","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／以前は吸っていたが、1ヶ月以上吸っていない","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／吸わない","問12 あなたはたばこを吸いますか｡あてはまる番号1つに○印をつけて下さい。／無回答"
"全体総数(人)","411","37","15","9","6","38","8","45","31","32","180","10","411","73","9","30","299","0"
"全体総数(%)","100.00","9.00","3.60","2.20","1.5","9.20","1.9","10.90","7.50","7.80","43.80","2.40","100.00","17.80","2.20","7.30","72.70","0.00"
"20～29歳(人)","38","6","1","3","0","1","2","6","7","1","9","2","38","2","5","2","29","0"
"20～29歳(%)","100.00","15.80","2.60","7.90","0.00","2.60","5.30","15.80","18.40","2.60","23.70","5.30","100.00","5.30","13.20","5.30","76.30","0.00"
"30～39歳(人)","39","7","1","4","0","3","2","1","9","0","12","0","39","13","0","5","21","0"
"30～39歳(%)","100.00","17.90","2.60","10.30","0.00","7.70","5.10","2.60","23.10","0.00","30.80","0.00","100.00","33.30","0.00","12.80","53.80","0.00"
"40～49歳(人)","77","10","7","2","1","6","1","8","9","6","24","3","77","15","0","3","59","0"
"40～49歳(%)","100.00","13.00","9.10","2.60","1.3","7.80","1.3","10.40","11.7","7.80","31.20","3.90","100.00","19.50","0.00","3.90","76.60","0.00"
"50～59歳(人)","67","11","1","0","0","5","2","11","4","5","23","5","67","16","1","9","41","0"
"50～59歳(%)","100.00","16.40","1.5","0.00","0.00","7.50","3.00","16.40","6.00","7.50","34.30","7.50","100.00","23.90","1.5","13.40","61.20","0.00"
"60～69歳(人)","85","2","4","0","0","9","0","12","2","11","45","0","85","15","1","0","69","0"
"60～69歳(%)","100.00","2.40","4.70","0.00","0.00","10.60","0.00","14.10","2.40","12.90","52.90","0.00","100.00","17.60","1.2","0.00","81.20","0.00"
"70歳～(人)","105","1","1","0","5","14","1","7","0","9","67","0","105","12","2","11","80","0"
"70歳～(%)","100.00","1","1","0.00","4.80","13.30","1","6.70","0.00","8.60","63.80","0.00","100.00","11.4","1.9","10.50","76.20","0.00"
"男性総数(人)","193","25","2","2","2","17","5","26","15","11","81","7","193","58","6","19","110","0"
"男性総数(%)","100.00","13.00","1","1","1","8.80","2.60","13.50","7.80","5.70","42.00","3.60","100.00","30.10","3.10","9.80","57.00","0.00"
"20～29歳(人)","19","3","0","0","0","0","1","5","4","0","5","1","19","1","3","2","13","0"
"20～29歳(%)","100.00","15.80","0.00","0.00","0.00","0.00","5.30","26.30","21.1","0.00","26.30","5.30","100.00","5.30","15.80","10.50","68.40","0.00"
"30～39歳(人)","25","7","0","1","0","2","0","1","5","0","9","0","25","12","0","3","10","0"
"30～39歳(%)","100.00","28.00","0.00","4.00","0.00","8.00","0.00","4.00","20.00","0.00","36.00","0.00","100.00","48.00","0.00","12.00","40.00","0.00"
"40～49歳(人)","29","7","0","1","0","2","1","5","2","1","8","2","29","11","0","2","16","0"
"40～49歳(%)","100.00","24.10","0.00","3.40","0.00","6.90","3.40","17.20","6.90","3.40","27.60","6.90","100.00","37.90","0.00","6.90","55.20","0.00"
"50～59歳(人)","34","6","0","0","0","3","2","5","4","3","7","4","34","11","1","7","15","0"
"50～59歳(%)","100.00","17.60","0.00","0.00","0.00","8.80","5.90","14.70","11.8","8.80","20.60","11.8","100.00","32.40","2.90","20.60","44.10","0.00"
"60～69歳(人)","36","1","1","0","0","4","0","8","0","2","20","0","36","11","0","0","25","0"
"60～69歳(%)","100.00","2.80","2.80","0.00","0.00","11.1","0.00","22.20","0.00","5.60","55.60","0.00","100.00","30.60","0.00","0.00","69.40","0.00"
"70歳～(人)","50","1","1","0","2","6","1","2","0","5","32","0","50","12","2","5","31","0"
"70歳～(%)","100.00","2.00","2.00","0.00","4.00","12.00","2.00","4.00","0.00","10.00","64.00","0.00","100.00","24.00","4.00","10.00","62.00","0.00"
