"事項","規模","対象","内容","参加者数（人）"
"相談普及啓発／アレルギー講演会","１回500名","アレルギー疾患のある患者や家族、保健医療・福祉・教育等関係者、区市町村職員、その他関心のある都民等","日時：平成29年2月10日（金）内容：「アトピー性皮膚炎の基礎知識と対応」、「スキンケアのポイントと工夫」講師：江藤隆史医師、益子育代小児アレルギーエデュケーター会場：第一本庁舎5階大会議場","200"
"相談普及啓発／都保健所アレルギー対策事業","６所","多摩地域及び島しょの保育施設、学校、医療機関等の職員等","都保健所（島しょ含む）6か所にて実施開催規模：各所1～2回","487（6所実施分）"
"人材育成／アレルギー相談実務研修／子供","3日各300名","すべての保育所職員、幼稚園教職員、学童保育職員、児童養護施設職員、児童相談所職員、区市町村主管課職員、都保健所等の職員等","日時：平成28年9月28日（水）内容：「アトピー性皮膚炎について」「アトピー性皮膚炎のスキンケアについて」講師：江藤隆史医師、益子育代小児アレルギーエデュケーター会場：新宿明治安田生命ホール","309"
"人材育成／アレルギー相談実務研修／子供","3日各300名","すべての保育所職員、幼稚園教職員、学童保育職員、児童養護施設職員、児童相談所職員、区市町村主管課職員、都保健所等の職員等","日時：平成28年10月25日（火）内容：「小児ぜん息について」「室内環境のあり方と注意点」「鼻アレルギー・花粉症について」講師：山口公一医師、後藤穣医師、都職員会場：新宿明治安田生命ホール","298"
"人材育成／アレルギー相談実務研修／子供","3日各300名","すべての保育所職員、幼稚園教職員、学童保育職員、児童養護施設職員、児童相談所職員、区市町村主管課職員、都保健所等の職員等","日時：平成28年11月16日（水）内容：「保育場面でのアレルギー対応食の取り組み」「家族の立場から」「食物アレルギーについて」講師：長谷川実穂栄養士、廣崎道代氏、古川真弓医師会場：ベルサール飯田橋ファースト","422"
"人材育成／アレルギー相談実務研修／成人","2回各100名","訪問看護ステーション職員、介護保険・福祉施設職員、企業の健康管理担当者、薬局職員、区市町村主管課職員、都保健所等の職員等","日時：(1)平成28年9月14日（水）、(2)12月1日（木）内容：(1)「成人ぜん息と吸入支援について」(2)「成人ぜん息について」「アトピー性皮膚炎について」講師：(1)駒瀬裕子医師、長瀬洋之医師、武川篤之氏、NPO法人吸入療法のステップアップをめざす会(2)粒来崇博医師、江藤隆史医師会場：東京都健康プラザハイジア4階会議室","(1)71／(2)76／合計147人"
"人材育成／ぜん息・食物アレルギー緊急時対応研修","4回／(1)1100／(2)750／(3)1000／(4)750","すべての保育所職員、学童保育職員、児童養護施設職員、児童相談所職員、区市町村主管課職員、都保健所等の職員等","日時：(1)平成28年8月19日（金）、(2)10月14日（金）、(3)12月9日（金）、(4)1月21日（土）の4回内容：ぜん息・食物アレルギーの知識と対応エピペン実習講師：赤澤晃医師、今井孝成医師会場：(1)有楽町よみうりホール(2)ベルサール新宿セントラルパーク(3)たましんRISURUホール(4)ベルサール新宿セントラルパーク","(1)808／(2)683／(3)608／(4)600／合計2699人"
"人材育成／アレルギー対応体制強化研修","2回各100名","保育所等の設置者・管理者・健康安全に関する責任者、区市町村職員及び都保健所職員（ただし、平成28年度の対象は区市町村保健・保育施設等主管課職員、都保健所職員等）","日時：(1)平成28年10月21日（金）、(2)1月27日（金）内容：「アレルギー疾患対策基本法における施設設置者及び管理者の責務について」「都内保育施設等におけるアレルギー疾患の状況」「区市町村職員が知っておくべきアレルギー疾患の基礎知識」「アレルギー児の安全な保育を支えるために」「皆に聴きたい！こんなとき、他の自治体はどうしているの？」（情報・意見交換）講師：(1)赤澤医晃医師、馬場耕一郎氏（厚労省保育課保育指導専門官）(2)今井孝成医師、牧野千明栄養士会場：東京都健康プラザハイジア4階研修室","(1)63(2)42／合計105人"
"人材育成／医師向けアレルギー講習会","2回各100名","医師会会員及び看護師、保育所等の看護師・栄養士等","【区部】日時：平成28年11月26日（土）内容：ぜん息とCOPD、最適な診断と治療に向けて講師：放生雅章医師会場：東京都医師会【多摩部】日時：平成28年12月10日（土）会場：京王プラザホテル八王子講師・内容は同上","(1)24(2)７／合計31人"
"検討部会／東京都アレルギー疾患対策検討部会","4回","保育園・幼稚園・学校における食物アレルギー日常生活緊急時対応ガイドブックの改定","部会委員：赤澤晃医師、今井孝成医師、古川真弓医師","4回"
