"(単位 人 ％ 世帯)","1月1日の住民基本台帳人ロによる世帯数","母子家庭出現率","推計母子世帯数","父子家庭出現率","推計父子家庭数"
"H10","5239545","2.04","106900","0.35","18400"
"H11","5324604","2.04","108700","0.35","18700"
"H12","5401662","2.04","110200","0.35","19000"
"H13","5489639","2.04","112000","0.35","19300"
"H14","5585847","2.05","114600","0.36","20200"
"H15","5679978","2.05","116500","0.36","20500"
"H16","5760580","2.05","118100","0.36","20800"
"H17","5842829","2.05","119800","0.36","21100"
"H18","5932890","2.05","121700","0.36","21400"
"H19","6029100","2.38","143500","0.29","17500"
"H20","6125824","2.38","145800","0.29","17800"
"H21","6210852","2.38","147900","0.29","18100"
"H22","6275360","2.38","149400","0.29","18200"
"H23","6324293","2.38","150600","0.29","18400"
"H24","6368485","2.38","151600","0.29","18500"
"H25","6633677","2.38","157900","0.29","19300"
"H26","6699669","2.38","159500","0.29","19500"
