"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","1.044","1.021","1.068","1.014","1.076","0.00016"
"2)居住年数","0.987","0.975","1","0.971","1.004","0.0424"
"3)性別","","","","","","0.02788"
"3)性別／男","1","","","","",""
"3)性別／女","0.574","0.35","0.941","0.299","1.1",""
"4)都市区分","","","","","","0.85189"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","0.94","0.489","1.807","0.398","2.219",""
"5)本人アレルギー","","","","","","0.04122"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","1.552","1.018","2.367","0.891","2.702",""
"6)家族アレルギー","","","","","","0.03475"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.548","1.032","2.323","0.908","2.638",""
"7)住宅構造","","","","","","0.18622"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","0.753","0.495","1.147","0.433","1.309",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.45943"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","0.861","0.578","1.281","0.51","1.451",""
"9)居間・寝室のカビ","","","","","","0.0234"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","1.731","1.077","2.783","0.928","3.23",""
"10)部屋の窓（換気）","","","","","","0.90212"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","0.965","0.55","1.694","0.461","2.021",""
"11)暖房形態","","","","","","0.11429"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","1.448","0.915","2.293","0.792","2.65",""
"12)暖房中の換気","","","","","","0.4307"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.794","0.447","1.41","0.373","1.689",""
"13)暖房器具の熱源","","","","","","0.2822"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","0.643","0.288","1.438","0.223","1.851",""
"14)ペットの室内飼育","","","","","","0.33793"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","1.241","0.798","1.93","0.694","2.218",""
"15)粉塵職場の経験","","","","","","0.01815"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","2.213","1.145","4.278","0.931","5.262",""
"16)自動車排ガス関連の職業経験","","","","","","0.55436"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","1.197","0.66","2.171","0.547","2.618",""
"17)喫煙習慣","","","","","","0.00192"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","2.267","1.323","3.883","1.117","4.599",""
"17)喫煙習慣／現喫煙","1.046","0.602","1.818","0.506","2.164",""
"18)家庭内受動喫煙","","","","","","0.85598"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","1.042","0.671","1.616","0.585","1.855",""
"19)職場の受動喫煙","","","","","","0.99294"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","1.002","0.636","1.58","0.551","1.823",""
"20)距離区分","","","","","","0.33834"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","1.409","0.78","2.546","0.647","3.067",""
"20)距離区分／51～100m","1.196","0.625","2.288","0.51","2.806",""
"20)距離区分／101～150m","1.669","0.953","2.924","0.799","3.487",""
"20)距離区分／151～200m","1.55","0.847","2.836","0.7","3.429",""
