"支出月","科目","支出目的","支出額(円)","支出相手先",""
"9","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","12000000","（医）秀仁会",""
"11","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","51676000","（社福）東京玉葉会",""
"12","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","89244000","（社福）東京優貴会外１法人",""
"1","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","33600000","杉並区外１市",""
"2","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","18000000","（社福）江寿会",""
"3","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","103200000","（社福）太陽会外１法人",""
"3","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","14093000","渋谷区",""
"3","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","122798000","江東区外５区市",""
"3","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","14400000","足立区",""
"4","負担金補助及交付金","補助金交付（定期借地権の一時金に対する補助）","150000000","（福）園盛会",""
"4","負担金補助及交付金","補助金交付（定期借地権の一時金に対する補助）","239964000","（福）紫水会",""
"4","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","219000000","（医）国立あおやぎ会外３法人",""
"4","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","39068000","中央区外１区",""
"5","負担金補助及交付金","補助金交付（定期借地権の一時金に対する補助）","94320000","（福）相愛福祉会",""
"5","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","700800000","（社福）桃山福祉会外１３法人",""
"5","負担金補助及交付金","補助金交付（施設開設準備経費助成特別対策事業）","197103000","墨田区外１１区市",""
"5","雑入","介護職員処遇改善（返還金の歳出戻入）","-71872","株式会社若菜ＪＡＰＡＮ",""
"","","","2099194128","",""
