"","総数","施設で独自に作成したマニュアル／施設数","施設で独自に作成したマニュアル／割合","区市町村が作成したマニュアル／施設数","区市町村が作成したマニュアル／割合","東京都作成の「食物アレルギー緊急時対応マニュアル」／施設数","東京都作成の「食物アレルギー緊急時対応マニュアル」／割合","東京都作成の「保育園・幼稚園・学校における食物アレルギー対応ガイドブック」／施設数","東京都作成の「保育園・幼稚園・学校における食物アレルギー対応ガイドブック」／割合","厚生労働省作成の「保育所におけるアレルギー対応ガイドライン」／施設数","厚生労働省作成の「保育所におけるアレルギー対応ガイドライン」／割合","日本学校保健会作成の「学校のアレルギー疾患に対する取り組みガイドライン」／施設数","日本学校保健会作成の「学校のアレルギー疾患に対する取り組みガイドライン」／割合","特にガイドライン等は備えていない／施設数","特にガイドライン等は備えていない／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","831","52.3","854","53.8","1225","77.1","883","55.6","1092","68.8","141","8.9","6","0.4","42","2.6","27","1.7"
"認証保育所＊","527","315","59.8","176","33.4","380","72.1","216","41.0","285","54.1","15","2.8","7","1.3","17","3.2","6","1.1"
"認定こども園＊","95","39","41.1","30","31.6","75","78.9","50","52.6","42","44.2","15","15.8","6","6.3","2","2.1","2","2.1"
"幼稚園＊","666","101","15.2","111","16.7","440","66.1","264","39.6","78","11.7","114","17.1","95","14.3","30","4.5","24","3.6"
"ベビーホテル","331","92","27.8","86","26.0","221","66.8","67","20.2","87","26.3","5","1.5","36","10.9","11","3.3","13","3.9"
"家庭的保育","596","15","2.5","150","25.2","208","34.9","81","13.6","79","13.3","9","1.5","132","22.1","34","5.7","111","18.6"
"学童保育","1169","261","22.3","560","47.9","892","76.3","221","18.9","135","11.5","46","3.9","39","3.3","89","7.6","28","2.4"
"上記以外の施設","376","111","29.5","62","16.5","243","64.6","95","25.3","132","35.1","11","2.9","37","9.8","15","8.4","9","2.4"
"総数","5348","1765","33.0","2029","37.9","3684","68.9","1877","35.1","1930","36.1","356","6.7","358","6.7","240","4.5","220","4.1"
"＊前回調査施設 (再掲）","2876","1286","44.7","1171","40.7","2120","73.7","1413","49.1","1497","52.1","285","9.9","114","4.0","91","3.2","59","2.1" 
