"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1575","1454","92.3","207","13.1","1169","74.2","686","43.6","1180","74.9","69","4.4","82","5.2","11","0.7"
"認証保育所＊","526","498","94.7","37","7.0","413","78.5","200","38.0","324","61.6","21","4.0","16","3.0","3","0.6"
"認定こども園＊","93","81","87.1","17","18.3","60","64.5","30","32.3","55","59.1","21","22.6","3","3.2","2","2.2"
"幼稚園＊","381","302","79.3","85","22.3","151","39.6","67","17.6","137","36.0","189","49.6","33","8.7","2","0.5"
"ベビーホテル","246","156","63.4","24","9.8","127","51.6","55","22.4","97","39.4","74","30.1","17","6.9","3","1.2"
"家庭的保育","142","46","32.4","4","2.8","43","30.3","30","21.1","33","23.2","30","21.1","31","21.8","7","4.9"
"学童保育","122","12","9.8","2","1.6","50","41.0","27","22.1","65","53.3","49","40.2","16","13.1","1","0.8"
"上記以外の施設","251","132","52.6","27","10.8","137","54.6","76","30.3","116","46.2","74","29.5","18","7.2","2","0.8"
"総数","3336","2681","80.4","403","12.1","2150","64.4","1171","35.1","2007","60.2","527","15.8","216","6.5","31","0.9"
"＊前回調査施設 (再掲）","2575","2335","90.7","346","13.4","1793","69.6","983","38.2","1696","65.9","300","11.7","134","5.2","18","0.7" 
