"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","56","100","3","100","1","100","8","100","6","100","16","100","22","100","11","100","12","100","8","100","2","100"
"男／40mg/dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／40～50未満","1","1.8","0","0","0","0","0","0","0","0","0","0","1","4.5","0","0","1","8.3","0","0","0","0"
"男／50～60未満","2","3.6","1","33.3","0","0","0","0","0","0","1","6.3","0","0","1","9.1","0","0","0","0","0","0"
"男／60～70未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／70～80未満","4","7.1","1","33.3","0","0","1","12.5","0","0","2","12.5","0","0","2","18.2","0","0","0","0","0","0"
"男／80～90未満","3","5.4","0","0","0","0","0","0","0","0","1","6.3","2","9.1","1","9.1","1","8.3","1","12.5","0","0"
"男／90～100未満","4","7.1","0","0","0","0","1","12.5","1","16.7","0","0","2","9.1","0","0","0","0","2","25","0","0"
"男／100～110未満","8","14.3","0","0","0","0","1","12.5","1","16.7","4","25","2","9.1","2","18.2","1","8.3","1","12.5","0","0"
"男／110～120未満","9","16.1","0","0","1","100","1","12.5","2","33.3","1","6.3","4","18.2","1","9.1","3","25","1","12.5","0","0"
"男／120～130未満","8","14.3","0","0","0","0","1","12.5","0","0","3","18.8","4","18.2","1","9.1","1","8.3","2","25","1","50"
"男／130～140未満","5","8.9","1","33.3","0","0","1","12.5","0","0","0","0","3","13.6","0","0","2","16.7","0","0","1","50"
"男／140～150未満","4","7.1","0","0","0","0","1","12.5","0","0","1","6.3","2","9.1","1","9.1","2","16.7","0","0","0","0"
"男／150～160未満","1","1.8","0","0","0","0","0","0","1","16.7","0","0","0","0","0","0","0","0","0","0","0","0"
"男／160～170未満","3","5.4","0","0","0","0","0","0","0","0","2","12.5","1","4.5","1","9.1","1","8.3","0","0","0","0"
"男／170～180未満","2","3.6","0","0","0","0","0","0","0","0","1","6.3","1","4.5","1","9.1","0","0","1","12.5","0","0"
"男／180～190未満","1","1.8","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／190～200未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／200～210未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／210～220未満","1","1.8","0","0","0","0","0","0","1","16.7","0","0","0","0","0","0","0","0","0","0","0","0"
"男／220～230未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／230～240未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／240mg/dl以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／平均値mg/dl","118.1","","89.7","","112","","123.1","","132.7","","115.7","","118.3","","111","","119.4","","114.1","","128.5",""
"男／標準偏差","32.7","","38.1","","0","","33.9","","43.2","","34","","28.7","","37.6","","31.8","","28.7","","4.9",""
"女／総数","81","100","4","100","2","100","24","100","13","100","22","100","16","100","14","100","5","100","9","100","2","100"
"女／40mg/dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／40～50未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／50～60未満","1","1.2","0","0","0","0","0","0","0","0","0","0","1","6.3","0","0","0","0","1","11.1","0","0"
"女／60～70未満","1","1.2","0","0","1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／70～80未満","2","2.5","0","0","1","50","1","4.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／80～90未満","8","9.9","1","25","0","0","3","12.5","0","0","2","9.1","2","12.5","2","14.3","1","20","0","0","1","50"
"女／90～100未満","5","6.2","1","25","0","0","1","4.2","1","7.7","2","9.1","0","0","2","14.3","0","0","0","0","0","0"
"女／100～110未満","6","7.4","0","0","0","0","2","8.3","2","15.4","1","4.5","1","6.3","1","7.1","0","0","1","11.1","0","0"
"女／110～120未満","10","12.3","1","25","0","0","3","12.5","2","15.4","2","9.1","2","12.5","1","7.1","0","0","2","22.2","0","0"
"女／120～130未満","13","16","0","0","0","0","3","12.5","2","15.4","5","22.7","3","18.8","3","21.4","2","40","1","11.1","0","0"
"女／130～140未満","10","12.3","1","25","0","0","4","16.7","1","7.7","3","13.6","1","6.3","3","21.4","0","0","1","11.1","0","0"
"女／140～150未満","6","7.4","0","0","0","0","1","4.2","1","7.7","3","13.6","1","6.3","0","0","1","20","0","0","0","0"
"女／150～160未満","7","8.6","0","0","0","0","3","12.5","1","7.7","1","4.5","2","12.5","1","7.1","0","0","2","22.2","0","0"
"女／160～170未満","6","7.4","0","0","0","0","2","8.3","2","15.4","2","9.1","0","0","1","7.1","0","0","0","0","0","0"
"女／170～180未満","2","2.5","0","0","0","0","1","4.2","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0"
"女／180～190未満","3","3.7","0","0","0","0","0","0","0","0","0","0","3","18.8","0","0","1","20","1","11.1","1","50"
"女／190～200未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／200～210未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／210～220未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／220～230未満","1","1.2","0","0","0","0","0","0","0","0","1","4.5","0","0","0","0","0","0","0","0","0","0"
"女／230～240未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／240mg/dl以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／平均値mg/dl","126.4","","106.5","","67.5","","126.3","","132.2","","130.6","","128.4","","120.2","","131.4","","126","","131.5",""
"女／標準偏差","32","","23.5","","10.6","","29.1","","26.4","","31.5","","38.4","","24.4","","37.2","","37.4","","72.8",""
