"","あり","なし"
"対象者数","3832","328"
"持続性せき","243","22"
"%","6.34","6.71"
"持続性たん","443","39"
"%","11.56","11.89"
"持続性せきたん","139","13"
"%","3.63","3.96"
"ぜんそく様症状現在","86","7"
"%","2.24","2.13"
"ぜんそく様症状寛解","82","10"
"%","2.14","3.05"
"ぜん鳴症状","130","6"
"%","3.39","1.83"
"慢性気管支炎","134","8"
"%","3.5","2.44"
"肺気腫","77","7"
"%","2.01","2.13"
"じんましん","373","32"
"%","9.73","9.76"
"アトピー性皮膚炎","146","6"
"%","3.81","1.83"
"アレルギー性鼻炎","690","53"
"%","18.01","16.16"
"アレルギー性結膜炎","107","11"
"%","2.79","3.35"
"花粉症","1141","76"
"%","29.78","23.17"
"食物アレルギー","105","2"
"%","2.74","0.61"
