"区分","あんま・はり師等(人)","事務(人)","販売(人)","農林・漁業(人)","通信(人)","技能工等(人)","サービス職業(人)","その他(人)"
"視覚障害／本科／平成25年度","0","1","0","0","1","0","0","0"
"視覚障害／本科／平成24年度","0","2","0","0","0","0","0","0"
"視覚障害／専攻科／平成25年度","10","0","0","0","0","0","0","0"
"視覚障害／専攻科／平成24年度","4","0","0","0","0","0","0","0"
"聴覚障害／本科／平成25年度","0","4","0","0","0","1","2","0"
"聴覚障害／本科／平成24年度","0","2","2","0","0","4","2","0"
"聴覚障害／専攻科／平成25年度","0","10","0","0","0","4","4","0"
"聴覚障害／専攻科／平成24年度","0","6","2","0","0","4","4","0"
"肢体不自由／平成25年度","0","4","0","0","0","0","1","0"
"肢体不自由／平成24年度","0","4","0","0","0","0","3","0"
"知的障害／平成25年度","0","153","85","0","2","32","327","29"
"知的障害／平成24年度","0","140","102","2","0","31","284","45"
"病弱／平成25年度","0","0","0","0","0","0","0","0"
"病弱／平成24年度","0","0","0","0","0","0","0","0"
"合計／平成25年度","10","172","85","0","3","37","334","29"
"合計／平成24年度","4","154","106","2","0","39","293","45"
