"","症状有または診断有（n=807）／症状の回数／1回","症状有または診断有（n=807）／症状の回数／2回","症状有または診断有（n=807）／症状の回数／不明","症状有または診断有（n=807）／総数／人数","症状有または診断有（n=807）／総数／割合","症状有（n=804）／症状の回数／1回","症状有（n=804）／症状の回数／2回","症状有（n=804）／症状の回数／不明","症状有（n=804）／総数／人数","症状有（n=804）／総数／割合","診断有（n=334）／症状の回数／1回","診断有（n=334）／症状の回数／2回","診断有（n=334）／症状の回数／不明","診断有（n=334）／総数／人数","診断有（n=334）／総数／割合"
"0ヶ月～","5","30","0","35","4.3","5","30","0","35","4.4","2","15","0","17","5.1"
"6ヶ月～","11","75","1","87","10.8","11","75","1","87","10.8","3","42","1","46","13.8"
"12ヶ月～","22","146","1","169","20.9","22","146","1","169","21.0","5","87","0","92","27.5"
"18ヶ月～","21","82","0","103","12.8","21","82","0","103","12.8","5","50","0","55","16.5"
"24ヶ月～","29","88","1","118","14.6","29","88","1","118","14.7","8","50","1","59","17.7"
"30ヶ月～","24","39","0","63","7.8","24","39","0","63","7.8","9","28","0","37","11.1"
"36ヶ月～","18","9","0","27","3.3","18","9","0","27","3.4","9","7","0","16","4.8"
"42ヶ月～","0","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","0.0"
"無回答","5","21","179","205","25.4","5","21","176","202","25.1","0","8","4","12","3.6"
"総数","135","490","182","807","100.0","135","490","179","804","100.0","41","287","6","334","100.0" 
