"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","芝、海岸1丁目、東新橋、新橋、西新橋、三田1～3丁目、浜松町、芝大門、芝公園、虎ノ門、愛宕","芝地区高齢者相談センター（芝地域包括支援センター）","ｼﾊﾞﾁｸｺｳﾚｲｼｬｿｳﾀﾞﾝｾﾝﾀｰ(ｼﾊﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ)","03-5232-0840","03-5446-5857","105-0014","港区芝3-24-5","35.651356","139.747864","JGD2011","月～土曜日9時～19時30分／日曜、祝日、年末年始9時～17時","在宅介護や介護予防に関する電話での相談は時間外も可能","〇","","","","〇","〇"
"2","東麻布、麻布台、麻布狸穴町、麻布永坂町、麻布十番、南麻布、元麻布、西麻布、六本木","麻布地区高齢者相談センター（南麻布地域包括支援センター）","ｱｻﾞﾌﾞﾁｸｺｳﾚｲｼｬｿｳﾀﾞﾝｾﾝﾀｰ(ﾐﾅﾐｱｻﾞﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ)","03-3453-8032","03-3453-6269","106-0047","港区南麻布1-5-26","35.653404","139.724533","JGD2011","月～土曜日9時～19時30分／日曜、祝日、年末年始9時～17時","在宅介護や介護予防に関する電話での相談は時間外も可能","〇","","","","〇","〇"
"3","元赤坂、赤坂、南青山、北青山","赤坂地区高齢者相談センター（北青山地域包括支援センター）","ｱｶｻｶﾁｸｺｳﾚｲｼｬｿｳﾀﾞﾝｾﾝﾀｰ(ｷﾀｱｵﾔﾏﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ)","03-5410-3415","03-5410-3417","107-0061","港区北青山1-6-1","35.674736","139.721222","JGD2011","月～土曜日9時～19時30分／日曜、祝日、年末年始9時～17時","在宅介護や介護予防に関する電話での相談は時間外も可能","〇","","","","〇","〇"
"4","三田4・5丁目、高輪、白金、白金台","高輪地区高齢者相談センター（地域包括支援センター白金の森）","ﾀｶﾅﾜﾁｸｺｳﾚｲｼｬｿｳﾀﾞﾝｾﾝﾀｰ(ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｼﾛｶﾈﾉﾓﾘ)","03-3449-9669","03-3449-9668","108-0071","港区白金台5-20-5","35.637848","139.721588","JGD2011","月～土曜日9時～19時30分／日曜、祝日、年末年始9時～17時","在宅介護や介護予防に関する電話での相談は時間外も可能","〇","","","","〇","〇"
"5","芝浦、海岸2・3丁目、港南、台場","芝浦港南地区高齢者相談センター（地域包括支援センター港南の郷）","ｼﾊﾞｳﾗｺｳﾅﾝﾁｸｺｳﾚｲｼｬｿｳﾀﾞﾝｾﾝﾀｰ(ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｺｳﾅﾝﾉｻﾄ)","03-3450-5905","03-3450-5909","108-0075","港区港南3-3-23","35.633514","139.749420","JGD2011","月～土曜日9時～19時30分／日曜、祝日、年末年始9時～17時","在宅介護や介護予防に関する電話での相談は時間外も可能","〇","","","","〇","〇"
"6","芝、海岸1丁目、東新橋、新橋、西新橋、三田1～3丁目、浜松町、芝大門、芝公園、虎ノ門、愛宕","芝地区総合支所 区民課保健福祉係","ｼﾊﾞﾁｸｿｳｺﾞｳｼｼｮｸﾐﾝｶﾎｹﾝﾌｸｼｶｶﾘ","03-3578-3161","03-3578-3183","105-8511","港区芝公園1-5-25","35.658531","139.751541","JGD2011","月～金曜日8時30分～17時／土、日曜、祝日、年末年始（12月29日～1月3日）は閉庁","","","","","〇","〇",""
"7","東麻布、麻布台、麻布狸穴町、麻布永坂町、麻布十番、南麻布、元麻布、西麻布、六本木","麻布地区総合支所区民課保健福祉係","ｱｻﾞﾌﾞﾁｸｿｳｺﾞｳｼｼｮｸﾐﾝｶﾎｹﾝﾌｸｼｶｶﾘ","03-5114-8822","03-3583-0892","106-8515","港区六本木5-16-45","35.660809","139.735794","JGD2011","月～金曜日8時30分～17時／土、日曜、祝日、年末年始（12月29日～1月3日）は閉庁","","","","","〇","〇",""
"8","元赤坂、赤坂、南青山、北青山","赤坂地区総合支所区民課保健福祉係","ｱｶｻｶﾁｸｿｳｺﾞｳｼｼｮｸﾐﾝｶﾎｹﾝﾌｸｼｶｶﾘ","03-5413-7276","03-3402-8192","107-8516","港区赤坂4-18-13","35.674904","139.731857","JGD2011","月～金曜日8時30分～17時／土、日曜、祝日、年末年始（12月29日～1月3日）は閉庁","","","","","〇","〇",""
"9","三田4・5丁目、高輪、白金、白金台","高輪地区総合支所区民課保健福祉係","ﾀｶﾅﾜﾁｸｿｳｺﾞｳｼｼｮｸﾐﾝｶﾎｹﾝﾌｸｼｶｶﾘ","03-5421-7085","03-5421-7613","108-8581","港区高輪1-16-25","35.640907","139.734207","JGD2011","月～金曜日8時30分～17時／土、日曜、祝日、年末年始（12月29日～1月3日）は閉庁","","","","","〇","〇",""
"10","芝浦、海岸2・3丁目、港南、台場","芝浦港南地区総合支所区民課保健福祉係","ｼﾊﾞｳﾗｺｳﾅﾝﾁｸｿｳｺﾞｳｼｼｮｸﾐﾝｶﾎｹﾝﾌｸｼｶｶﾘ","03-6400-0022","03-5445-4590","105-8516","港区芝浦1-16-1","35.646198","139.751663","JGD2011","月～金曜日8時30分～17時／土、日曜、祝日、年末年始（12月29日～1月3日）は閉庁","","","","","〇","〇",""
