"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","補食の原材料を記入した献立表を事前に配布している／施設数","補食の原材料を記入した献立表を事前に配布している／割合","おやつの原材料を記入した献立表を事前に配布している／施設数","おやつの原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1554","1435","92.3","627","40.3","1290","83.0","206","13.3","1157","74.5","679","43.7","1168","75.2","69","4.4","82","5.3","11","0.7"
"認証保育所＊","512","485","94.7","153","29.9","420","82.0","37","7.2","404","78.9","193","37.7","316","61.7","20","3.9","15","2.9","2","0.4"
"認定こども園＊","93","81","87.1","22","23.7","52","55.9","17","18.3","60","64.5","30","32.3","55","59.1","21","22.6","3","3.2","2","2.2"
"幼稚園＊","373","296","79.4","20","5.4","62","16.6","84","22.5","149","39.9","66","17.7","135","36.2","183","49.1","33","8.8","1","0.3"
"ベビーホテル","224","146","65.2","33","14.7","102","45.5","23","10.3","116","51.8","51","22.8","91","40.6","68","30.4","12","5.4","2","0.9"
"家庭的保育","104","33","31.7","6","5.8","16","15.4","3","2.9","37","35.6","25","24.0","28","26.9","22","21.2","19","18.3","3","2.9"
"学童保育","118","12","10.2","3","2.5","13","11.0","2","1.7","48","40.7","27","22.9","63","53.4","46","39.0","15","12.7","1","0.8"
"上記以外の施設","231","125","54.1","17","7.4","86","37.2","26","11.3","128","55.4","71","30.7","112","48.5","69","29.9","16","6.9","2","0.9"
"総数","3209","2613","81.4","881","27.5","2041","63.6","398","12.4","2099","65.4","1142","35.6","1968","61.3","498","15.5","195","6.1","24","0.7"
"＊前回調査施設 (再掲）","2532","2297","90.7","822","32.5","1824","72.0","344","13.6","1770","69.9","968","38.2","1674","66.1","293","11.6","133","5.3","16","0.6" 
