"","施設総数","厚生労働省の「保育所におけるアレルギー疾患生活管理指導表」を使用／施設数","厚生労働省の「保育所におけるアレルギー疾患生活管理指導表」を使用／割合","文部科学省の「学校生活管理指導表」を使用／施設数","文部科学省の「学校生活管理指導表」を使用／割合","区市町村で独自に作成した指導表を使用／施設数","区市町村で独自に作成した指導表を使用／割合","所・園で独自に作成した指導表を使用／施設数","所・園で独自に作成した指導表を使用／割合","上記以外の様式を使用／施設数","上記以外の様式を使用／割合","使用していない／施設数","使用していない／割合","無回答／施設数","無回答／割合","再掲／何らかの指導表を利用している施設数（施設総数から未使用と無回答を差し引く）／施設数","再掲／何らかの指導表を利用している施設数（施設総数から未使用と無回答を差し引く）／割合"
"認可保育所＊","1588","443","27.9","43","2.7","620","39.0","433","27.3","206","13.0","98","6.2","132","8.3","1358","85.5"
"認証保育所＊","527","141","26.8","15","2.8","83","15.7","236","44.8","139","26.4","33","6.3","52","9.9","442","83.9"
"認定こども園＊","95","19","20.0","11","11.6","15","15.8","28","29.5","16","16.8","18","18.9","6","6.3","71","74.7"
"幼稚園＊","666","31","4.7","137","20.6","51","7.7","110","16.5","140","21.0","213","32.0","82","12.3","371","55.7"
"ベビーホテル","331","68","20.5","6","1.8","40","12.1","74","22.4","73","22.1","78","23.6","46","13.9","207","62.5"
"家庭的保育","596","65","10.9","18","3.0","92","15.4","24","4.0","76","12.8","222","37.2","172","28.9","202","33.9"
"学童保育","1169","43","3.7","303","25.9","366","31.3","178","15.2","203","17.4","255","21.8","134","11.5","780","66.7"
"上記以外の施設","376","84","22.3","16","4.3","32","8.5","97","25.8","74","19.7","122","32.4","32","8.5","222","59.0"
"総数","5348","894","16.7","549","10.3","1299","24.3","1180","22.1","927","17.3","1039","19.4","656","12.3","3653","68.3"
"＊前回調査施設 (再掲）","2876","634","22.0","206","7.2","769","26.7","807","28.1","501","17.4","362","12.6","272","9.5","2242","78.0" 
