"実施計画有","通し番号","事業名","所管局","事業概要","20年度実績（平成20年度末現在）","21年度実績（平成21年度末現在）","目標値","計画番号"
"重点戦略１　働きながら子育てできる環境整備","","","","","","","",""
"","1","東京次世代育成企業支援事業（登録制度）","産業労働局","・次世代育成に積極的に取り組む企業等を「とうきょう次世代育成サポート企業」として登録／・両立支援アドバイザーによる助言・相談","・とうきょう次世代育成サポート企業登録件数　871社／・両立支援アドバイザー　2人配置（19年度より1人増）","・とうきょう次世代育成サポート企業登録件数　1055社／・両立支援アドバイザー　2人配置","・サポート企業が2000社以上登録されていること／・両立支援アドバイザー　継続（平成23年度目標）",""
"●","2","中小企業両立支援推進助成金","産業労働局","とうきょう次世代育成サポート企業に登録した中小企業に対して両立支援策の導入等に係る経費を助成","＜社内の両立支援の整備等：助成金＞／本格実施／申請受付件数／・両立支援推進責任者設置（609件）／※／・社内の意識啓発等（135件）／・社内ルールづくり（134件）","＜社内の両立支援の整備等：助成金＞／申請受付件数／・両立支援推進責任者設置（503件）／※／・社内の意識啓発等（169件）／・社内ルールづくり（255件）","・助成金／500社／（両立支援推進責任者への研修）",""
"●","3","いきいき職場推進事業","産業労働局","仕事と生活を両立しながら、いきいきと働き続けられる職場の実現に向け優れた取組を実施している中小企業を、有識者（学識経験者、労使団体等）からなる審査会で審査し、都が「東京ワークライフバランス認定企業」として認定します。／また、働き方の見直しについて社会的機運の醸成を図るため、関係機関の協力を得て「ワークライフバランスフェスタ東京」を開催し、認定企業の取組やノウハウを公開するとともに、参加企業等の交流の場を設け、中小企業の雇用環境整備の促進を図ります。","東京ワークライフバランス認定企業　4部門12社／ワークライフバランスフェスタ東京2009　平成21年2月18日開催","東京ワークライフバランス認定企業　4部門10社／ワークライフバランスフェスタ東京2010　平成22年2月9日開催","東京ワークライフバランス認定企業40社（平成23年度目標）",""
"●","4","ワーク・ライフ・バランス推進事業","生活文化局","仕事と生活の調和に向けた具体的方策に関する「ワーク・ライフ・バランス実践プログラム」を活用した普及啓発により、ワーク・ライフ・バランスを推進します。","＜ワーク・ライフ・バランス実践プログラムの作成＞／・企業事例の調査（40社ヒアリング、意見交換会等のべ５９社）","ワーク・ライフ・バランス実践プログラム　5000部増刷／Webサイト「TOKYOワーク･ライフ･バランス」開設・運営／企業との意見交換会　2回開催","プログラムの活用継続",""
"","5","事業所内保育施設支援事業","福祉保健局","事業所内保育施設の運営費等の補助により企業の次世代育成に関する取組を支援","8施設","27施設","120事業所の設置（平成23年度目標）",""
"","6","病院内保育の推進","福祉保健局","院内保育室の設置を促進し、女性医師の継続的就労を支援","67施設","73施設","子育てと仕事が両立できる雇用環境を整備する",""
"","7","院内保育室の充実","病院経営本部","院内保育室の拡大や、墨東病院及び府中病院における平成20年度からの院内保育室24時間化を実施","・院内保育室の拡大／八王子小児病院　毎週土曜日も開室（平成20年6月）／府中病院　定員を増員（平成20年6月）／・院内保育室の24時間化／墨東病院・府中病院（平成20年4月）／大塚病院（平成20年10月）","・院内保育室の24時間化／八王子小児病院（平成21年4月）※／清瀬小児病院（平成21年10月）※","女性医師や看護師の育児による離職防止及び早期復職を支援することで、人材を確保していく。",""
"重点戦略２　育児休業の取得促進","","","","","","","",""
"●","8","中小企業両立支援推進助成金","産業労働局","とうきょう次世代育成サポート企業に登録した中小企業に対して両立支援策の導入等に係る経費を助成（育児休業取得者の代替社員の雇用等）","＜育児休業取得者の代替社員の雇用等：助成金＞／申請受付件数／育児休業応援　3件","＜育児休業取得者の代替社員の雇用等：助成金＞／申請受付件数／育児休業応援　26件","215件",""
"重点戦略３　女性の再就職支援","","","","","","","",""
