"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","補食の原材料を記入した献立表を事前に配布している／施設数","補食の原材料を記入した献立表を事前に配布している／割合","おやつの原材料を記入した献立表を事前に配布している／施設数","おやつの原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1557","1435","92.2","627","40.3","1291","82.9","206","13.2","1157","74.3","679","43.6","1168","75.0","70","4.5","84","5.4","11","0.7"
"認証保育所＊","512","485","94.7","153","29.9","420","82.0","37","7.2","404","78.9","193","37.7","316","61.7","20","3.9","15","2.9","2","0.4"
"認定こども園＊","95","81","85.3","23","24.2","53","55.8","17","17.9","61","64.2","30","31.6","56","58.9","21","22.1","4","4.2","2","2.1"
"幼稚園＊","516","299","57.9","25","4.8","108","20.9","88","17.1","168","32.6","70","13.6","170","32.9","215","41.7","90","17.4","8","1.6"
"ベビーホテル","247","147","59.5","34","13.8","104","42.1","23","9.3","122","49.4","52","21.1","93","37.7","78","31.6","19","7.7","5","2.0"
"家庭的保育","153","33","21.6","6","3.9","21","13.7","5","3.3","41","26.8","29","19.0","31","20.3","55","35.9","28","18.3","7","4.6"
"学童保育","1079","14","1.3","7","0.6","104","9.6","8","0.7","383","35.5","186","17.2","602","55.8","156","14.5","274","25.4","48","4.4"
"上記以外の施設","278","126","45.3","17","6.1","88","31.7","26","9.4","132","47.5","74","26.6","127","45.7","93","33.5","47","16.9","3","1.1"
"総数","4437","2620","59.0","892","20.1","2189","49.3","410","9.2","2468","55.6","1313","29.6","2563","57.8","708","16.0","561","12.6","86","1.9"
"＊前回調査施設 (再掲）","2680","2300","85.8","828","30.9","1872","69.9","348","13.0","1790","66.8","972","36.3","1710","63.8","326","12.2","193","7.2","23","0.9" 
