"","住所","緯度","経度","座標系","電話"
"飯田橋","112-8577 文京区後楽1-9-20","35.703541","139.747345","JGD2011","03-3812-8609"
"上野","110-8609 台東区東上野4-1-2","35.711868","139.780365","JGD2011","03-3847-8609"
"品川","108-0075 港区港南2-5-12品川NBSビル","35.628536","139.743225","JGD2011","03-3450-8609"
"大森★","143-8588 大田区大森北4-16-7","35.583435","139.727615","JGD2011","03-5493-8609"
"渋谷","150-0041 渋谷区神南1-3-5","35.664665","139.700989","JGD2011","03-3476-8609"
"新宿","163-1523 新宿区西新宿1-6-1新宿エルタワービル23階","35.692825","139.697128","JGD2011","03-5325-9593"
"池袋★","170-6003 豊島区東池袋3-1-1サンシャイン60 3階","35.727703","139.720245","JGD2011","03-5911-8609"
"王子","114-0002 北区王子6-1-17","35.761341","139.739395","JGD2011","03-5390-8609"
"足立★","120-8530 足立区千住1-4-1東京芸術センター6～8階","35.746788","139.800110","JGD2011","03-3870-8609"
"墨田","130-8609 墨田区江東橋2-19-12","35.696098","139.811279","JGD2011","03-5669-8609"
"木場","135-8609 江東区木場2-13-19","35.671200","139.804596","JGD2011","03-3643-8609"
"八王子★","192-0904 八王子市子安町1-13-1","35.653713","139.341171","JGD2011","042-648-8609"
"立川","190-8509 立川市錦町1-9-21","35.695057","139.419342","JGD2011","042-525-8609"
"青梅","198-0042 青梅市東青梅3-12-16","35.790073","139.277069","JGD2011","0428-24-8609"
"三鷹","181-8517 三鷹市下連雀4-15-18","35.695309","139.561829","JGD2011","0422-47-8609"
"町田★","194-0022 町田市森野2-28-14町田合同庁舎1階","35.549896","139.441772","JGD2011","042-732-8609"
"府中","183-0045 府中市美好町1-3-1","35.673573","139.472961","JGD2011","042-336-8609"
"マザーズハローワーク東京","150-0002 渋谷区渋谷1-13-7ヒューリック渋谷ビル3階","35.659843","139.703537","JGD2011","03-3409-8609"
"ハローワーク木場マザーズコーナー","134-0091 江戸川区船堀3-7-17第5トヨダビル6階（船堀ワークプラザ）","35.682575","139.865402","JGD2011","03-5659-8609"
"ハローワーク立川マザーズコーナー","190-0012 立川市曙町2-17-16鈴春ビル5階（立川ワークプラザ）","35.700127","139.415771","JGD2011","042-523-1509"
"ハローワーク府中マザーズコーナー","182-0022 調布市国領2-5-15コクティー2階（調布国領しごと情報広場）","35.636326","139.556519","JGD2011","042-480-8103"
