"","総数","医療通訳の確保","未収金発生への対応","問診票や同意書等、記入書類の多言語化","受付、保険の確認、支払等を補助する外国語会話集や説明資料の作成・配布","診察、検査等を補助する外国語会話集や説明資料の作成・配布","院内表示の多言語化","医療従事者に対する外国人患者の対応、異文化理解等に関する研修","簡易通訳アプリや翻訳ソフトの導入・活用","医療従事者に対する外国語会話研修","特に必要ない","その他"
"総数／n","302","102","101","100","99","76","73","65","62","46","31","7"
"総数／%","","33.8","33.4","33.1","32.8","25.2","24.2","21.5","20.5","15.2","10.3","2.3"
"外国人患者の受入体制整備有無別／整備している／n","81","28","23","37","27","20","29","21","14","15","3","3"
"外国人患者の受入体制整備有無別／整備している／%","","34.6","28.4","45.7","33.3","24.7","35.8","25.9","17.3","18.5","3.7","3.7"
"外国人患者の受入体制整備有無別／今後整備する予定／n","31","14","11","9","7","8","10","13","10","6","0","0"
"外国人患者の受入体制整備有無別／今後整備する予定／%","","45.2","35.5","29.0","22.6","25.8","32.3","41.9","32.3","19.4","0.0","0.0"
"外国人患者の受入体制整備有無別／今後整備する予定はない／n","187","60","66","53","64","47","33","30","37","25","28","4"
"外国人患者の受入体制整備有無別／今後整備する予定はない／%","","32.1","35.3","28.3","34.2","25.1","17.6","16.0","19.8","13.4","15.0","2.1"
17.6","16.0,0,0,0,0,0,1
横浜市,　若葉台Ａ,3,3,0,0,0,3,3,0,0,0,0,0,3
横浜市,　都岡Ａ,4,2,2,0,2,3,3,0,0,0,0,2,1
横浜市,　旭Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
横浜市,　長津田Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
横浜市,　中瀬谷Ａ,2,2,0,0,0,4,4,0,0,0,0,2,2
横浜市,　今宿Ａ,5,3,2,0,2,3,3,0,0,0,0,2,1
横浜市,　瀬谷Ａ,3,3,0,0,0,3,3,0,0,0,0,0,3
大和市,,0,0,0,0,0,0,0,0,0,0,0,0,0
市川市,　東第一Ａ,1,1,0,0,0,2,2,0,0,0,0,1,1
市川市,　東第二Ａ,3,2,1,0,1,3,3,0,0,0,0,1,2
市川市,　西第二Ａ,2,0,2,1,1,1,0,1,0,0,0,0,0
松戸市,　中央Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
松戸市,　六実Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
松戸市,　東部Ａ,2,2,0,0,0,2,2,0,0,0,0,2,0
松戸市,　二十世紀Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市,　浦安救急Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市,　浦安堀江救急Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
稲城市,　稲城Ａ,3,2,1,0,1,2,2,0,1,0,0,0,1
稲城市,　上平尾Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
三郷市,　救急南１,1,1,0,0,0,1,1,0,0,0,0,0,1
草加八潮,　救急谷塚１,1,1,0,0,0,1,1,0,0,0,0,1,0
草加八潮,　救急西１,1,1,0,0,0,1,1,0,0,0,0,0,1
川口市,　川口南Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川口市,　南平Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
川口市,　新郷Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
川口市,　青木Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
川口市,　鳩ヶ谷Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,　本署Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,　東部Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,　西部Ａ,5,4,1,0,1,4,4,0,0,0,0,2,2
秩父,,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,　救急三ヶ島１,2,2,0,0,0,2,2,0,0,0,0,0,2
埼玉西部,　救急入間２,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉西部,　救急藤沢１,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部,　朝霞Ａ,3,3,0,0,0,3,3,0,0,0,0,1,2
埼玉県南西部,　浜崎Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
埼玉県南西部,　和光Ａ,21,19,3,1,2,27,26,1,0,0,0,1,25
埼玉県南西部,　白子Ａ,15,13,2,1,1,15,14,1,0,0,0,2,12
埼玉県南西部,　新座Ａ,5,4,1,1,0,7,6,1,0,0,0,2,4
埼玉県南西部,　片山Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部,　大和田Ａ,4,3,1,0,1,3,3,,0,0,1,0,2
上野原市,,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,,0,0,0,0,0,0,0,0,0,0,0,0,0
,03-5697-3390,-
区市町村,長門児童館,120-0002,足立区中川２－２４－２－１０１,139.85715,35.76858,JGD2011,03-3629-8231,-
区市町村,東和児童館,120-0003,足立区東和３－１２－９,139.8398,35.77142,JGD2011,03-3628-6206,-
区市町村,東綾瀬児童館,120-0004,足立区東綾瀬１－２８－７,139.83272,35.76618,JGD2011,03-5697-3370,-
区市町村,綾瀬児童館,120-0005,足立区綾瀬３－１７－９,139.82451,35.76456,JGD2011,03-3628-9908,-
区市町村,弘道児童館,120-0013,足立区弘道２－１６－１－１０１,139.81686,35.76812,JGD2011,03-3840-9354,-
区市町村,五反野児童館,120-0014,足立区西綾瀬２－１－１３,139.81447,35.76138,JGD2011,03-3886-2643,-
区市町村,千住あずま児童館,120-0025,足立区千住東２－２１－１８,139.81012,35.74502,JGD2011,03-3882-1218,-
区市町村,千住本町児童館,120-0034,足立区千住５－６－２,139.80402,35.75464,JGD2011,03-3870-6221,-
区市町村,千住河原町児童館,120-0037,足立区千住河原町５－１２,139.79599,35.7442,JGD2011,03-3870-7229,-
区市町村,江南児童館,120-0046,足立区小台２－４－１８,139.75787,35.75578,JGD2011,03-3914-3427,-
区市町村,中央本町児童館,121-0011,足立区中央本町３－１５－１,139.80959,35.77248,JGD2011,03-3852-1434,-
区市町村,栗島児童館,121-0011,足立区中央本町４－５－２,139.80579,35.77675,JGD2011,03-3848-3471,-
区市町村,青井児童館,121-0012,足立区青井５－１１－４０－１０１,139.81979,35.77718,JGD2011,03-3852-3750,-
区市町村,六木児童館,121-0052,足立区六木３－３９－５－１０１,139.8398,35.79933,JGD2011,03-3629-1716,-
区市町村,佐野児童館,121-0053,足立区佐野２－４３－５,139.84047,35.78812,JGD2011,03-3628-3277,-
区市町村,加平児童館,121-0055,足立区加平１－１０－６,139.82825,35.77495,JGD2011,03-3605-8842,-
区市町村,神明児童館,121-0057,足立区神明南２－６－１９,139.83304,35.78719,JGD2011,03-5682-5089,-
区市町村,花畑児童館,121-0061,足立区花畑４－１６－８,139.80721,35.80273,JGD2011,03-3850-2602,-
区市町村,桜花児童館,121-0061,足立区花畑６－４－１６,139.81641,35.80512,JGD2011,03-3850-7190,-
区市町村,南花畑児童館,121-0062,足立区南花畑３－１４－７,139.82492,35.7898,JGD2011,03-3859-9868,-
区市町村,花保児童館,121-0063,足立区東保木間１－２５－４－１０１,139.81482,35.79074,JGD2011,03-3884-1229,-
区市町村,保塚児童館,121-0072,足立区保塚町７－１６,139.81598,35.78644,JGD2011,03-3858-1876,-
区市町村,平野児童館,121-0076,足立区平野２－２－１４,139.80376,35.78162,JGD2011,03-3884-7765,-
区市町村,東伊興住区センター　児童館,121-0801,足立区東伊興１－５－２２,139.78531,35.80313,JGD2011,03-3899-8531,-
区市町村,東伊興生活館児童館,121-0801,足立区東伊興３－２３－６,139.79356,35.80441,JGD2011,03-3897-2225,-
区市町村,渕江児童館,121-0812,足立区西保木間１－２－１－１０１,139.80132,35.79502,JGD2011,03-3850-3467,-
