"","家庭食／件数","家庭食／(%)","調理済み食／件数","調理済み食／(%)","外食／件数","外食／(%)","給食／保育所･幼稚園給食､学校給食／件数","給食／保育所･幼稚園給食､学校給食／(%)","給食／職場給食／件数","給食／職場給食／(%)","給食／小計／件数","給食／小計／(%)","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／件数","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／(%)","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／件数","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／(%)","その他／(欠食)食事をしなかった場合／件数","その他／(欠食)食事をしなかった場合／(%)","その他／小計／件数","その他／小計／(%)","不明／件数","不明／(%)","合計／件数","合計／(%)"
"全体総数","361","85.1","37","8.7","19","4.5","0","0","2","0.5","2","0.5","5","1.2","0","0","0","0","5","1.2","0","0","424","100"
"1-6歳","17","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","100"
"7-14歳","35","97.2","1","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","100"
"15-19歳","20","90.9","1","4.5","1","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","100"
"20-29歳","19","76","1","4","5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","100"
"30-39歳","23","67.6","8","23.5","3","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","100"
"40-49歳","63","92.6","2","2.9","1","1.5","0","0","1","1.5","1","1.5","1","1.5","0","0","0","0","1","1.5","0","0","68","100"
"50-59歳","49","84.5","4","6.9","3","5.2","0","0","1","1.7","1","1.7","1","1.7","0","0","0","0","1","1.7","0","0","58","100"
"60-69歳","58","81.7","6","8.5","5","7","0","0","0","0","0","0","2","2.8","0","0","0","0","2","2.8","0","0","71","100"
"70歳以上","77","82.8","14","15.1","1","1.1","0","0","0","0","0","0","1","1.1","0","0","0","0","1","1.1","0","0","93","100"
"男性総数","173","86.1","11","5.5","13","6.5","0","0","2","1","2","1","2","1","0","0","0","0","2","1","0","0","201","100"
"1-6歳","11","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","100"
"7-14歳","18","94.7","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","100"
"15-19歳","9","90","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","100"
"20-29歳","10","71.4","0","0","4","28.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","100"
"30-39歳","15","75","3","15","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","100"
"40-49歳","20","90.9","1","4.5","0","0","0","0","1","4.5","1","4.5","0","0","0","0","0","0","0","0","0","0","22","100"
"50-59歳","25","86.2","1","3.4","2","6.9","0","0","1","3.4","1","3.4","0","0","0","0","0","0","0","0","0","0","29","100"
"60-69歳","26","83.9","1","3.2","3","9.7","0","0","0","0","0","0","1","3.2","0","0","0","0","1","3.2","0","0","31","100"
"70歳以上","39","86.7","4","8.9","1","2.2","0","0","0","0","0","0","1","2.2","0","0","0","0","1","2.2","0","0","45","100"
"女性総数","188","84.3","26","11.7","6","2.7","0","0","0","0","0","0","3","1.3","0","0","0","0","3","1.3","0","0","223","100"
"1-6歳","6","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","100"
"7-14歳","17","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","100"
"15-19歳","11","91.7","1","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","100"
"20-29歳","9","81.8","1","9.1","1","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","100"
"30-39歳","8","57.1","5","35.7","1","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","100"
"40-49歳","43","93.5","1","2.2","1","2.2","0","0","0","0","0","0","1","2.2","0","0","0","0","1","2.2","0","0","46","100"
"50-59歳","24","82.8","3","10.3","1","3.4","0","0","0","0","0","0","1","3.4","0","0","0","0","1","3.4","0","0","29","100"
"60-69歳","32","80","5","12.5","2","5","0","0","0","0","0","0","1","2.5","0","0","0","0","1","2.5","0","0","40","100"
"70歳以上","38","79.2","10","20.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","100"
