"順位","制限または除去食物","平成26年度(人数)","平成26年度(％)"
"1","卵","229","69.0"
"2","落花生","74","22.3"
"3","牛乳","69","20.8"
"4","カシューナッツ","43","13.0"
"5","そば","39","11.7"
"6","いくら","33","9.9"
"6","くるみ","33","9.9"
"8","キウイ","23","6.9"
"9","小麦","21","6.3"
"10","ごま","19","5.7"
"10","えび","19","5.7"
"12","かに","15","4.5"
"13","やまいも","14","4.2"
"14","大豆","11","3.3"
"15","さば","7","2.1"
"16","牛肉","5","1.5"
"16","さけ","5","1.5"
"18","あわび","4","1.2"
"18","バナナ","4","1.2"
"20","いか","3","0.9"
"21","鶏肉","2","0.6"
"21","豚肉","2","0.6"
"21","グミ・ゼラチン","2","0.6"
"24","オレンジ","1","0.3"
"24","もも","1","0.3"
"26","まつたけ","0","0.0"
"26","りんご","0","0.0"
"26","米","0","0.0"
"","その他","43","13.0"
