"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"2歳以前の呼吸器疾患／7年度","84","12.2","64","13.8","49","10.0","66","15.3","78","12.1","56","11.6","74","13.0","0.000"
"2歳以前の呼吸器疾患／8年度","67","10.0","64","13.6","58","12.0","70","15.4","82","12.3","59","11.9","85","13.8",""
"2歳以前の呼吸器疾患／9年度","80","13.0","47","10.3","51","11.5","60","14.9","68","11.6","64","13.6","81","14.0",""
"2歳以前の呼吸器疾患／10年度","67","11.6","47","9.9","42","9.5","62","16.6","66","12.2","54","11.8","72","13.5",""
"2歳以前の呼吸器疾患／11年度","52","9.6","53","10.9","33","7.9","51","15.1","76","15.9","54","12.9","79","14.3",""
"母乳栄養／7年度","289","42.1","186","40.1","189","38.7","191","44.2","272","42.0","208","43.2","214","37.5","0.000"
"母乳栄養／8年度","260","38.9","185","39.2","193","40.0","190","41.8","275","41.1","213","43.1","215","34.8",""
"母乳栄養／9年度","272","44.3","172","37.6","170","38.3","160","39.6","243","41.5","207","44.1","206","35.6",""
"母乳栄養／10年度","222","38.5","195","40.9","189","42.9","145","38.8","213","39.4","191","41.9","168","31.4",""
"母乳栄養／11年度","209","38.6","192","39.6","177","42.1","127","37.7","184","38.4","164","39.1","184","33.2",""
"アレルギー歴／7年度","435","63.3","252","54.3","263","53.9","277","64.1","379","58.6","288","59.8","289","50.6","0.000"
"アレルギー歴／8年度","402","60.2","245","51.9","272","56.3","273","60.0","403","60.2","281","56.9","291","47.1",""
"アレルギー歴／9年度","353","57.5","234","51.2","252","56.8","247","61.1","350","59.8","282","60.1","317","54.8",""
"アレルギー歴／10年度","331","57.5","253","53.0","238","54.0","226","60.4","322","59.5","283","62.1","307","57.4",""
"アレルギー歴／11年度","314","57.9","261","53.8","223","53.1","211","62.6","276","57.6","258","61.6","296","53.4",""
"じんま疹／7年度","63","9.2","53","11.4","65","13.3","57","13.2","77","11.9","45","9.3","64","11.2","0.009"
"じんま疹／8年度","69","10.3","45","9.5","61","12.6","47","10.3","81","12.1","56","11.3","62","10.0",""
"じんま疹／9年度","64","10.4","49","10.7","55","12.4","49","12.1","51","8.7","63","13.4","55","9.5",""
"じんま疹／10年度","57","9.9","46","9.6","43","9.8","55","14.7","65","12.0","62","13.6","58","10.8",""
"じんま疹／11年度","76","14.0","53","10.9","45","10.7","58","17.2","50","10.4","65","15.5","61","11.0",""
"アトピー／7年度","227","33.0","135","29.1","128","26.2","147","34.0","230","35.5","165","34.2","152","26.6","0.000"
"アトピー／8年度","212","31.7","140","29.7","120","24.8","137","30.1","231","34.5","160","32.4","145","23.5",""
"アトピー／9年度","178","29.0","117","25.6","110","24.8","123","30.4","205","35.0","165","35.2","161","27.9",""
"アトピー／10年度","167","29.0","132","27.7","111","25.2","115","30.7","176","32.5","163","35.7","144","26.9",""
"アトピー／11年度","150","27.7","124","25.6","103","24.5","105","31.2","141","29.4","140","33.4","125","22.6",""
"アレルギー性鼻炎／7年度","191","27.8","99","21.3","142","29.1","154","35.6","195","30.1","143","29.7","120","21.0","0.000"
"アレルギー性鼻炎／8年度","202","30.2","91","19.3","140","29.0","172","37.8","196","29.3","147","29.8","120","19.4",""
"アレルギー性鼻炎／9年度","163","26.5","93","20.4","123","27.7","140","34.7","176","30.1","140","29.9","125","21.6",""
"アレルギー性鼻炎／10年度","161","28.0","96","20.1","110","24.9","130","34.8","171","31.6","140","30.7","126","23.6",""
"アレルギー性鼻炎／11年度","166","30.6","104","21.4","107","25.5","130","38.6","150","31.3","118","28.2","133","24.0",""
"花粉症／7年度","116","16.9","41","8.8","67","13.7","35","8.1","47","7.3","32","6.6","43","7.5","0.000"
"花粉症／8年度","110","16.5","38","8.1","75","15.5","30","6.6","54","8.1","34","6.9","39","6.3",""
"花粉症／9年度","102","16.6","52","11.4","74","16.7","27","6.7","36","6.2","43","9.2","41","7.1",""
"花粉症／10年度","98","17.0","41","8.6","70","15.9","25","6.7","47","8.7","31","6.8","52","9.7",""
"花粉症／11年度","89","16.4","57","11.8","61","14.5","32","9.5","31","6.5","29","6.9","55","9.9",""
"アレルギー療法／体質改善療法／7年度","18","2.6","17","3.7","17","3.5","30","6.9","28","4.3","28","5.8","46","8.1","0.000"
"アレルギー療法／体質改善療法／8年度","20","3.0","23","4.9","12","2.5","32","7.0","26","3.9","21","4.3","42","6.8",""
"アレルギー療法／体質改善療法／9年度","29","4.7","17","3.7","13","2.9","29","7.2","17","2.9","27","5.8","45","7.8",""
"アレルギー療法／体質改善療法／10年度","31","5.4","23","4.8","8","1.8","22","5.9","22","4.1","21","4.6","49","9.2",""
"アレルギー療法／体質改善療法／11年度","34","6.3","14","2.9","7","1.7","19","5.6","23","4.8","24","5.7","45","8.1",""
"湿疹／7年度","92","13.4","54","11.6","63","12.9","64","14.8","102","15.8","71","14.7","80","14.0","0.000"
"湿疹／8年度","88","13.2","56","11.9","84","17.4","77","16.9","127","19.0","72","14.6","98","15.9",""
"湿疹／9年度","85","13.8","61","13.3","62","14.0","73","18.1","100","17.1","74","15.8","92","15.9",""
"湿疹／10年度","81","14.1","70","14.7","53","12.0","68","18.2","99","18.3","91","20.0","81","15.1",""
"湿疹／11年度","75","13.8","68","14.0","57","13.6","56","16.6","82","17.1","75","17.9","80","14.4",""
