施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
港区児童相談所,107-0062,港区南青山５-７-１１,139.71281,35.66269,JGD2011,03-5962-6500
東京都児童相談センター,169-0074,新宿区北新宿４-６-１,139.69383,35.7081,JGD2011,03-5937-2311（練馬・小笠原支庁）/03-5937-2314（渋谷・文京・豊島・大島支庁）/03-5937-2317（新宿・中央・台東・千代田・八丈・三宅支庁）
東京都江東児童相談所,135-0051,江東区枝川３-６-９,139.81053,35.65856,JGD2011,03-3640-5432
東京都品川児童相談所,140-0001,品川区北品川３-７-２１,139.74064,35.61787,JGD2011,03-3474-5442
世田谷区児童相談所,156-0043,世田谷区松原６-４１-７,139.64966,35.65682,JGD2011,03-6379-0697(代表）0120-52-8343（世田谷区児童虐待通告ダイヤル）
東京都杉並児童相談所,167-0052,杉並区南荻窪４-２３-６,139.61522,35.7012,JGD2011,03-5370-6001
東京都北児童相談所,114-0002,北区王子６-１-１２,139.73883,35.76151,JGD2011,03-3913-5421
荒川区子ども家庭総合センター,116-0002,荒川区荒川１-５０-１７,139.78474,35.73388,JGD2011,03-3802-3765
東京都足立児童相談所,123-0872,足立区江北３-８-１２,139.76242,35.77313,JGD2011,03-3854-1181
江戸川区児童相談所,132-0021,江戸川区中央３-４-１８,139.8714,35.71037,JGD2011,03-5678-1810
東京都八王子児童相談所,193-0931,八王子市台町３-１７-３０,139.32129,35.65511,JGD2011,042-624-1141
東京都立川児童相談所,190-0023,立川市柴崎町２-２１-１９,139.40842,35.69401,JGD2011,042-523-1321
東京都小平児童相談所,187-0002,小平市花小金井１-３１-２４,139.51636,35.72992,JGD2011,042-467-3711
東京都多摩児童相談所,206-0024,多摩市諏訪２-６,139.45168,35.62797,JGD2011,042-372-5600
