"","施設総数","Aぜん息／２把握している／施設数","Aぜん息／２把握している／割合","Aぜん息／１把握していない／施設数","Aぜん息／１把握していない／割合","B食物アレルギー／２把握している／施設数","B食物アレルギー／２把握している／割合","B食物アレルギー／１把握していない／施設数","B食物アレルギー／１把握していない／割合","Cアナフィラキシー／２把握している／施設数","Cアナフィラキシー／２把握している／割合","Cアナフィラキシー／１把握していない／施設数","Cアナフィラキシー／１把握していない／割合","Dアトピー性皮膚炎／２把握している／施設数","Dアトピー性皮膚炎／２把握している／割合","Dアトピー性皮膚炎／１把握していない／施設数","Dアトピー性皮膚炎／１把握していない／割合","Eアレルギー性鼻炎／２把握している／施設数","Eアレルギー性鼻炎／２把握している／割合","Eアレルギー性鼻炎／１把握していない／施設数","Eアレルギー性鼻炎／１把握していない／割合","Fアレルギー性結膜炎／２把握している／施設数","Fアレルギー性結膜炎／２把握している／割合","Fアレルギー性結膜炎／１把握していない／施設数","Fアレルギー性結膜炎／１把握していない／割合"
"認可保育所＊","1588","1387","95.3","68","4.7","1566","99.8","3","0.2","1353","95.2","68","4.8","1345","93.0","101","7.0","993","73.1","365","26.9","1009","74.4","348","25.6"
"認証保育所＊","527","402","86.8","61","13.2","513","98.8","6","1.2","372","83.6","73","16.4","389","84.9","69","15.1","302","68.6","138","31.4","282","65.1","151","34.9"
"認定こども園＊","95","82","93.2","6","6.8","95","100.0","0","0.0","83","91.2","8","8.8","81","90.0","9","10.0","53","60.2","35","39.8","55","64.7","30","35.3"
"幼稚園＊","666","582","93.3","42","6.7","653","99.1","6","0.9","538","90.3","58","9.7","546","88.6","70","11.4","448","74.4","154","25.6","384","66.7","192","33.3"
"ベビーホテル","331","237","87.8","33","12.2","292","95.4","14","4.6","214","82.9","44","17.1","228","87.4","33","12.6","204","78.2","57","21.8","189","73.8","67","26.2"
"家庭的保育","596","354","72.0","138","28.0","393","74.2","137","25.8","293","63.7","167","36.3","340","69.5","149","30.5","295","63.9","167","36.1","286","62.6","171","37.4"
"学童保育","1169","999","92.9","76","7.1","1127","98.9","13","1.1","904","88.5","117","11.5","933","87.9","129","12.1","895","84.8","161","15.2","750","75.9","238","24.1"
"上記以外の施設","376","276","84.1","52","15.9","336","94.1","21","5.9","258","80.6","62","19.4","278","84.0","53","16.0","232","73.0","86","27.0","212","66.9","105","33.1"
"総数","5348","4319","90.1","476","9.9","4975","96.1","200","3.9","4015","87.1","597","12.9","4140","87.1","613","12.9","3422","74.6","1163","25.4","3167","70.9","1302","29.1"
"＊前回調査施設 (再掲）","2876","2453","93.3","177","6.7","2827","99.5","15","0.5","2346","91.9","207","8.1","2361","90.5","249","9.5","1796","72.2","692","27.8","1730","70.6","721","29.4" 
