"","症状有または診断有／医師の指示有（n＝286）","症状有または診断有／医師の指示無（n＝63）","症状有または診断有／計","症状有／医師の指示有（n＝282）","症状有／医師の指示無（n＝63）","症状有／計","診断有／医師の指示有（n＝284）","診断有／医師の指示無（n＝32）","診断有／計"
"食物名／１、卵","200","37","237","198","37","235","200","29","229"
"食物名／２、牛乳","59","11","70","59","11","70","59","10","69"
"食物名／３、小麦","20","1","21","20","1","21","20","1","21"
"食物名／４、そば","21","24","45","21","24","45","21","18","39"
"食物名／５、落花生","63","14","77","61","14","75","63","11","74"
"食物名／６、えび","11","11","22","11","11","22","11","8","19"
"食物名／７、かに","9","11","20","9","11","20","8","7","15"
"食物名／８、いくら","21","16","37","21","16","37","21","12","33"
"食物名／９、あわび","0","6","6","0","6","6","0","4","4"
"食物名／10、牛肉","3","2","5","3","2","5","3","2","5"
"食物名／11、いか","0","3","3","0","3","3","0","3","3"
"食物名／12、キウイ","14","10","24","14","10","24","14","9","23"
"食物名／13、オレンジ","0","2","2","0","2","2","0","1","1"
"食物名／14、くるみ","24","9","33","24","9","33","24","9","33"
"食物名／15、鶏肉","0","2","2","0","2","2","0","2","2"
"食物名／16、さけ","4","1","5","4","1","5","4","1","5"
"食物名／17、さば","5","2","7","5","2","7","5","2","7"
"食物名／18、大豆","10","1","11","10","1","11","10","1","11"
"食物名／19、豚肉","1","1","2","1","1","2","1","1","2"
"食物名／20、まつたけ","0","0","0","0","0","0","0","0","0"
"食物名／21、もも","0","2","2","0","2","2","0","1","1"
"食物名／22、やまいも","6","13","19","6","13","19","6","8","14"
"食物名／23、りんご","0","0","0","0","0","0","0","0","0"
"食物名／24、グミ・ゼラチン","1","1","2","1","1","2","1","1","2"
"食物名／25、バナナ","4","0","4","4","0","4","4","0","4"
"食物名／26、ごま","13","6","19","13","6","19","13","6","19"
"食物名／27、カシューナッツ","30","13","43","30","13","43","30","13","43"
"食物名／28、米","0","0","0","0","0","0","0","0","0"
"食物名／29、その他","34","21","55","33","21","54","33","10","43" 
