"","H28年度／身体(人)","H28年度／知的(人)","H28年度／精神(人)","H28年度／難病等(人)"
"（訪問系サービス）／居宅介護","6120","2168","5246","104"
"（訪問系サービス）／重度訪問介護","1776","67","3","6"
"（訪問系サービス）／同行援護","3345","15","7","1"
"（訪問系サービス）／行動援護","47","379","2","0"
"（訪問系サービス）／重度障害者等包括支援","0","0","0","0"
"（日中活動系サービス）／生活介護","5077","15419","224","1"
"（日中活動系サービス）／自立訓練(機能訓練)","304","5","6","3"
"（日中活動系サービス）／自立訓練(生活訓練)","56","165","905","0"
"（日中活動系サービス）／就労移行支援","290","872","2184","9"
"（日中活動系サービス）／就労継続支援(Ａ型)","379","652","977","3"
"（日中活動系サービス）／就労継続支援(Ｂ型)","1989","10302","8441","6"
"（日中活動系サービス）／療養介護","1226","86","0","1"
"（日中活動系サービス）／短期入所","1032","2725","129","0"
"（居住系サービス）／共同生活援助","536","6527","2158","1"
"（居住系サービス）／施設入所支援","1833","6869","21","2"
