"","困窮層(％)","周辺層(％)","一般層(％)"
"自分だけの本（学校の教科書やマンガはのぞく）(**)","7.5","3.8","3.6"
"子ども部屋（きょうだいと使っている場合も含む）(***)","31.2","18.6","13.0"
"（自宅で）インターネットにつながるパソコン(***)","35.2","16.9","13.8"
"自宅で宿題をすることができる場所(***)","14.3","4.5","2.2"
"自分専用の勉強机(***)","18.5","9.0","5.4"
"スポーツ用品（野球のグローブや、サッカーボール等）(***)","8.0","4.5","2.4"
"ゲーム機(X)","6.9","3.0","4.5"
"たいていの友だちが持っているおもちゃ(**)","13.8","7.8","9.7"
"自転車(*)","7.4","4.6","4.0"
"おやつや、ちょっとしたおもちゃを買うおこづかい(***)","22.2","10.0","7.8"
"友だちが着ているのと同じような服(***)","15.1","6.2","6.3"
"２足以上のサイズのあった靴(***)","16.1","6.3","3.6"
"携帯電話、スマートフォン(X)","23.2","22.0","19.2"
"携帯音楽プレーヤーなど(**)","42.5","30.3","28.2"
