"","～5","6～15","16～35","36～55","56～75","76～"
"対象者数","127","1694","3293","4450","4384","1146"
"症状１","126","1669","3133","4221","4123","1075"
"%","99.21","98.52","95.14","94.85","94.05","93.8"
"症状２","125","1677","3191","4294","4170","1067"
"%","98.43","99","96.9","96.49","95.12","93.11"
"症状３","124","1652","3018","4101","3921","1025"
"%","97.64","97.52","91.65","92.16","89.44","89.44"
"症状４","125","1651","3007","4042","3871","1010"
"%","98.43","97.46","91.31","90.83","88.3","88.13"
"症状５","125","1674","3199","4361","4250","1109"
"%","98.43","98.82","97.15","98","96.94","96.77"
"（軽症）間欠型","34","597","1033","983","776","197"
"%","26.77","35.24","31.37","22.09","17.7","17.19"
"軽症持続型","67","810","1248","1655","1486","400"
"%","52.76","47.82","37.9","37.19","33.9","34.9"
"中等症持続型","26","266","869","1461","1578","409"
"%","20.47","15.7","26.39","32.83","35.99","35.69"
"重症持続型","0","16","136","339","533","137"
"%","0","0.94","4.13","7.62","12.16","11.95"
"アレ・ダニ・陽性","102","1474","2938","3351","2040","377"
"%","80.31","87.01","89.22","75.3","46.53","32.9"
"アレ・ダニ・擬陽性","2","15","25","85","141","33"
"%","1.57","0.89","0.76","1.91","3.22","2.88"
"アレ・ダニ・陰性","22","164","224","818","1953","663"
"%","17.32","9.68","6.8","18.38","44.55","57.85"
"アレ・ハウスダスト・陽性","93","1338","2780","3184","1911","360"
"%","73.23","78.98","84.42","71.55","43.59","31.41"
"アレ・ハウスダスト・擬陽性","2","18","32","83","133","33"
"%","1.57","1.06","0.97","1.87","3.03","2.88"
"アレ・ハウスダスト・陰性","23","150","215","806","1885","648"
"%","18.11","8.85","6.53","18.11","43","56.54"
