"名称","郵便番号","住所","緯度","経度","座標系","電話・FAX番号"
"千代田区","102-8688","千代田区九段南1-2-1","35.693947","139.753540","JGD2011","電話03-5211-4217／FAX03-3239-8606"
"中央区","104-8404","中央区築地1-1-1","35.670841","139.771927","JGD2011","電話03-3546-6753／FAX03-3546-0505"
"港区(総合）","105-8511","港区芝公園1-5-25","35.658531","139.751541","JGD2011","電話03-3578-2111／FAX03-3578-2678"
"港区芝地区総合支所","105-8511","港区芝公園1-5-25","35.658531","139.751541","JGD2011","電話03-3578-3161／FAX03-3578-3183"
"港区麻布地区総合支所","106-8515","港区六本木5-16-45","35.660809","139.735794","JGD2011","電話03-5114-8822／FAX03-3583-0892"
"港区赤坂地区総合支所","107-8516","港区赤坂4-18-13","35.674904","139.731857","JGD2011","電話03-5413-7276／FAX03-3402-8192"
"港区高輪地区総合支所","108-8581","港区高輪1-16-25高輪コミュニティ－ぷらざ5階","35.113152","136.796387","JGD2011","電話03-5421-7085／FAX03-5421-7613"
"港区芝浦港南地区総合支所","108-0023","港区芝浦1-16-1","35.646198","139.751663","JGD2011","電話03-3546-4151／FAX03-5445-4590"
"新宿区","160-8484","新宿区歌舞伎町1-4-1","35.693535","139.703476","JGD2011","電話03-5273-4518／FAX03-3209-3441"
"文京区","112-8555","文京区春日1-16-21","35.708336","139.752411","JGD2011","電話03-5803-1219／FAX03-5803-1352"
"台東区","110-8615","台東区東上野4-5-6","35.712452","139.779770","JGD2011","電話03-5246-1202／FAX03-5246-1179"
"墨田区","130-8640","墨田区吾妻橋1-23-20","35.710602","139.801895","JGD2011","電話03-5608-6165／FAX03-5608-6423"
"江東区","135-8383","江東区東陽4-11-28","35.672993","139.816360","JGD2011","電話03-3647-4953又は03-3647-4958／FAX03-3647-4910"
"品川区","140-8715","品川区広町2-1-36","35.608299","139.730957","JGD2011","電話03-5742-6710／FAX03-3775-2000"
"目黒区","153-8573","目黒区上目黒2-19-15","35.640465","139.698700","JGD2011","電話03-3715-1111内線2615／FAX03-3715-4424"
"大田区(総合）","144-8621","大田区蒲田5-13-14","35.561337","139.716293","JGD2011","電話03-5744-1111／FAX03-5744-1555"
"大田区（大森地域福祉課）","143-0015","大田区大森西1-12-1","35.578598","139.722992","JGD2011","電話03-5764-0657／FAX03-5764-0659"
"大田区（調布地域福祉課）","145-0067","大田区雪谷大塚町4-6","35.593246","139.680786","JGD2011","電話03-3726-2181／FAX03-3726-5070"
"大田区（蒲田地域福祉課）","144-0053","大田区蒲田本町2－1－1","35.558681","139.718399","JGD2011","電話03-5713-1504／FAX03-5713-1509"
"大田区（糀谷・羽田地域福祉課）","144-0033","大田区東糀谷1－21－15","35.557152","139.739609","JGD2011","電話03-3743-4281／FAX03-6432-8838"
"世田谷区（世田谷）","154-8504","世田谷区世田谷4-22-33","35.646301","139.652374","JGD2011","電話03-5432-2865／FAX03-5432-3049"
"世田谷区（北沢）","155-8666","世田谷区北沢2-8-1北沢タウンホール10階","35.662796","139.669495","JGD2011","電話03-6804-8727／FAX03-6804-8813（障害支援課と明記）"
"世田谷区（玉川）","158-8503","世田谷区等々力3-4-1","35.608311","139.648712","JGD2011","電話03-3702-1796／FAX03-5707-2661"
"世田谷区（砧）","157-8501","世田谷区成城6-2-1","35.641003","139.601028","JGD2011","電話03-3482-8198／FAX03-3482-1796"
"世田谷区（烏山）","157-8555","世田谷区南烏山6-22-14","35.669556","139.598145","JGD2011","電話03-3326-6115／FAX03-3326-6154"
"渋谷区","150-8010","渋谷区宇田川町1-1","35.663475","139.697189","JGD2011","電話03-3463-1937／FAX03-5458-4935"
"中野区","164-8501","中野区中野4-8-1","35.707546","139.663818","JGD2011","電話03-3228-8956／FAX03-3228-5665"
"杉並区(高円寺）","166-0003","杉並区高円寺南2-24-18","35.700626","139.649323","JGD2011","電話03-5306-2611／FAX03-5306-2620"
"杉並区(荻窪）","167-0032","杉並区天沼3-19-16ウェルファーム杉並2階","35.710388","139.620667","JGD2011","電話03-3398-9104／FAX03-3398-9598"
"杉並区（高井戸）","168-0072","杉並区高井戸東3-26-10","35.685772","139.616058","JGD2011","電話03-3332-7221／FAX03-3335-5641"
"豊島区（障害福祉課）","171-8422","豊島区南池袋2-45-1","35.725555","139.717392","JGD2011","電話03-3981-2141又は03-4566-2442／FAX03-3981-4303"
"北区（王子）","114-8508","北区王子本町1-15-22","35.753197","139.734283","JGD2011","電話03-3908-9081／FAX03-3908-5344"
"北区（赤羽）","115-0044","北区赤羽南1-13-1赤羽会館6階","35.777493","139.723923","JGD2011","電話03-3903-4161／FAX03-3903-0991"
"荒川区","116-8501","荒川区荒川2-2-3","35.735130","139.783615","JGD2011","電話03-3802-3111／FAX03-3802-0819"
"板橋区（板橋）","173-8501","板橋区板橋2-66-1","35.750694","139.709503","JGD2011","電話03-3579-2460／FAX03-3579-2364"
"板橋区（赤塚）","175-0092","板橋区赤塚6-38-1","35.778679","139.645477","JGD2011","電話03-3938-5118／FAX03-3938-5820"
"板橋区（志村）","174-0046","板橋区蓮根2-28-1","35.784122","139.675156","JGD2011","電話03-3968-2337／FAX03-3965-0180"
"練馬区（練馬総合）","176-8501","練馬区豊玉北6-12-1","35.735710","139.651672","JGD2011","電話03-5984-4609／FAX03-5984-1213"
"練馬区（石神井総合）","177-8509","練馬区石神井町3-30-26","35.743645","139.602905","JGD2011","電話03-5393-2816／FAX03-3995-1104"
"練馬区（光が丘総合）","179-0072","練馬区光が丘2-9-6","35.759140","139.630356","JGD2011","電話03-5997-7796／FAX03-5997-9701"
"練馬区（大泉総合）","178-8501","練馬区東大泉町1-29-1","35.750179","139.585770","JGD2011","電話03-5905-5272／FAX03-5905-5277"
"足立区（千住援護）","120-0036","足立区千住仲町19-3千住庁舎内","35.746437","139.801193","JGD2011","電話03-3888-3146／FAX03-3888-5344"
"足立区（中部援護）","120-8510","足立区中央本町1-17-1","35.775124","139.805023","JGD2011","電話03-3880-5881／FAX03-3880-5754"
"足立区（東部援護）","120-0004","足立区東綾瀬1-26-2","35.765862","139.830856","JGD2011","電話03-3605-7520／FAX03-5697-6560"
"足立区（西部援護）","123-0864","足立区鹿浜8-27-15","35.790096","139.765015","JGD2011","電話03-3897-5034／FAX03-3856-7229"
"足立区（北部援護）","121-8555","足立区竹の塚2-25-17北部福祉課内","35.792858","139.794678","JGD2011","電話03-5381-5799／FAX03-3860-5077"
"葛飾区","124-8555","葛飾区立石5-13-1","35.743164","139.847290","JGD2011","電話03-5654-8302／FAX03-5698-1531"
"江戸川区","132-8501","江戸川区中央1-4-1","35.706589","139.867920","JGD2011","電話03-5662-0052／FAX03-3656-5874"
"立川市","190-8666","立川市泉町1156-9","35.715286","139.406281","JGD2011","電話042-523-2111内線1511／FAX042-529-8676"
"武蔵野市","180-8777","武蔵野市緑町2-2-28","35.717499","139.566452","JGD2011","電話0422-60-1904／FAX0422-51-9239"
"三鷹市","181-8555","三鷹市野崎1-1-1","35.683262","139.559418","JGD2011","電話0422-45-1151内線2655／FAX0422-47-9577"
"青梅市","198-8701","青梅市東青梅1-11-1","35.788086","139.275269","JGD2011","電話0428-22-1111／FAX0428-24-0358"
"府中市","183-8703","府中市宮西町2-24","35.668858","139.477768","JGD2011","電話042-335-4162／FAX042-368-6126"
"昭島市","196-8511","昭島市田中町1-17-1","35.705971","139.354507","JGD2011","電話042-544-5111内線2135／FAX042-546-8855"
"調布市","182-8511","調布市小島町2-35-1","35.650593","139.540894","JGD2011","電話042-481-7089／FAX042-481-4288"
"町田市","194-8520","町田市森野2-2-22","35.547039","139.438141","JGD2011","電話042-724-2148／FAX050-3101-1653"
"小金井市","184-8504","小金井市本町6-6-3","35.699074","139.503128","JGD2011","電話042-387-9841／FAX042-384-2524"
"小平市","187-8701","小平市小川町2-1333","35.729321","139.476929","JGD2011","電話042-346-9542／FAX042-346-9541"
"日野市","191-8686","日野市神明1-12-1","35.670986","139.395279","JGD2011","電話042-514-8489／FAX042-582-0294"
"東村山市","189-8501","東村山市本町1-2-3","35.754490","139.468414","JGD2011","電話042-393-5111／FAX042-395-2131"
"国分寺市","185-8501","国分寺市戸倉1-6-1","35.710770","139.462646","JGD2011","電話042-325-0111内線344／FAX042-324-6831"
"国立市","186-8501","国立市富士見台2-47-1","35.684376","139.441513","JGD2011","電話042-576-2111／FAX042-573-1102"
"福生市","197-8501","福生市本町5","35.738701","139.326782","JGD2011","電話042-551-1742／FAX042-552-5150"
"狛江市","201-8585","狛江市和泉本町1-1-5","35.634491","139.577927","JGD2011","電話03-3430-1111／FAX03-3480-1133"
"東大和市","207-8585","東大和市中央3-930","35.745262","139.426498","JGD2011","電話042-563-2111内線1125／FAX042-563-5928"
"清瀬市","204-8511","清瀬市中里5-842","35.785568","139.526550","JGD2011","電話042-492-5111／FAX042-492-5139"
"東久留米市","203-8555","東久留米市本町3-3-1","35.758629","139.529709","JGD2011","電話042-470-7777内線2544／FAX042-475-8181"
"武蔵村山市","208-8502","武蔵村山市学園4-5-1","35.746132","139.403259","JGD2011","電話042-565-1111／FAX042-562-3966"
"多摩市","206-8666","多摩市関戸6-12-1","35.637653","139.447174","JGD2011","電話042-375-8111／FAX042-371-1200"
"稲城市","206-8601","稲城市東長沼2111","35.638123","139.504288","JGD2011","電話042-378-2111内線224／FAX042-378-5677"
"羽村市","205-8601","羽村市緑ヶ丘5-2-1","35.767506","139.310928","JGD2011","電話042-555-1111／FAX042-555-7323"
"あきる野市","197-0814","あきる野市二宮350","35.729115","139.294510","JGD2011","電話042-558-1111内線2619／FAX042-558-1170"
"西東京市","188-8666","西東京市南町5-6-13","35.726341","139.538010","JGD2011","電話042-420-2806／FAX042-466-9666"
"瑞穂町","190-1292","瑞穂町大字箱根ヶ崎2335","35.771915","139.353943","JGD2011","電話042-557-0574／FAX042-556-3401"
"日の出町","190-0192","日の出町大字平井2780","35.742443","139.256607","JGD2011","電話042-597-0511／FAX042-597-4369"
"檜原村","190-0211","檜原村2717","35.726822","139.148880","JGD2011","電話042-598-3121／FAX042-598-1263"
"奥多摩町","198-0212","奥多摩町氷川1111","35.823605","139.093445","JGD2011","電話0428-83-2777／FAX0428-83-2833"
"大島町","100-0101","大島町元町1-1-14","34.750118","139.355286","JGD2011","電話04992-2-1471／FAX04992-2-4430"
"利島村","100-0301","利島村248","34.529430","139.282074","JGD2011","電話04992-9-0011／FAX04992-9-0190"
"新島村","100-0402","新島村本村1-1-1","34.376541","139.256912","JGD2011","電話04992-5-0243／FAX04992-5-1304"
"神津島村","100-0601","神津島村904","34.205669","139.134155","JGD2011","電話04992-8-0011／FAX04992-8-1242"
"三宅村","100-1212","三宅島三宅村阿古497","34.076126","139.479889","JGD2011","電話04994-5-0902／FAX04994-5-0655"
"御蔵島村","100-1301","御蔵島村字入かねが沢","33.897289","139.595901","JGD2011","電話04994-8-2121／FAX04994-8-2239"
"八丈町","100-1498","八丈島八丈町大賀郷2551-2","33.113388","139.789261","JGD2011","電話04996-2-5570／FAX04996-2-7923"
"青ヶ島村","100-1701","青ヶ島村無番地","32.466946","139.763336","JGD2011","電話04996-9-0111／FAX04996-9-0001"
"小笠原村","100-2101","小笠原村父島字西町","27.071243","142.209610","JGD2011","電話04998-2-3111／FAX04998-2-3223"
