"項目","内容","平成25年度実績","平成29年度見込み","考え方"
"就労移行支援事業及び就労継続支援事業利用者の一般就労への移行(人)","就労移行支援事業及び就労継続支援事業の利用者のうち、一般就労への移行者数の見込み","1289","2060","平成24年度実績(1,030)の2倍の人数が移行"
"公共職業安定所におけるチーム支援による福祉施設利用者の支援(件)","福祉施設の利用者のうち、公共職業安定所（ハローワーク）によるチーム支援件数の見込み","1185","2140","福祉施設から一般就労への移行を希望する全ての者を支援"
"障害者の態様に応じた多様な委託訓練事業の受講(人)","福祉施設から一般就労へ移行する者のうち、委託訓練の受講者数の見込み","165","240","福祉施設から一般就労へ移行する者のうち必要な者が受講"
"障害者トライアル雇用事業の開始(人)","福祉施設から一般就労へ移行する者のうち、障害者トライアル雇用事業の開始者数の見込み","86","214","福祉施設から一般就労へ移行する者のうち必要な者に支援"
"職場適応援助者（ジョブコーチ）による支援(人)","福祉施設から一般就労へ移行する者のうち、職場適応援助者（ジョブコーチ）による支援対象者数の見込み（東京ジョブコーチを含む。）","117","216","福祉施設から一般就労へ移行する者のうち必要な者に支援"
"障害者就業・生活支援センター事業による支援対象者数(人)","福祉施設から一般就労へ移行する者のうち、障害者就業・生活支援センターによる支援対象者数の見込み","81","163","区市町村障害者就労支援センター、就労移行支援事業所等と連携した支援"
"障害者就^・東京都エイズ電話相談13,649件／・都保健所における相談・検査1,925件／・東京都南新宿検査・相談室9,667件／・東京都多摩地域検査・相談室1,788件","○普及啓発／・対象別（一般都民、患者・感染者、外国人向け）パンフレット、リーフレットの作成・配布／・新聞・雑誌・インターネットなどを活用した普及啓発の実施／・東京都HIV検査・相談月間（6月1日～6月30日）における啓発活動の集中的展開／・東京都エイズ予防月間（11月16日～12月15日）における啓発活動の集中的展開／・同年代の仲間同士が一緒にHIV/エイズのことを考える、エイズ・ピア・エデュケーションの実施／・豊島区池袋保健所のエイズ知ろう館に、エイズ啓発拠点「ふぉー・てぃー」を通年設置（原則無休）／・繁華街で若者（勤労者を含む）を対象としたイベントを開催／○相談・検査／・東京都HIV／エイズ電話相談11,330件／・都保健所における相談・検査2,162件／・東京都南新宿検査・相談室10,439件／・東京都多摩地域検査・相談室2,139件"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","106","エイズ理解・予防に関する児童・生徒用パンフレットの作成・配布","教育庁","都立中学校、都立中等教育学校、都立高校、都立特別支援学校の児童・生徒を対象に、パンフレットを作成、配布することにより、エイズへの理解や予防を推進する。","継続実施","継続実施","継続実施","エイズ理解・予防に関するパンフレットを作成・配布し普及・啓発を図った。／小学校高学年用（1,200部）、中学生用（3,100部）、高校生用（52,700部）"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","107","薬物乱用防止対策","福祉保健局","青少年の薬物乱用を防止するため、次の対策を展開する。／○薬物乱用防止教室・薬物乱用防止ポスター、標語の募集／○薬物乱用防止高校生会議・啓発パンフレット、リーフレット等の整備／○有職少年、無職少年を視野に入れた啓発拠点の拡大／○薬物乱用防止活動率先校の公表","○薬物乱用防止ポスター・標語の募集／応募数ポスター：7,836点標語：29,059点／○薬物乱用防止高校生会議／都立高校2校（都立墨田川高校､都立本所高校）が参加。活動の成果としてﾘｰﾌﾚｯﾄを170,000部作成し、都内高校１年生に配布。／○啓発用パンフレット､リーフレット等の整備／・「今こそストップ！薬物乱用」（中学生・高校生・一般都民用）100,000部（内容の更新・増刷）／・「健康に生きる恐ろしい薬物乱用」（小学校高学年・中学生用）100,000部（表紙の更新・増刷）／・「海外旅行をするみなさんへ」（渡航者用）35,000部（内容の更新・増刷）／○有職少年・無職少年を視野に入れた啓発拠点の拡大／自動車教習所（50か所）、カラオケボックス（550か所）でポスター掲示依頼／○薬物乱用防止活動率先校の公表／ポスターの部32校、標語の部45校、高校生会議参加校2校／○啓発用DVDの作成・活用／「No!Drug人生の別れ道」1,500部都内の大学・短大・高校等に配布","○薬物乱用防止ポスター・標語の募集／応募数ポスター：8,226点標語：30,666点／○薬物乱用防止高校生会議／都立高校2校（都立町田総合高校､都立山崎高校）が参加。活動の成果としてﾘｰﾌﾚｯﾄを170,000部作成し、都内高校１年生に配布。／○啓発用パンフレット､リーフレット等の整備／・「今こそストップ！薬物乱用」（中学生・高校生・一般都民用）100,000部（内容の更新・増刷）／・「健康に生きる恐ろしい薬物乱用」（小学校高学年・中学生用）100,000部（表紙の更新・増刷）／・「海外旅行をするみなさんへ」（渡航者用）35,000部（内容の更新・増刷）／○有職少年・無職少年を視野に入れた啓発拠点の拡大／クラブ（52か所）、生活衛生組合（興行場、公衆浴場）でポスター掲示依頼／○薬物乱用防止活動率先校の公表／ポスターの部27校、標語の部58校、高校生会議参加校2校／○街頭ビジョンでＣＭ放映／新宿、渋谷、池袋、六本木の4か所","○薬物乱用防止ポスター・標語の募集／応募数ポスター：9,479点、標語：30,260点／○薬物乱用防止高校生会議／都立高校2校（都立第四商業高校､都立武蔵丘高校）が参加。活動の成果としてﾘｰﾌﾚｯﾄを170,000部作成し、都内高校１年生に配布。／○啓発用パンフレット､リーフレット等の整備／・「今こそストップ！薬物乱用」（中学生・高校生・一般都民用）100,000部（内容更新）／・「健康に生きる恐ろしい薬物乱用」（小学校高学年・中学生用）100,000部（表紙の更新）／・「海外旅行をするみなさんへ」（渡航者用）35,000部（増刷）／「違法ドラッグ合法なんてない！」（一般都民用）75,000部／○有職少年・無職少年を視野に入れた啓発拠点の拡大ネットカフェ（141箇所）、民間鉄道／○薬物乱用防止活動率先校の公表／ポスターの部37校、標語の部58校、高校生会議参加校2校","○薬物乱用防止ポスター・標語の募集／応募数ポスター：9,599点、標語：32,989点／○薬物乱用防止高校生会議／都立高校2校（都立芝商業高校､都立第一商業高校）が参加。活動の成果としてﾘｰﾌﾚｯﾄを160,000部作成し、都内高校1年生に配布／○啓発用パンフレット､リーフレット等の整備／・「今こそストップ！薬物乱用」(中学生・高校生・一般都民用）100,000部（内容更新）／・「健康に生きる恐ろしい薬物乱用」（小学校高学年・中学生用）100,000部（表紙の更新）／・「海外旅行をするみなさんへ」（渡航者用）60,000部／（増刷）／・「違法ドラッグ合法なんてない！」（一般都民用）100,000部（増刷）／・「脱法ハーブにはダマされない!!近づかない!!」（一般都民用）175,000部／○有職少年・無職少年を視野に入れた啓発拠点の拡大ポスター掲示依頼／○薬物乱用防止活動率先校の公表／ポスターの部43校、標語の部60校、高校生会議参加校2校／○緊急啓発事業／大学との連携広報：都内大学2校の学園祭における啓発ｽﾃｰｼﾞｲﾍﾞﾝﾄ実施／タレントを起用した違法ドラッグ乱用防止啓発動画の作成／JR電車内トレインチャンネル・街頭ビジョン等での放映"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","108","未成年者の喫煙防止対策","福祉保健局","未成年者の喫煙及び受動喫煙の健康影響防止を推進するため、次の事業を展開する。／○中学生用リーフレット等の作成・配布やホームページ等による普及啓発／○小中高校生を対象にたばこの健康影響について考えてもらうためのポスター公募","○中学生用リーフレットの増刷及び配布140,000部／(配布先)都内国公立私立中学校（1年生分のみ）及び中学生のいる特別支援学校等／○都内在住又は在学の小学4年生から高校生までを対象に「未成年者喫煙防止ポスター」を募集／応募総数2,479点／(内訳)小学生の部666点中学生の部1,576点高校生の部237点","○中学生用リーフレットの増刷及び配布140,000部／(配布先)都内国公立私立中学校（1年生分のみ）及び中学生のいる特別支援学校等／○都内在住又は在学の小学４年生から高校生までを対象に「未成年者喫煙防止ポスター」を募集／応募総数2,521点／(内訳)小学生の部801点中学生の部1,633点高校生の部87点","○中学生用リーフレットの増刷及び配布140,000部／(配布先)都内国公立私立中学校（1年生分のみ）及び中学生のいる特別支援学校等／○都内在住又は在学の小学４年生から高校生までを対象に「未成年者喫煙防止ポスター」を募集。／応募総数2,906点／(内訳)小学生の部645点、中学生の部2,098点、高校生の部163点","○中学生用リーフレットの増刷及び配付140,000部／(配付先)都内国公立私立中学校（1年生分のみ）及び中学生のいる特別支援学校等／○都内在住又は在学の小学４年生から高校生までを対象に「未成年者喫煙防止ポスター」を募集。／応募総数1,309点／(内訳)小学生の部336点、中学生の部913点、高校生の部60点／○中学生用リーフレットのデザインを改訂。改訂版リーフレッ／トは来年度より配付予定。"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","108","未成年者の喫煙防止対策","教育庁","未成年者の喫煙及び受動喫煙の健康影響防止を推進するため、次の事業を展開する。／○中学生用リーフレット等の作成・配布やホームページ等による普及啓発／○小中高校生を対象にたばこの健康影響について考えてもらうためのポスター公募","○全都立学校にて継続して敷地内全面禁煙を実施／○区市町村立学校の敷地内全面禁煙の割合が全都平均で小学校73％、中学校57％となった。／○継続して喫煙防止リーフレットを福祉保健局と共同発行し、全中学1年生に配布した。","○全都立学校にて継続して敷地内全面禁煙を実施／○区市町村立学校の敷地内全面禁煙の割合が全都平均で小学校79％、中学校62％となった。／○継続して喫煙防止リーフレットを福祉保健局と共同発行し、全中学1年生に配布した。","○全都立学校にて継続して敷地内全面禁煙を実施／○区市町村立学校の敷地内全面禁煙の割合が全都平均で小学校８７％、中学校７７％となった。／○継続して喫煙防止リーフレットを福祉保健局と共同発行し、全中学１年生に配布した。／○未成年者受動喫煙防止ポスターコンクールを福祉保健局と共同で募集した。","○全都立学校にて継続して敷地内全面禁煙を実施／○区市町村立学校の敷地内全面禁煙の割合が全都平均で小学校９０％、中学校７７％となった。／○継続して喫煙防止リーフレットを福祉保健局と共同発行し、全中学１年生に配布した。／○未成年者受動喫煙防止ポスターコンクールを福祉保健局と共同で募集した。"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","再掲","生涯を通じた女性の健康支援事業（＊N０.8参照）","福祉保健局","","","","",""
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","○","","109","放課後子どもプラン（放課後子供教室）","教育庁","全ての子供を対象として、放課後や週末等に小学校等を活用して、安全・安心な子供の活動拠点（居場所）を設け、地域の人々の参画を得て、子供たちに学習、文化・スポーツ活動、地域住民との交流の機会を提供することにより、子供たちが地域社会の中で、心豊かに健やかに育まれる環境づくりを推進する。","50区市町（22区23市5町）／958教室で実施","51区市町（22区24市5町）／1,009教室で実施","52区市町（22区25市5町）／1,049教室で実施","52区市町（22区25市5町）／1,101教室で実施"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","110","児童館等整備費補助","福祉保健局","児童に健全な遊びを与えて、健康を増進し、又は情操を豊かにするために、児童館及び学童クラブの整備を行う区市町村の取組を支援する。","○児童館（創設）5施設（改築）7施設（大規模修繕）5施設／○学童クラブ（創設）16施設","○児童館（創設）7施設（改築）5施設（大規模修繕）18施設／○学童クラブ（創設）11施設","○児童館（創設）6施設（改築）3施設（大規模修繕）11施設／○学童クラブ（創設）8クラブ","○児童館（創設）2施設（改築）3施設（大規模修繕）5施設／○学童クラブ（創設）11クラブ（改築）12クラブ（大規／模修繕）2クラブ"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","○","","","111","早期からの「しつけ」の後押し事業","青少年・治安対策本部","親が子供への「しつけ」を普通にしながら子供の規範意識をはぐくんでいけるよう、都内区市町村が開催する子育て関連講座に、民間事業者と連携して多様な指導員を派遣する。","開催回数162回／受講者4,766人","開催回数226回／受講者3,541人","開催回数234回／受講者4,012人","開催回数254回／受講者5,076人"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","○","○","","112","乳幼児期からの子供の教育支援プロジェクト","教育庁","子供の発達に関する科学的知見を踏まえ、乳幼児期からの子供の教育の重要性を全ての保護者に伝えるとともに、乳幼児期からの子供の教育支援の取組を地域に定着させる取組を実施する。","○地域における家庭教育支援の「担い手」養成研修の実施（全都研修1回、地区別研修3か所）／○保護者向け資料の作成・配布22万5千部／○生活リズム教材の作成・配布12万5千部／○研修教材（2種）の作成・配布各900部／○オリジナルウェブサイト、携帯サイトの継続運営","○地域における家庭教育支援の「担い手」養成研修の実施（全都研修1回、地区別研修2か所）／○保護者向け資料の作成・配布11万5千部／○生活リズム教材の作成・配布12万5千部／○研修教材（2種）の作成・配布各900部／○オリジナルウェブサイト、携帯サイトの継続運営","○地域における家庭教育支援の「担い手」養成研修の実施（全都研修1回、地区別研修3箇所）／○保護者向け資料の作成・配布11万5千部／○生活リズム教材の作成・配布12万5千部／○研修教材（２種）の作成・配布各500部／○オリジナルウェブサイト及び携帯サイトによる保護者・支援者向けの資料、教材等情報提供（通年、継続）","○保護者向け資料の作成・配布１１万５千部／○生活リズム教材の作成・配布１２万５千部／○オリジナルウェブサイト及び携帯サイトによる保護者・支援者向けの、資料・教材等情報提供（通年・継続）／○地域における家庭教育支援の取組の推進（地域の活動支援、人材養成、学習機会提供等の支援10区市）"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","113","学校・家庭・地域の連携による教育活動の推進","教育庁","地域全体で子供の教育を支えるためには、学校･家庭･地域･社会が具体的に連携･協力する仕組みを構築する必要がある。このため、「地域教育推進ネットワーク東京都協議会」や国の学校支援地域本部事業を活用して、各区市町村において、地域全体で子供の教育を支える「学校支援ボランティア推進協議会」の設置を推進し、様々な教育活動に多様な地域人材の活用を促進する。","○地域教育推進ネットワーク東京都協議会の加盟団体数計317団体／○教育支援コーディネーターの養成、研修8区市で実施／○学校支援ボランティア推進協議会の設置21区市521校","○地域教育推進ネットワーク東京都協議会の加盟団体数計337団体／○教育支援コーディネーターの養成、研修9区市で実施／○学校支援ボランティア推進協議会の設置22区市673校","○地域教育推進ネットワーク東京都協議会の加盟団体数計378団体／○教育支援コーディネーターの養成、研修5区市で実施／○学校支援ボランティア推進協議会の設置21区市717校","○地域教育推進ネットワーク東京都協議会の加盟団体数計416団体／○教育支援コーディネーターの養成、研修8区市町で実施／○学校支援ボランティア推進協議会の設置23区市町788校"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","○","","","114","地域教育活動を担う教育サポーターの養成","教育庁","これからの学校教育は、学校と地域との連携を強化し、地域総ぐるみで学校を支え、教育活動を活性化させていくことが重要であるため、団塊の世代をはじめとする地域住民を、教育サポーターとして養成し、教育活動の支援者として活用していく仕組みづくりを進めていく。","養成実績／(1)職業理解11名(2)福祉18名(3)ニート・フリーター対策12名(4)国際理解24名／合計65名","養成実績／(1)子供パートナー養成講座114名(2)障害理解43名／(3)災害対応51名(4)放課後子供教室サポーター養成講座43名(5)学校支援サポーター養成講座35名(6)コーディネーター講座24名(7)リズムダンス指導者養成講座51名／合計361名","平成23年度にて事業終了","平成23年度にて事業終了"
