"区市町村","理解促進・啓発事業","自発的活動支援事業","相談支援事業*／基幹相談支援センター等機能強化事業","相談支援事業*／住宅入居等支援事業（居住サポート事業）","成年後見制度利用支援事業","成年後見制度法人後見支援事業","意思疎通支援事業／手話通訳者派遣事業","意思疎通支援事業／要約筆記者派遣事業","日常生活用具給付等事業","手話奉仕員養成研修事業","移動支援事業","地域活動支援センター／機能強化事業(1型)","地域活動支援センター／機能強化事業(2型)","地域活動支援センター／機能強化事業(3型)","地域活動支援センター／基礎的事業のみ"
"千代田区","○","","○","","","","○","○","○","","○","○","","",""
"中央区","○","○","○","","○","","○","○","○","○","○","○","○","",""
"港区","○","","○","","○","○","○","○","○","○","○","○","","",""
"新宿区","○","○","○","○","○","○","○","○","○","○","○","○","","○",""
"文京区","○","","○","","○","","○","○","○","","○","○","○","○",""
"台東区","○","○","○","","○","","○","○","○","○","○","○","○","○",""
"墨田区","○","○","","○","○","","○","○","○","○","○","","","",""
"江東区","○","○","○","","○","○","○","○","○","○","○","○","○","",""
"品川区","○","","○","","○","○","○","○","○","○","○","○","","",""
"目黒区","○","○","","","○","","○","○","○","○","○","○","○","○",""
"大田区","○","○","○","","","","○","○","○","○","○","○","○","○",""
"世田谷区","○","","○","○","○","○","○","○","○","○","○","○","○","",""
"渋谷区","○","","○","","○","○","○","○","○","○","○","○","","○",""
"中野区","","","○","○","○","","○","○","○","○","○","○","○","",""
"杉並区","","","","","","","○","○","○","○","○","","","○",""
"豊島区","○","","○","○","○","","○","○","○","○","○","○","○","○",""
"北区","○","○","","","○","","○","○","○","○","○","○","","",""
"荒川区","○","","○","","○","","○","○","○","○","○","○","○","",""
"板橋区","○","","○","","○","","○","○","○","○","○","○","○","",""
"練馬区","○","○","○","","○","","○","○","○","○","○","○","○","○",""
"足立区","○","○","○","","○","","○","○","○","○","○","○","○","○",""
"葛飾区","○","○","","","○","","○","○","○","","○","○","○","",""
"江戸川区","○","○","","○","○","○","○","○","○","○","○","○","○","○",""
"八王子市","○","","","○","○","","○","○","○","○","○","○","","○",""
"立川市","","○","○","○","○","○","○","○","○","○","○","○","○","",""
"武蔵野市","○","","○","","○","","○","○","○","○","○","○","","",""
"三鷹市","○","","○","○","○","","○","○","○","○","○","○","○","",""
"青梅市","","","","","","","○","○","○","○","○","○","","",""
"府中市","○","○","","○","○","","○","○","○","○","○","○","○","",""
"昭島市","","","","","○","","○","○","○","○","○","○","","",""
"調布市","○","○","○","","○","○","○","○","○","○","○","○","","",""
"町田市","○","","","","○","○","○","○","○","","○","○","","",""
"小金井市","○","○","○","","○","","○","○","○","○","○","○","○","",""
"小平市","","","○","○","○","","○","○","○","○","○","○","","○",""
"日野市","○","○","○","","○","","○","○","○","○","○","○","","",""
"東村山市","○","","","","","","○","○","○","○","○","○","","",""
"国分寺市","○","","○","○","○","","○","○","○","○","○","○","","○",""
"国立市","","","○","","○","","○","○","○","○","○","○","○","",""
"福生市","○","○","○","","○","","○","○","○","○","○","○","○","",""
"狛江市","○","○","","","○","","○","○","○","○","○","○","","○",""
"東大和市","○","","○","","○","","○","○","○","○","○","○","○","",""
"清瀬市","","","○","○","○","","○","○","○","○","○","○","","",""
"東久留米市","○","","○","","○","","○","○","○","○","○","○","○","",""
"武蔵村山市","","","","","○","","○","○","○","○","○","○","○","",""
"多摩市","","○","○","","○","","○","○","○","○","○","○","","",""
"稲城市","","","","","○","","○","○","○","○","○","○","","",""
"羽村市","○","","","","○","","○","○","○","○","○","○","","",""
"あきる野市","○","","","○","○","","○","○","○","○","○","○","","○",""
"西東京市","○","","○","","","","○","○","○","○","○","○","","",""
"瑞穂町","","","","","","","○","○","○","","○","","○","",""
"日の出町","","","","","","","○","○","○","","○","","○","",""
"檜原村","","","○","","","","○","","○","","○","","","",""
"奥多摩町","","","","","","","○","","○","","○","","","○",""
"大島町","","","","","","","","","○","","○","","","",""
"利島村","","","○","","","","","","","","","","","",""
"新島村","","","","","","","","","○","","○","","","",""
"神津島村","","","","","","","","","○","","○","","","○",""
"三宅村","","","","","","","","","○","","○","","","","○"
"御蔵島村","","","","","","","","","○","","○","","","",""
"八丈町","","","","","○","","","","○","","○","","","",""
"青ヶ島村","","","","","","","","","","","","","","",""
"小笠原村","","","","","","","","","○","","","","","",""
"区市町村数","38","20","34","14","44","10","53","51","60","45","59","47","26","18","1"
