"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","市内全域","日野市高齢福祉課","ﾋﾉｼｺｳﾚｲﾌｸｼｶ","042-514-8496","042-583-4198","191-8686","日野市神明1-12-1","35.670986","139.395279","JGD2011","平日8時30分～17時15分","","","","","〇","〇",""
"2","百草、落川、程久保（1～8丁目を除く。）、三沢2丁目、三沢1289～1294番地","日野市地域包括支援センターもぐさ","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾓｸﾞｻ","042-599-0536","042-599-0308","191-0034","日野市落川1070","35.656994","139.430054","JGD2011","平日9時～18時","","〇","","","","〇",""
"3","高幡、三沢(1289～1294番地を除く。)、三沢1、3～5丁目、大字新井、大字石田 (浅川南)、程久保1～8丁目","日野市地域包括支援センターあさかわ","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｱｻｶﾜ","042-593-1919","042-593-1920","191-0031","日野市高幡864-4","35.663918","139.409134","JGD2011","平日9時～18時","","〇","","","","〇",""
"4","豊田、大字豊田、東豊田、旭が丘2、5、6丁目、多摩平1、2丁目、富士町","日野市地域包括支援センターすてっぷ","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｽﾃｯﾌﾟ","042-582-7367","042-582-7368","191-0053","日野市豊田3-1-8","35.657356","139.384079","JGD2011","平日9時～18時","","〇","","","","〇",""
"5","多摩平3～7丁目、日野台4、5丁目、大坂上","日野市地域包括支援センターあいりん","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｱｲﾘﾝ","042-586-9141","042-586-9142","191-0062","日野市多摩平6-31-7","35.670166","139.383896","JGD2011","平日時～18時","","〇","","","","〇",""
"6","日野本町、神明、日野台1～3丁目、栄町、新町","日野市地域包括支援センターせせらぎ","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｾｾﾗｷﾞ","042-589-3560","042-581-7614","191-0011","日野市日野本町6-3-17","35.683159","139.402542","JGD2011","平日9時～18時","","〇","","","","〇",""
"7","万願寺、大字上田、大字川辺堀之内、大字日野、大字宮、石田、大字石田（浅川北）","日野市地域包括支援センター多摩川苑","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾀﾏｶﾞﾜｴﾝ","042-582-1707","042-582-1730","191-0024","日野市万願寺1-16-1","35.675983","139.420212","JGD2011","平日9時～18時","","〇","","","","〇",""
"8","東平山2、3丁目、平山","日野市地域包括支援センターいきいきタウン","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｲｷｲｷﾀｳﾝ","042-585-7071","042-585-7079","191-0054","日野市東平山3-1-1","35.654514","139.378799","JGD2011","平日9時～18時","","〇","","","","〇",""
"9","南平","日野市地域包括支援センターすずらん","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｽｽﾞﾗﾝ","042-599-5531","042-599-5532","191-0041","日野市南平7-19-13","35.654911","139.392914","JGD2011","平日9時～18時","","〇","","","","〇",""
"10","旭が丘1、3、4丁目、西平山、東平山1丁目","日野市地域包括支援センターかわきた","ﾋﾉｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｶﾜｷﾀ","042-589-1710","042-589-1719","191-0055","日野市西平山1-12-1","35.648754","139.374802","JGD2011","平日9時～18時","","〇","","","","〇",""
"11","市内全域","日野市消費生活センター","ﾋﾉｼｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","042-581-3556","","191-0011","日野市日野本町1-6-2","35.675922","139.400253","JGD2011","平日9時30分～12時／13時～16時","","","","","〇","","〇"
