"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","59","100","3","100","1","100","8","100","7","100","17","100","23","100","12","100","11","100","9","100","3","100"
"男／3.9%以下","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／4.0～4.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／4.2～4.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／4.4～4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／4.6～4.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／4.8～4.9","2","3.4","0","0","1","100","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／5.0～5.1","4","6.8","0","0","0","0","0","0","0","0","1","5.9","3","13","1","8.3","1","9.1","2","22.2","0","0"
"男／5.2","5","8.5","1","33.3","0","0","2","25","0","0","1","5.9","1","4.3","1","8.3","0","0","0","0","1","33.3"
"男／5.3","2","3.4","2","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／5.4","3","5.1","0","0","0","0","0","0","0","0","3","17.6","0","0","3","25","0","0","0","0","0","0"
"男／5.5","5","8.5","0","0","0","0","0","0","2","28.6","0","0","3","13","0","0","1","9.1","2","22.2","0","0"
"男／5.6","10","16.9","0","0","0","0","1","12.5","1","14.3","2","11.8","6","26.1","1","8.3","3","27.3","2","22.2","1","33.3"
"男／5.7","8","13.6","0","0","0","0","2","25","2","28.6","3","17.6","1","4.3","2","16.7","1","9.1","0","0","0","0"
"男／5.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／5.9","7","11.9","0","0","0","0","1","12.5","1","14.3","3","17.6","2","8.7","1","8.3","0","0","2","22.2","0","0"
"男／6.0","5","8.5","0","0","0","0","1","12.5","0","0","1","5.9","3","13","0","0","3","27.3","0","0","0","0"
"男／6.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／6.2～6.3","5","8.5","0","0","0","0","0","0","1","14.3","0","0","4","17.4","0","0","2","18.2","1","11.1","1","33.3"
"男／6.4～6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／6.6～6.7","1","1.7","0","0","0","0","0","0","0","0","1","5.9","0","0","1","8.3","0","0","0","0","0","0"
"男／6.8～6.9","1","1.7","0","0","0","0","0","0","0","0","1","5.9","0","0","1","8.3","0","0","0","0","0","0"
"男／7.0～7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／7.2～7.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／7.4～7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／7.6～7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
