"関係機関","施設種類","施設数","人数(人)"
"医療施設（医師数）","一般診療所","2","8"
"医療施設（医師数）","歯科診療所","5","5"
"社会福祉施設等（定員）","特別養護老人ホーム","1","100"
"社会福祉施設等（定員）","地域包括支援センター","1",""
"社会福祉施設等（定員）","高齢者在宅サービスセンター","1",""
"社会福祉施設等（定員）","老人福祉センター等","3",""
"社会福祉施設等（定員）","認知症高齢者グループホーム","1","9"
"社会福祉施設等（定員）","障害者支援施設","3","236"
"社会福祉施設等（定員）","精神障害者共同作業所","1","20"
"社会福祉施設等（定員）","知的障害者グループホーム","3","19"
"社会福祉施設等（定員）","訪問看護ステーション","1",""
"社会福祉施設等（定員）","授産施設","1","15"
"社会福祉施設等（定員）","子供家庭支援センター","1",""
"社会福祉施設等（定員）","保育所","5","280"
"学校（児童・生徒数）","小学校","3","362"
"学校（児童・生徒数）","中学校","3","205"
"学校（児童・生徒数）","高等学校","2","345"
