"区市町村","福祉事務所／福祉事務所名","福祉事務所／住所・電話","福祉事務所／緯度","福祉事務所／経度","福祉事務所／座標系","母子・父子自立支援員配置先／部署名・電話"
"千代田区","千代田区福祉事務所","千代田区九段南1-2-1／03-3264-2111","35.693947","139.753540","JGD2011","同左"
"中央区","中央区福祉事務所","中央区築地1-1-1／03-3543-0211","35.670841","139.771927","JGD2011","同左"
"港区","港区芝地区総合支所","港区芝公園1-5-25／03-3578-3111","35.658531","139.751541","JGD2011","子ども家庭課家庭相談センター／03-3578-2436"
"港区","港区麻布地区総合支所","港区六本木5-16-45／03-3583-4151","35.660809","139.735794","JGD2011","子ども家庭課家庭相談センター／03-3578-2436"
"港区","港区赤坂地区総合支所","港区赤坂4-18-13／03-5413-7011","35.674904","139.731857","JGD2011","子ども家庭課家庭相談センター／03-3578-2436"
"港区","港区高輪地区総合支所","港区高輪1-16-25／03-5421-7611","35.640907","139.734207","JGD2011","子ども家庭課家庭相談センター／03-3578-2436"
"港区","港区芝浦港南地区総合支所","港区芝浦3-1-47／03-3456-4151","35.644985","139.748886","JGD2011","子ども家庭課家庭相談センター／03-3578-2436"
"新宿区","新宿区福祉事務所","新宿区歌舞伎町1-4-1／03-3209-1111","35.693535","139.703476","JGD2011","子ども家庭課育成支援係／03-5273-4558"
"文京区","文京区福祉事務所","文京区春日1-16-21／03-3812-7111","35.708336","139.752411","JGD2011","同左"
"台東区","台東区福祉事務所","台東区東上野4-5-6／03-5246-1111","35.712452","139.779770","JGD2011","子育て支援課子育て支援担当／03-5246-1232"
"墨田区","墨田区福祉事務所","墨田区吾妻橋1-23-20／03-5608-1111","35.710602","139.801895","JGD2011","同左"
"江東区","江東区福祉事務所保護第一課","江東区東陽4-11-28／03-3645-3101","35.672993","139.816360","JGD2011","同左"
"江東区","江東区福祉事務所保護第二課","江東区大島4-5-1／03-3637-2701","35.688911","139.826523","JGD2011","同左"
"品川区","品川区福祉事務所","品川区広町2-1-36／03-3777-1111","35.608299","139.730957","JGD2011","同左"
"目黒区","目黒区福祉事務所","目黒区上目黒2-19-15／03-3715-1111","35.640465","139.698700","JGD2011","同左"
"大田区","大田区大森生活福祉課","大田区大森西1-12-1／03-5764-0665","35.578598","139.722992","JGD2011","同左"
"大田区","大田区調布生活福祉課","大田区雪谷大塚町4-6／03-3726-0791","35.593246","139.680786","JGD2011","同左"
"大田区","大田区蒲田生活福祉課","大田区蒲田本町2-1-1／03-5713-1706","35.558681","139.718399","JGD2011","同左"
"大田区","大田区糀谷・羽田生活福祉課","大田区東糀谷1-21-15／03-3741-6521","35.557152","139.739609","JGD2011","同左"
"世田谷区","世田谷区世田谷福祉事務所","世田谷区世田谷4-22-33／03-5432-1111","35.646301","139.652374","JGD2011","同左"
"世田谷区","世田谷区北沢福祉事務所","世田谷区松原6-3-5／03-3323-9910","35.656872","139.653656","JGD2011","同左"
"世田谷区","世田谷区玉川福祉事務所","世田谷区等々力3-4-1／03-3702-1730","35.608311","139.648712","JGD2011","同左"
"世田谷区","世田谷区砧福祉事務所","世田谷区成城6-2-1／03-3482-1343","35.641003","139.601028","JGD2011","同左"
"世田谷区","世田谷区烏山福祉事務所","世田谷区南烏山6-22-14／03-3326-6111","35.669556","139.598145","JGD2011","同左"
"渋谷区","渋谷区福祉事務所","渋谷区宇田川町1-1／03-3463-1211","35.663475","139.697189","JGD2011","子ども青少年対策課子ども女性相談主査※／03-3463-2544"
"中野区","中野区福祉事務所","中野区中野4-8-1／03-3389-1111","35.707546","139.663818","JGD2011","子ども家庭支援センター子育てサービス担当／03-3228-5612"
"杉並区","杉並区福祉事務所／荻窪事務所","杉並区荻窪5-15-13／03-3398-9104","35.704140","139.616714","JGD2011","子育て支援課こども家庭支援係／03-5929-1902"
"杉並区","杉並区福祉事務所／高円寺事務所","杉並区高円寺南2-24-18／03-5306-2611","35.700626","139.649323","JGD2011","子育て支援課こども家庭支援係／03-5929-1902"
"杉並区","杉並区福祉事務所／高井戸事務所","杉並区高井戸東3-26-10／03-3332-7221","35.685772","139.616058","JGD2011","子育て支援課こども家庭支援係／03-5929-1902"
"豊島区","豊島区生活福祉課","豊島区東池袋1-18-1／03-3981-1111","35.732368","139.715897","JGD2011","子育て支援課子ども家庭・女性相談グループ※／03-3981-2119"
