"区市町村","日中活動系サービス／定員数／生活介護","日中活動系サービス／定員数／機能訓練","日中活動系サービス／定員数／生活訓練","日中活動系サービス／定員数／就労移行","日中活動系サービス／定員数／就労継続A","日中活動系サービス／定員数／就労継続B","日中活動系サービス／合計","日中活動系サービス／人口１万人当たり","相談支援／事業所数／計画相談支援","相談支援／事業所数／地域移行支援","相談支援／事業所数／地域定着支援"
"千代田区","","","","196","10","29","235","39.2","2","",""
"中央区","20","10","10","82","141","169","432","28.6","8","1","1"
"港区","157","30","","183","124","183","677","27.1","14","13","9"
"新宿区","181","25","82","322","65","499","1174","34.6","20","2","2"
"文京区","161","6","29","158","30","275","659","29.4","11","2","2"
"台東区","144","","30","206","35","224","639","31.8","10","7","6"
"墨田区","108","","7","78","","443","636","24.4","15","2","2"
"江東区","392","","","113","100","700","1305","25.9","30","3","3"
"品川区","315","6","6","100","70","260","757","19.2","7","3","2"
"目黒区","298","","24","26","40","283","671","23.9","11","2","2"
"大田区","507","39","30","199","95","957","1827","25.3","30","6","5"
"世田谷区","613","15","57","205","40","966","1896","20.7","38","8","7"
"渋谷区","97","","","132","20","268","517","22.7","10","4","4"
"中野区","306","20","26","116","29","343","840","25.3","17","6","6"
"杉並区","455","18","6","72","20","766","1337","23.4","36","7","7"
"豊島区","165","20","34","197","68","290","774","26.2","17","3","2"
"北区","307","10","75","145","37","476","1050","30.4","16","6","4"
"荒川区","113","","38","57","30","270","508","23.7","6","1","1"
"板橋区","471","12","82","144","50","732","1491","26.2","34","4","4"
"練馬区","839","40","10","124","124","1005","2142","29.5","30","6","5"
"足立区","1042","25","23","219","169","748","2226","33.1","29","3","2"
"葛飾区","547","11","36","100","120","646","1460","32.6","35","4","3"
"江戸川区","799","","20","153","70","742","1784","26.0","50","7","7"
"八王子市","1580","","62","178","101","1200","3121","54.1","24","11","11"
"立川市","296","","60","98","30","395","879","49.3","11","3","3"
"武蔵野市","199","10","","92","10","255","566","38.9","7","2","2"
"三鷹市","190","","10","58","42","376","676","35.8","12","3","3"
"青梅市","282","","26","18","10","266","602","44.1","15","4","3"
"府中市","443","","","70","10","330","853","32.7","16","4","4"
"昭島市","90","","","24","","326","440","39.5","9","2","2"
"調布市","402","","70","76","10","474","1032","44.3","9","4","4"
"町田市","877","","12","103","40","768","1800","41.5","15","3","3"
"小金井市","143","20","","22","","236","421","34.3","7","1","2"
"小平市","406","26","","24","10","403","869","45.4","12","9","7"
"日野市","588","6","6","40","23","245","908","48.5","11","4","4"
"東村山市","276","","","31","15","627","949","63.4","10","2","2"
"国分寺市","92","6","29","29","","119","275","22.3","7","3","3"
"国立市","272","","10","58","40","107","487","65.6","8","3","3"
"福生市","85","","","22","","113","220","37.7","6","2","2"
"狛江市","86","","","","","66","152","18.7","3","2","2"
"東大和市","106","","10","6","","248","370","43.6","7","4","4"
"清瀬市","285","8","","20","10","169","492","65.6","9","2","2"
"東久留米市","163","","27","28","20","293","531","45.7","15","2","2"
"武蔵村山市","140","","20","26","","205","391","54.8","6","1","1"
"多摩市","205","","","","30","344","579","39.4","9","2","2"
"稲城市","70","","","11","20","106","207","23.1","3","",""
"羽村市","79","","","6","","125","210","37.8","4","",""
"あきる野市","210","","","6","10","78","304","37.7","8","3","3"
"西東京市","153","","","10","","235","398","19.8","12","4","3"
"瑞穂町","130","","","6","","44","180","54.1","3","2","2"
"日の出町","265","","","12","","88","365","209.3","3","",""
"檜原村","","","","","","20","20","94.2","1","1","1"
"奥多摩町","40","","","","","20","60","117.7","2","",""
"大島町","244","","","","","30","274","355.6","2","",""
"利島村","","","","","","","","","","",""
"新島村","","","","","","","","","","",""
"神津島村","","","","","","","","","","",""
"三宅村","","","","","","","","","","",""
"御蔵島村","","","","","","","","","","",""
"八丈町","23","","","","","40","63","84.6","1","",""
"青ヶ島村","","","","","","","","","","",""
"小笠原村","","","","","","","","","","",""
"都外","3074","","","","","","3074","","","",""
"合計","19531","363","967","4401","1918","19625","46805","34.3","743","183","166"
