"支出月","科目","支出目的","支出額(円)","支出相手先"
"4","交付金交付","介護職員処遇改善交付金（4月分）","576299484","東京都国民健康保険団体連合会"
"5","交付金交付","介護職員処遇改善交付金（5月分）","1187176585","東京都国民健康保険団体連合会"
"6","交付金交付","介護職員処遇改善交付金（6月分）","1005987139","東京都国民健康保険団体連合会"
"7","交付金交付","介護職員処遇改善交付金（7月分）","959258104","東京都国民健康保険団体連合会"
"8","交付金交付","介護職員処遇改善交付金（8月分）","957388243","東京都国民健康保険団体連合会"
"9","交付金交付","介護職員処遇改善交付金（9月分）","986830385","東京都国民健康保険団体連合会"
"10","交付金交付","介護職員処遇改善交付金（10月分）","990883722","東京都国民健康保険団体連合会"
"11","交付金交付","介護職員処遇改善交付金（11月分）","969086425","東京都国民健康保険団体連合会"
"12","交付金交付","介護職員処遇改善交付金（12月分）","993771753","東京都国民健康保険団体連合会"
"1","交付金交付","介護職員処遇改善交付金（1月分）","984359481","東京都国民健康保険団体連合会"
"2","交付金交付","介護職員処遇改善交付金（2月分）","1007965669","東京都国民健康保険団体連合会"
"3","交付金交付","介護職員処遇改善交付金（3月分）","981742465","東京都国民健康保険団体連合会"
"5","交付金返納","介護報酬の過誤調整等に基づく交付金の返納","(1,186,045)","交付金受給事業者"
"5","交付金返納","実績報告による返納金等","(53,534,976)","交付金受給事業者"
"","","","11546028434",""
