"","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／合計","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／1合(180ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／2合(360ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／３合(540ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／4合(720ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／5合(900ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／わからない","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／男性の場合／無回答","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／合計","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／1合(180ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／2合(360ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／３合(540ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／4合(720ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／5合(900ml)以上","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／わからない","問16 飲酒の知識についておたずねします｡｢生活習慣病のリスクを高める飲酒量｣とは､男女それぞれ1日平均でどのくらいだと思いますか｡清酒に換算※し、あてはまる番号をそれぞれ1つ選んで○印をつけて下さい。※清酒1合(180ml)は､次の量にほぼ相当します｡ビール・発泡酒中瓶1本(約500ml)､焼酎20度(135ml)、焼酎25度(110ml)、焼酎35度(80ml)､チュウハイ7度(350ml)、ウィスキーダブル1杯(60ml)、ワイン2杯(240ml)／女性の場合／無回答","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／合計","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／0本","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／1～9本","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／10～19本","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／20～27本","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／28本以上","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／(再掲)20本以上","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／(再掲)24本以上","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／無回答","問17 自分の歯※は何本ありますか｡※自分の歯には､親知らず､入れ歯､ブリッジ､インプラントは含みません｡さし歯は含みます｡親知らずを抜くと全部で28本が正常ですが､28本より多かったり少なかったりすることもあります。／()本＊平均値"
"全体総数(人)","411","51","116","80","29","9","120","6","411","99","104","46","12","3","137","10","411","18","33","43","159","158","317","273","0","22"
"全体総数(%)","100.00","12.40","28.20","19.50","7.10","2.20","29.20","1.5","100.00","24.10","25.30","11.2","2.90","0.70","33.30","2.40","100.00","4.40","8.00","10.50","38.70","38.40","77.10","66.40","0.00",""
"20～29歳(人)","38","6","8","9","4","3","7","1","38","6","13","5","3","1","8","2","38","0","0","0","10","28","38","38","0","28"
"20～29歳(%)","100.00","15.80","21.10","23.70","10.50","7.90","18.40","2.60","100.00","15.80","34.20","13.20","7.90","2.60","21.10","5.30","100.00","0.00","0.00","0.00","26.30","73.70","100.00","100.00","0.00",""
"30～39歳(人)","39","2","12","7","3","1","14","0","39","5","11","3","1","0","15","4","39","1","1","0","9","28","37","36","0","26"
"30～39歳(%)","100.00","5.10","30.80","17.90","7.70","2.60","35.90","0.00","100.00","12.80","28.20","7.70","2.60","0.00","38.50","10.30","100.00","2.60","2.60","0.00","23.10","71.80","94.90","92.30","0.00",""
"40～49歳(人)","77","6","20","18","9","3","19","2","77","17","17","15","5","2","21","0","77","1","0","0","26","50","76","71","0","27"
"40～49歳(%)","100.00","7.80","26.00","23.40","11.7","3.90","24.70","2.60","100.00","22.10","22.10","19.50","6.50","2.60","27.30","0.00","100.00","1.3","0.00","0.00","33.80","64.90","98.70","92.20","0.00",""
"50～59歳(人)","67","8","20","15","4","0","18","2","67","18","19","8","0","0","19","3","67","1","3","6","32","25","57","51","0","24"
"50～59歳(%)","100.00","11.9","29.90","22.40","6.00","0.00","26.90","3.00","100.00","26.90","28.40","11.9","0.00","0.00","28.40","4.50","100.00","1.5","4.50","9.00","47.80","37.30","85.10","76.10","0.00",""
"60～69歳(人)","85","12","34","17","6","0","16","0","85","24","28","7","2","0","23","1","85","2","7","14","49","13","62","43","0","21"
"60～69歳(%)","100.00","14.10","40.00","20.00","7.10","0.00","18.80","0.00","100.00","28.20","32.90","8.20","2.40","0.00","27.10","1.2","100.00","2.40","8.20","16.50","57.60","15.30","72.90","50.60","0.00",""
"70歳～(人)","105","17","22","14","3","2","46","1","105","29","16","8","1","0","51","0","105","13","22","23","33","14","47","34","0","15"
"70歳～(%)","100.00","16.20","21.00","13.30","2.90","1.9","43.80","1","100.00","27.60","15.20","7.60","1","0.00","48.60","0.00","100.00","12.40","21.00","21.90","31.40","13.30","44.80","32.40","0.00",""
"男性総数(人)","193","26","64","35","16","5","47","0","193","46","48","14","6","1","68","10","193","10","14","22","67","80","147","133","0","22"
"男性総数(%)","100.00","13.50","33.20","18.10","8.30","2.60","24.40","0.00","100.00","23.80","24.90","7.30","3.10","0.50","35.20","5.20","100.00","5.20","7.30","11.4","34.70","41.50","76.20","68.90","0.00",""
"20～29歳(人)","19","2","6","5","1","2","3","0","19","2","9","1","0","1","4","2","19","0","0","0","4","15","19","19","0","28"
"20～29歳(%)","100","10.5","31.6","26.3","5.3","10.5","15.8","0","100","10.5","47.4","5.3","0","5.3","21.1","10.5","100","0","0","0","21.1","78.9","100","100","0",""
"30～39歳(人)","25","1","8","3","2","1","10","0","25","4","5","0","1","0","11","4","25","1","1","0","6","17","23","22","0","26"
"30～39歳(%)","100","4","32","12","8","4","40","0","100","16","20","0","4","0","44","16","100","4","4","0","24","68","92","88","0",""
"40～49歳(人)","29","4","9","4","4","0","8","0","29","7","5","3","2","0","12","0","29","1","0","0","11","17","28","26","0","26"
"40～49歳(%)","100","13.8","31","13.8","13.8","0","27.6","0","100","24.1","17.2","10.3","6.9","0","41.4","0","100","3.4","0","0","37.9","58.6","96.6","89.7","0",""
"50～59歳(人)","34","3","11","9","3","0","8","0","34","5","12","3","0","0","11","3","34","1","2","3","11","17","28","26","0","24"
"50～59歳(%)","100","8.8","32.4","26.5","8.8","0","23.5","0","100","14.7","35.3","8.8","0","0","32.4","8.8","100","2.9","5.9","8.8","32.4","50","82.4","76.5","0",""
"60～69歳(人)","36","4","17","8","3","0","4","0","36","11","8","2","2","0","12","1","36","1","4","7","20","4","24","19","0","20"
"60～69歳(%)","100","11.1","47.2","22.2","8.3","0","11.1","0","100","30.6","22.2","5.6","5.6","0","33.3","2.8","100","2.8","11.1","19.4","55.6","11.1","66.7","52.8","0",""
"70歳～(人)","50","12","13","6","3","2","14","0","50","17","9","5","1","0","18","0","50","6","7","12","15","10","25","21","0","17"
"70歳～(%)","100","24","26","12","6","4","28","0","100","34","18","10","2","0","36","0","100","12","14","24","30","20","50","42","0",""
"女性総数(人)","218","25","52","45","13","4","73","6","218","53","56","32","6","2","69","0","218","8","19","21","92","78","170","140","0","22"
"女性総数(%)","100","11.5","23.9","20.6","6","1.8","33.5","2.8","100","24.3","25.7","14.7","2.8","0.9","31.7","0","100","3.7","8.7","9.6","42.2","35.8","78","64.2","0",""
"20～29歳(人)","19","4","2","4","3","1","4","1","19","4","4","4","3","0","4","0","19","0","0","0","6","13","19","19","0","27"
"20～29歳(%)","100","21.1","10.5","21.1","15.8","5.3","21.1","5.3","100","21.1","21.1","21.1","15.8","0","21.1","0","100","0","0","0","31.6","68.4","100","100","0",""
"30～39歳(人)","14","1","4","4","1","0","4","0","14","1","6","3","0","0","4","0","14","0","0","0","3","11","14","14","0","28"
"30～39歳(%)","100","7.1","28.6","28.6","7.1","0","28.6","0","100","7.1","42.9","21.4","0","0","28.6","0","100","0","0","0","21.4","78.6","100","100","0",""
"40～49歳(人)","48","2","11","14","5","3","11","2","48","10","12","12","3","2","9","0","48","0","0","0","15","33","48","45","0","27"
"40～49歳(%)","100","4.2","22.9","29.2","10.4","6.3","22.9","4.2","100","20.8","25","25","6.3","4.2","18.8","0","100","0","0","0","31.3","68.8","100","93.8","0",""
"50～59歳(人)","33","5","9","6","1","0","10","2","33","13","7","5","0","0","8","0","33","0","1","3","21","8","29","25","0","25"
"50～59歳(%)","100.00","15.20","27.30","18.20","3.00","0.00","30.30","6.10","100.00","39.40","21.20","15.20","0.00","0.00","24.20","0.00","100.00","0.00","3.00","9.10","63.60","24.20","87.90","75.80","0.00",""
"60～69歳(人)","49","8","17","9","3","0","12","0","49","13","20","5","0","0","11","0","49","1","3","7","29","9","38","24","0","22"
"60～69歳(%)","100.00","16.30","34.70","18.40","6.10","0.00","24.50","0.00","100.00","26.50","40.80","10.20","0.00","0.00","22.40","0.00","100.00","2.00","6.10","14.30","59.20","18.40","77.60","49.00","0.00",""
"70歳～(人)","55","5","9","8","0","0","32","1","55","12","7","3","0","0","33","0","55","7","15","11","18","4","22","13","0","14"
"70歳～(%)","100.00","9.10","16.40","14.50","0.00","0.00","58.20","1.8","100.00","21.80","12.70","5.50","0.00","0.00","60.00","0.00","100.00","12.70","27.30","20.00","32.70","7.30","40.00","23.60","0.00",""
