"職場定着に必要なもの","企業(n=574)(%)","就労移行支援事業所(n=134)(%)","区市町村障害者就労支援センター及び障害者就業・生活支援センター(n=60)(%)"
"就労継続意欲","71.1","88.1","90.0"
"周囲の社員の理解","70.7","92.5","93.3"
"周囲の社員との人間関係","68.1","87.3","88.3"
"健康管理","57.0","81.3","86.7"
"職業遂行能力・スキル","52.3","35.1","55.0"
"障害に応じた作業の切り出し・作業手順の整理","33.3","69.4","83.3"
"社内における支援者の配置","23.2","60.4","65.0"
"家族の協力","19.9","58.2","63.3"
"企業トップの理解","16.2","44.8","46.7"
"外部の関係機構との連携","14.6","50.0","65.0"
"社員教育・キャリア形成の仕組みの存在","10.3","33.6","51.7"
"その他","2.4","6.0","10.0"
"無回答","2.1","1.5","1.7"
