"","7年度","7年度(%)","8年度","8年度(%)","9年度","9年度(%)","10年度","10年度(%)","11年度","11年度(%)","p値"
"2歳以前の呼吸器疾患／A群","148","12.9","131","11.5","127","11.9","114","10.8","105","10.2","0.000"
"2歳以前の呼吸器疾患／B群","49","10.0","58","12.0","51","11.5","42","9.5","33","7.9",""
"2歳以前の呼吸器疾患／C群","122","13.3","129","13.6","124","14.2","116","14.0","105","13.9",""
"2歳以前の呼吸器疾患／D群","152","12.5","167","13.0","149","12.8","138","12.8","155","15.0",""
"母乳栄養／A群","475","41.3","445","39.0","444","41.5","417","39.6","401","39.0","0.001"
"母乳栄養／B群","189","38.7","193","40.0","170","38.3","189","42.9","177","42.1",""
"母乳栄養／C群","399","43.7","403","42.5","367","42.0","336","40.5","291","38.5",""
"母乳栄養／D群","486","39.9","490","38.1","449","38.6","381","35.4","368","35.6",""
"アレルギー歴／A群","687","59.7","647","56.8","587","54.8","584","55.5","575","56.0","0.000"
"アレルギー歴／B群","263","53.9","272","56.3","252","56.8","238","54.0","223","53.1",""
"アレルギー歴／C群","565","61.8","554","58.4","529","60.6","509","61.3","469","62.0",""
"アレルギー歴／D群","668","54.8","694","53.9","667","57.4","629","58.5","572","55.4",""
"じんま疹／A群","116","10.1","114","10.0","113","10.6","103","9.8","129","12.6","0.001"
"じんま疹／B群","65","13.3","61","12.6","55","12.4","43","9.8","45","10.7",""
"じんま疹／C群","102","11.2","103","10.9","112","12.8","117","14.1","123","16.3",""
"じんま疹／D群","141","11.6","143","11.1","106","9.1","123","11.4","111","10.7",""
"アトピー／A群","362","31.5","352","30.9","295","27.5","299","28.4","274","26.7","0.000"
"アトピー／B群","128","26.2","120","24.8","110","24.8","111","25.2","103","24.5",""
"アトピー／C群","312","34.1","297","31.3","288","33.0","278","33.5","245","32.4",""
"アトピー／D群","382","31.4","376","29.2","366","31.5","320","29.7","266","25.8",""
"アレルギー性鼻炎／A群","290","25.2","293","25.7","256","23.9","257","24.4","270","26.3","0.000"
"アレルギー性鼻炎／B群","142","29.1","140","29.0","123","27.7","110","24.9","107","25.5",""
"アレルギー性鼻炎／C群","297","32.5","319","33.6","280","32.1","270","32.5","248","32.8",""
"アレルギー性鼻炎／D群","315","25.9","316","24.6","301","25.9","297","27.6","283","27.4",""
"花粉症／A群","157","13.6","148","13.0","154","14.4","139","13.2","146","14.2","0.000"
"花粉症／B群","67","13.7","75","15.5","74","16.7","70","15.9","61","14.5",""
"花粉症／C群","67","7.3","64","6.7","70","8.0","56","6.7","61","8.1",""
"花粉症／D群","90","7.4","93","7.2","77","6.6","99","9.2","86","8.3",""
"アレルギー療法／体質改善療法／A群","35","3.0","43","3.8","46","4.3","54","5.1","48","4.7","0.000"
"アレルギー療法／体質改善療法／B群","17","3.5","12","2.5","13","2.9","8","1.8","7","1.7",""
"アレルギー療法／体質改善療法／C群","58","6.3","53","5.6","56","6.4","43","5.2","43","5.7",""
"アレルギー療法／体質改善療法／D群","74","6.1","68","5.3","62","5.3","71","6.6","68","6.6",""
"湿疹／A群","146","12.7","144","12.6","146","13.6","151","14.3","143","13.9","0.000"
"湿疹／B群","63","12.9","84","17.4","62","14.0","53","12.0","57","13.6",""
"湿疹／C群","135","14.8","149","15.7","147","16.8","159","19.2","131","17.3",""
"湿疹／D群","182","14.9","225","17.5","192","16.5","180","16.7","162","15.7",""
