"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-33658","株式会社１法人"
"H24.10","賃金","福祉・介護人材の処遇改善事業","1295","個人計２名"
"H24.10","賃金","福祉・介護人材の処遇改善事業","257705","個人計２名"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-20964","株式会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","475087","国保連"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-414","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-3205","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-2326","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-21215","社会福祉法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-7125","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-7223","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-13478","株式会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-3367","株式会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-7862","社会福祉法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-5267","株式会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-8627","社会福祉法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-6735","社会福祉法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-1267","有限会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-46087","株式会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-299","特定非営利活動法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-4014","社団法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-43275","有限会社１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-238","社会福祉法人１法人"
"H24.10","負担金補助及交付金","福祉・介護人材の処遇改善事業","-95","社会福祉法人１法人"
