"","男子／log（0.75秒量）","男子／log（0.75秒量）","男子／0.75秒率","男子／0.75秒率","男子／log(V25)","男子／log(V25)","女子／log(0.75秒量)","女子／log(0.75秒量)","女子／0.75秒率","女子／0.75秒率","女子／log(V25)","女子／log(V25)"
"定数項","-0.72663","0.000","90.69616","0.000","-0.79302","0.000","-0.78886","0.000","83.36597","0.000","-1.01637","0.000"
"身長","0.00599","0.000","-0.05028","0.000","0.00649","0.000","0.00553","0.000","","","0.00686","0.000"
"胸囲","0.00097","0.000","-0.11585","0.000","-0.00122","0.000","0.00238","0.000","-0.10580","0.000","0.00063","0.008"
"年齢","0.00955","0.000","0.50925","0.000","0.00895","0.000","0.01065","0.000","0.70509","0.000","0.01547","0.000"
"母喫煙","-0.00425","0.009","-0.80595","0.000","-0.01148","0.001","-0.00272","0.123","-0.42192","0.036","-0.00909","0.009"
"鉄筋家屋","","","","","","","","","","","-0.00570","0.037"
"二車線道路直面","-0.00301","0.056","","","","","","","","","",""
"2歳以前の呼吸器疾患","-0.00884","0.000","-0.96713","0.000","-0.00782","0.023","-0.00742","0.001","-1.17071","0.000","-0.01462","0.000"
"母乳栄養","0.00396","0.003","","","","","","","","","",""
"アレルギー歴","-0.00490","0.000","-0.58303","0.000","-0.01709","0.000","-0.00610","0.000","-0.66430","0.000","-0.01479","0.000"
