"","あり","なし"
"対象者数","502","3456"
"持続性せき","41","211"
"%","8.17","6.11"
"持続性たん","70","394"
"%","13.94","11.4"
"持続性せきたん","27","119"
"%","5.38","3.44"
"ぜんそく様症状現在","12","72"
"%","2.39","2.08"
"ぜんそく様症状寛解","15","77"
"%","2.99","2.23"
"ぜん鳴症状","18","110"
"%","3.59","3.18"
"慢性気管支炎","19","116"
"%","3.78","3.36"
"肺気腫","7","72"
"%","1.39","2.08"
"じんましん","50","337"
"%","9.96","9.75"
"アトピー性皮膚炎","16","132"
"%","3.19","3.82"
"アレルギー性鼻炎","97","634"
"%","19.32","18.34"
"アレルギー性結膜炎","11","99"
"%","2.19","2.86"
"花粉症","169","1019"
"%","33.67","29.48"
"食物アレルギー","17","83"
"%","3.39","2.4"
