"事業名","平成25年度実績","平成27年度実績","平成28年度見込み","平成29年度見込み","備考"
"専門性の高い相談支援事業/東京都発達障害者支援センターの運営(か所)","1","1","1","1","実施箇所数"
"専門性の高い相談支援事業/高次脳機能障害支援普及事業(か所)","1","1","1","1","実施箇所数"
"専門性の高い相談支援事業/障害児等療育支援事業(施設)","8","8","8","8","実施箇所数"
"専門性の高い相談支援事業/障害者就業・生活支援センター事業(か所)","6","6","6","6","実施箇所数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/手話通訳者等養成事業(人)","182","420","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/中途失聴・難聴者コミュニケーション事業（要約筆記者講習会）(人)","20","24","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/聴覚障害者意思疎通支援事業（広域型行事への派遣）(件)","","88","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/盲ろう者通訳・介助者養成研修事業(人)","35","40","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/盲ろう者通訳・介助者派遣事業(時間)","9757件/42952","48412","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"意思疎通支援を行う者の派遣に係る市町村相互間の連絡調整事業/聴覚障害者意思疎通支援事業（広域的連絡調整）","実施","実施","継続して実施する","継続して実施する",""
"広域的な支援事業（精神障害者地域生活支援広域調整等事業）/精神障害者地域移行体制整備支援事業（協議会開催）（実施事業所）（ピアサポーター登録者）(人)","26年度から地域生活支援事業必須事業化","16回6事業所43","継続して実施する","継続して実施する",""
"その他の事業（主なもの）/点訳奉仕員指導者養成(人)","13","30","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/専門点訳奉仕員養成(人)","12","30","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/朗読奉仕員指導者養成(人)","13","20","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/音声機能障害者発声訓練指導者養成事業(人)","12","12","継続して実施する","継続して実施する","修了者数"
