"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"持続性せき／7年度","3","0.9","0","0.0","6","2.4","0","0.0","7","2.2","2","0.9","7","2.4",""
"持続性せき／8年度","4","1.2","5","2.1","2","0.9","2","0.9","5","1.5","1","0.4","4","1.4",""
"持続性せき／9年度","2","0.6","2","0.8","2","0.9","0","0.0","3","1.0","3","1.3","3","1.1",""
"持続性せき／10年度","5","1.7","1","0.4","3","1.4","3","1.5","2","0.7","3","1.3","2","0.8",""
"持続性せき／11年度","3","1.1","4","1.8","3","1.4","1","0.5","2","0.8","1","0.5","4","1.5","0.398"
"持続性たん／7年度","0","0.0","1","0.4","1","0.4","1","0.5","3","0.9","0","0.0","6","2.1",""
"持続性たん／8年度","2","0.6","1","0.4","4","1.7","1","0.4","4","1.2","0","0.0","7","2.4",""
"持続性たん／9年度","1","0.3","1","0.4","3","1.4","3","1.4","5","1.7","3","1.3","0","0.0",""
"持続性たん／10年度","2","0.7","3","1.3","2","0.9","3","1.5","1","0.4","3","1.3","2","0.8",""
"持続性たん／11年度","3","1.1","2","0.9","1","0.5","2","1.0","1","0.4","2","1.0","3","1.1","0.345"
"ぜい鳴／7年度","17","5.0","9","3.9","10","4.0","10","4.5","11","3.4","9","3.9","15","5.2",""
"ぜい鳴／8年度","16","4.7","5","2.1","9","3.9","12","5.4","16","4.7","9","3.9","16","5.5",""
"ぜい鳴／9年度","21","6.6","6","2.5","4","1.8","10","4.7","17","5.7","9","3.9","13","4.8",""
"ぜい鳴／10年度","13","4.5","8","3.4","5","2.3","9","4.4","19","7.0","7","3.0","15","6.2",""
"ぜい鳴／11年度","10","3.8","8","3.6","8","3.7","7","3.6","10","4.2","5","2.5","9","3.4","0.024"
"ぜん息様症状(現在)／7年度","12","3.6","11","4.8","18","7.1","7","3.2","15","4.7","16","7.0","12","4.2",""
"ぜん息様症状(現在)／8年度","21","6.1","9","3.8","11","4.8","5","2.2","27","7.9","12","5.3","17","5.9",""
"ぜん息様症状(現在)／9年度","18","5.7","7","3.0","7","3.2","11","5.2","18","6.0","14","6.1","16","5.9",""
"ぜん息様症状(現在)／10年度","20","6.8","10","4.3","10","4.5","7","3.4","15","5.5","12","5.2","11","4.6",""
"ぜん息様症状(現在)／11年度","15","5.7","15","6.7","11","5.1","16","8.3","18","7.6","12","5.9","18","6.9","0.259"
"鼻炎様症状（一年中）／7年度","17","5.0","9","3.9","9","3.6","10","4.5","16","5.0","10","4.3","16","5.5",""
"鼻炎様症状（一年中）／8年度","11","3.2","2","0.9","9","3.9","13","5.8","23","6.7","13","5.7","10","3.5",""
"鼻炎様症状（一年中）／9年度","9","2.8","6","2.5","11","5.0","16","7.6","20","6.7","12","5.2","12","4.4",""
"鼻炎様症状（一年中）／10年度","14","4.8","7","3.0","7","3.2","11","5.3","17","6.3","8","3.5","13","5.4",""
"鼻炎様症状（一年中）／11年度","12","4.6","9","4.0","12","5.6","12","6.2","13","5.5","14","6.9","19","7.3","0.002"
"鼻炎様症状（春）／7年度","58","17.2","27","11.7","53","21.0","29","13.1","33","10.3","32","13.9","40","13.8",""
"鼻炎様症状（春）／8年度","50","14.5","19","8.1","35","15.2","27","12.1","41","12.0","34","14.9","37","12.8",""
"鼻炎様症状（春）／9年度","57","18.0","34","14.3","39","17.9","26","12.3","34","11.3","29","12.6","47","17.4",""
"鼻炎様症状（春）／10年度","49","16.8","32","13.6","39","17.7","25","12.1","40","14.7","27","11.7","29","12.0",""
"鼻炎様症状（春）／11年度","55","20.9","32","14.3","35","16.4","21","10.9","30","12.6","19","9.3","32","12.3","0.000"
