"","ほとんど毎日している(%)","週３～４回している(%)","週１～２回している(%)","ほとんどしない(%)","しない(%)","無回答(%)"
"(1)子どもの遊び相手をする","27.8","20.8","42.9","7.0","1.0","0.5"
"(2)子どもを風呂にいれる","23.3","22.7","40.0","10.3","3.3","0.5"
"(3)子どもの食事の世話をする","13.6","12.7","34.2","30.5","8.4","0.6"
"(4)子どもを寝かしつける","10.2","14.6","31.3","32.9","10.2","0.8"
"(5)子どものおむつを変える","17.1","17.4","33.3","21.1","10.1","1.0"
"(6)子どもをあやす","32.2","22.9","28.8","10.6","4.6","0.9"
"(7)子どもの保育所・幼稚園等の送り迎えをする。","15.1","9.4","28.7","31.6","14.2","1.0"
"(8)子どもの勉強を見る","5.2","11.7","41.4","33.1","7.8","0.8"
"(9)子どもの保育所や幼稚園や学校などの行事に参加する","26.0","15.4","25.5","24.2","7.5","1.4"
"(10)学童クラブや子ども会への行事に参加する","7.6","8.5","16.4","29.1","37.1","1.3"
