"事業名・事業内容","平成27年度末状況等","平成28年度末状況等","平成29年度末見込み"
"専門性の高い相談支援事業／17東京都発達障害者支援センターの運営（東京都地域生活支援事業）／発達障害児（者）及びその家族に対する支援を総合的に行う地域の拠点として、発達障害に関する各般の問題について発達障害児（者）及びその家族からの相談に応じ、適切な指導又は助言を行うとともに、関係施設との連携強化等により、発達障害児（者）に対する地域における総合的な支援体制の整備を推進する。／（対象）／自閉症、アスペルガー症候群その他の広汎性発達障害、学習障害、注意欠陥多動性障害、その他これに類する脳機能の障害であって、その症状が通常低年齢で発現する者のうち、言語の障害、協調運動の障害その他心理的発達の障害並びに行動及び情緒の障害を有する障害児（者）及びその家族／〔実施主体：東京都〕","(1)相談支援・発達支援件数2,917件／(2)就労支援件数409件／(3)普及啓発講演会等7回開催／(4)連絡協議会開催実績なし","(1)相談支援・発達支援件数2,921件／(2)就労支援件数910件／(3)普及啓発講演会等7回開催／(4)連絡協議会開催実績なし",""
"専門性の高い相談支援事業／18高次脳機能障害支援普及事業（東京都地域生活支援事業）高次脳機能障害者及びその家族に対する専門的な相談支援を行うとともに、区市町村や関係機関との地域支援ネットワークの充実を図り、高次脳機能障害者に対する適切な支援が提供される体制を整備する。／区市町村や関係機関の職員等への研修を実施し、地域における適切な支援の普及・啓発を図り、高次脳機能障害者が自立した日常生活又は社会生活を営むことができるようにする。／（支援拠点）／東京都心身障害者福祉センター／（事業内容）／(1)専門的相談支援／(2)相談支援体制連携調整委員会の開催／(3)普及啓発／(4)専門的リハビリテーションの充実／〔実施主体：東京都〕","○新規相談件数388件／○相談支援体制連絡調整委員会２回開催／○支援従事者向け研修会及び連絡会の開催／○就労準備支援プログラムの実施／○社会生活評価プログラムの実施／○専門的リハビリテーションの充実事業を島しょ二次保健医療圏を除く12圏域で実施","○新規相談件数464件／○相談支援体制連絡調整委員会２回開催／○支援従事者向け研修会及び連絡会の開催／○就労準備支援プログラムの実施／○社会生活評価プログラムの実施／○専門的リハビリテーションの充実事業を島しょ二次保健医療圏を除く12圏域で実施",""
"専門性の高い相談支援事業／19障害児等療育支援事業（東京都地域生活支援事業）／在宅心身障害児（者）の地域生活を支援するため、以下の事業を行う。／(1)在宅支援訪問療育等指導事業／相談・指導班を編成して、必要とする地域又は希望する家庭を定期的若しくは随時訪問して、在宅心身障害児（者）に対する各種相談・指導を行う。／(2)在宅支援外来療育等指導事業／外来の方法により、地域の心身障害児（者）に対し、各種相談・指導を行う。／(3)施設支援一般指導事業／障害児通所支援事業所及び障害児保育を行う保育所等の職員に、療育技術の指導を行う。／〔実施主体：東京都〕","8施設／都立3施設／民間5施設","8施設／都立3施設／民間5施設","8施設"
"専門性の高い相談支援事業／140障害者就業・生活支援センター事業（東京都地域生活支援事業）／障害者雇用促進法に基づき、障害者の職業生活における自立を図るため、福祉部門と雇用部門の連携により、生活面の支援と就業面の支援を一体的・継続的に行う「障害者就業･生活支援センター」を設置し、運営を支援している。／〔実施主体：東京都〕","6か所指定","6か所指定","6か所指定"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業／31手話のできる都民育成事業（東京都地域生活支援事業）／2020年東京オリンピック・パラリンピック競技大会に向けて、日本の手話及び外国の手話の普及促進を図り、手話のできる都民を育成し、手話人口のすそ野を広げることをもって、聴覚障害者の福祉の向上に資する。／(1)手話のできる都民育成事業／（１）普及啓発／（２）手話通訳者養成事業／(2)外国語手話普及促進事業／〔実施主体：(1)東京都、(2)民間団体〕","(1)手話のできる都民育成事業／（１）普及啓発／普及啓発イベントの実施／普及啓発冊子の作成・配布／（２）手話通訳者養成事業／（修了者数）手話通訳者385名／(2)外国語手話普及促進事業／助成対象講習修了者110名","(1)手話のできる都民育成事業／（１）普及啓発／普及啓発イベントの実施／普及啓発冊子の作成・配布／（２）手話通訳者養成事業／（修了者数）手話通訳者385名／(2)外国語手話普及促進事業／助成対象講習修了者246名","（２）手話通訳者養成事業／（修了者数）手話通訳者420名"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業／30聴覚障害者への情報支援のための人材養成（東京都地域生活支援事業）／聴覚障害者の福祉に理解と熱意を有する者に対し、要約筆記の指導を行うことにより要約筆記者を養成し、もって聴覚障害者の福祉の増進を図る。／○中途失聴・難聴者コミュニケーション事業／〔実施主体：東京都〕","（修了者数）要約筆記者２３名","（修了者数）要約筆記者１８名","（修了者数）要約筆記者２４名"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業／33聴覚障害者意思疎通支援事業（東京都地域生活支援事業）／意思疎通支援に係る広域的連絡調整体制の整備を行い、聴覚障害者が広域的な移動を円滑に行える環境を整えるとともに、障害者団体等の行事における情報保障を支援することで、自立と社会参加を促進し、聴覚障害者の福祉の増進に資する。／(1)意思疎通支援者の派遣に係る広域的連絡調整／(2)障害者団体等が主催又は共催する広域型行事への意思疎通支援者の派遣／〔実施主体：東京都〕","意思疎通支援に係る広域的連絡調整795件／広域型行事への意思疎通支援者の派遣96件","意思疎通支援に係る広域的連絡調整880件／広域型行事への意思疎通支援者の派遣113件","広域型行事への意思疎通支援者の派遣88件"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業／34盲ろう者通訳・介助者の派遣及び養成（東京都地域生活支援事業）／盲ろう者のコミュニケーション手段及び移動の自由を確保し、その社会参加を促進するため、都内在住の盲ろう者に対して通訳・介助者の派遣を行うとともに、通訳・介助者の養成研修を行う講習会等に対し補助を行う。／※盲ろう者とは、視覚障害と聴覚障害とが重複してある重度の障害者（児）／〔実施主体：東京都〕","・通訳・介助者派遣事業／派遣件数10,357件／派遣時間45,675時間／・通訳・介助者養成研修事業／受講者数38人／修了者数35人","・通訳・介助者派遣事業／派遣件数11,849件／派遣時間48,412時間／・通訳・介助者養成研修事業／受講者数40人／修了者数38人","・通訳・介助者派遣事業／派遣時間48,412時間／・通訳・介助者養成研修事業／修了者数40人"
"意思疎通支援を行う者の派遣に係る市町村相互間の連絡調整事業／（再掲）33聴覚障害者意思疎通支援事業（東京都地域生活支援事業）／意思疎通支援に係る広域的連絡調整体制の整備を行い、聴覚障害者が広域的な移動を円滑に行える環境を整えるとともに、障害者団体等の行事における情報保障を支援することで、自立と社会参加を促進し、聴覚障害者の福祉の増進に資する。／(1)意思疎通支援者の派遣に係る広域的連絡調整／(2)障害者団体等が主催又は共催する広域型行事への意思疎通支援者の派遣／〔実施主体：東京都〕","意思疎通支援に係る広域的連絡調整795件／広域型行事への意思疎通支援者の派遣96件","意思疎通支援に係る広域的連絡調整880件／広域型行事への意思疎通支援者の派遣113件","意思疎通支援に係る広域的連絡調整実施"
"広域的な支援事業（精神障害者地域生活支援広域調整等事業）／44精神障害者地域移行体制整備支援事業（東京都地域生活支援事業）／いわゆる「社会的入院」の状態にある精神障害者が円滑な地域移行や安定した地域生活を送るための体制整備を行うとともに、精神科医療機関と地域との相互理解及び連携強化の推進により、精神障害者が望む地域生活の実現を図り、もって精神障害者の福祉の向上を図る。／〔実施主体：東京都〕","○地域移行促進事業／個別相談数331人／協力病院63病院／○グループホーム活用型ショートステイ事業／利用者数76人／利用日数763日／○地域生活移行支援会議（圏域別会議含む）10回開催／○人材育成／基礎研修／専門研修（病院実習・地域実習）／訪問看護師の育成","○地域移行促進事業／個別相談数374人／協力病院63病院／○グループホーム活用型ショートステイ事業／利用者数98人／利用日数887日／○地域生活移行支援会議（圏域別会議含む）10回開催／○人材育成／基礎研修／専門研修（病院実習・地域実習）／訪問看護師の育成","○地域生活移行支援会議（圏域別会議含む）16回開催"
