"視点","行動","番号","事業名","団体番号","団体名"
"視点1","行動1／地域の就労支援ネットワークを構築します。","1-1","区市町村障害者就労支援事業の充実","1","東京都（福祉保安局）"
"視点1","行動1／地域の就労支援ネットワークを構築します。","1-2","障害者就業・生活支援センター事業","8","東京労働局・東京都（産業労働局・福祉保健局）"
"視点1","行動1／地域の就労支援ネットワークを構築します。","1-3","職業リハビリテーションに関するフォーラムの実施","9","東京障害者職業センター"
"視点1","行動2／障害者のライフステージを通じた就労を支援します。","2-1","区市町村障害者就労支援事業の充実（再掲）","1","東京都（福祉保安局）"
"視点1","行動2／障害者のライフステージを通じた就労を支援します。","2－2","障害者就業・生活支援センター事業（再掲）","8","東京労働局・東京都（産業労働局・福祉保健局）"
"視点2","行動3／職業的自立を支援する職業教育を充実します。","3-1","民間を活用した企業開拓","4","東京都（教育委員会）"
"視点2","行動3／職業的自立を支援する職業教育を充実します。","3-2","知的障害が軽い生徒を対象とした特別支援学校高等部の設置","4","東京都（教育委員会）"
"視点2","行動4／障害者ニーズ・企業ニーズに応じた職業訓練を実施します。","4-1","東京障害者職業能力開発校における訓練の推進","2","東京都（産業労働局）"
"視点2","行動4／障害者ニーズ・企業ニーズに応じた職業訓練を実施します。","4-2","一般校における障害者職業能力開発訓練の推進","2","東京都（産業労働局）"
"視点2","行動5／企業等での訓練・実習の場を拡充します。","5-1","障害者の態様に応じた多様な委託訓練","2","東京都（産業労働局）"
"視点2","行動5／企業等での訓練・実習の場を拡充します。","5－2","総合コーディネート事業の推進","3","東京都（東京しごと財団）"
"視点3","行動6／企業で働く意欲のある障害者を一般就労へつなげます。","6-1","地域開発促進コーディネーターの設置促進","1","東京都（福祉保安局）"
"視点3","行動6／企業で働く意欲のある障害者を一般就労へつなげます。","6-2","福祉、教育、医療から雇用への移行の推進","7","東京労働局"
"視点4","行動7／福祉施設の従業者の人材育成を図ります。","7-|","就労支援体制レベルアップ事業","1","東京都（福祉保安局）"
"視点4","行動7／福祉施設の従業者の人材育成を図ります。","7-2","就労支援に関する助言・援助・実務的研修の提供","9","東京障害者職業センター"
"視点4","行動7／福祉施設の従業者の人材育成を図ります。","7-3","就労支援機関等スキル向上事業","1","東京都（福祉保安局）"
"視点4","行動8／効果的な就労支援ツールを普及させます。","8-1","支援プログラム（職業評価等）の普及","9","東京障害者職業センター"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-1","東京ジョブコーチ支援事業の推進","3","東京都（東京しごと財団）"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-2","精神障害者の職場復帰支援の推進","9","東京障害者職業センター"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-3","精神障害者の雇用継続支援の推進","9","東京障害者職業センター"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-4","総合就労支援プログラム「トライワークプロジェクト」","1","東京都（福祉保安局）"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-5","障害者短期間トライアル雇用奨励金","7","東京労働局"
"視点5","行動9／精神障害者の就労定着支援に取り組みます。","9-6","総合コーディネート事業の推進（再掲）","3","東京都（東京しごと財団）"
"視点5","行動10／精神障害者の就労支援にかかわる機関の連携を強化します。","10-1","精神障害者の雇用支援ネットワークの充実・強化","9","東京障害者職業センター"
"視点6","行動11／経営者へ障害者雇用の働きかけを推進します。","11-1","企業への障害者雇用相談の実施","10","東京経営者協会"
"視点6","行動11／経営者へ障害者雇用の働きかけを推進します。","11-2","発達障害者・難治性疾患患者雇用開発助成金の活用","7","東京労働局"
"視点6","行動11／経営者へ障害者雇用の働きかけを推進します。","11-3","障害者雇用安定奨励金の活用","7","東京労働局"
"視点6","行動11／経営者へ障害者雇用の働きかけを推進します。","11-4","障害者職場復帰支援助成金の活用","7","東京労働局"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-1","経営者向けセミナー等の実施","10","東京経営者協会"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-2","事業者向けセミナー等の実施","11","東京商工会議所"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-3","特別支援学校等との情報交換","11","東京商工会議所"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-4","企業向け普及啓発セミナー","6","東京都（産業労働局・福祉保健局・教育委員会）"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-5","企業向けワークショップ等の実施","9","東京障害者職業センター"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-6","中小企業向けのための障害者雇用支援フェア","2","東京都（産業労働局）"
"視点6","行動12／企業への障害者雇用の啓発活動を推進します。","12-7","企業向け雇用支援セミナーの開催","7","東京労働局"
"視点6","行動13／「障害者雇用支援月間」「障害者週間」等でのPRを充実します。","13-1","障害者雇用支援月間（9月）における情報発信関係事業","3","東京都（東京しごと財団）"
"視点6","行動13／「障害者雇用支援月間」「障害者週間」等でのPRを充実します。","13-2","障害者週間におけるPRの実施","1","東京都（福祉保安局）"
"視点6","行動14／障害者雇用好事例集や職場で配慮すべき事項を紹介します。","14-1","学校PR～企業向けDVDの作成の推進","4","東京都（教育委員会）"
"視点7","行動15／中小企業に対し雇用ノウハウ等を提供します。","15-1","事業協同組合の活用による中小企業における障害者雇用創出に向けた取り組み","12","東京都中小企業団体中央会"
"視点7","行動15／中小企業に対し雇用ノウハウ等を提供します。","15-2","東京ジョブコーチ支援事業の推進（再掲）","3","東京都（東京しごと財団）"
"視点7","行動15／中小企業に対し雇用ノウハウ等を提供します。","15-3","総合コーディネート事業の推進（再掲）","3","東京都（東京しごと財団）"
"視点7","行動15／中小企業に対し雇用ノウハウ等を提供します。","15-4","中小企業障害者雇用応援連携事業","3","東京都（東京しごと財団）"
"視点7","行動15／中小企業に対し雇用ノウハウ等を提供します。","15-5","職場内障害者サポーター事業","3","東京都（東京しごと財団）"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-1","中小企業障害者雇用支援助成事業","2","東京都（産業労働局）"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-2","障害者安定雇用奨励事業","2","東京都（産業労働局）"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-3","難病・がん患者就業支援奨励事業","2","東京都（産業労働局）"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-4","障害者雇用の特色ある優れた取組を行う企業の表彰","2","東京都（産業労働局）"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-5","「特定求職者雇用開発助成金」の活用","7","東京労働局"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-6","「障害者トライアル雇用奨励金」の活用","7","東京労働局"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-7","「障害者雇用ファースト・ステップ奨励金」の活用","7","東京労働局"
"視点7","行動16／中小企業の雇用に向けた取組を促進します。","16-8","中小企業障害者多数雇用施設設置等助成金の活用","7","東京労働局"
"視点8","行動17／企業等への法定雇用率達成に向けた指導・支援を強化します。","17-1","基準に基づいた指導","7","東京労働局"
"視点8","行動17／企業等への法定雇用率達成に向けた指導・支援を強化します。","17-2","企業の雇用課題に対応した支援","7","東京労働局"
"視点9","行動18／都庁でのチャレンジ雇用を拡充します。","18-1","教育委員会の一般の雇用の拡充","4","東京都（教育委員会）"
"視点9","行動18／都庁でのチャレンジ雇用を拡充します。","18-2","チャレンジ雇用の拡充","5","東京都（産業労働局・福祉保健局）"
"視点9","行動18／都庁でのチャレンジ雇用を拡充します。","18-3","東京都教育委員会版チャレンジ雇用の拡充","4","東京都（教育委員会）"
"視点10","行動19／「キャリア形成シート（個別移行支援計画を含む）」を就労支援機関、企業等に引き継ぎます。","19-1","個別移行支援計画の引継ぎ","4","東京都（教育委員会）"
"視点10","行動20／就労支援機関等と企業が顔の見える関係を構築します。","20-1","ハローワークを中心としたチーム支援の実施","7","東京労働局"
"視点10","行動20／就労支援機関等と企業が顔の見える関係を構築します。","20-2","地域開発促進コーディネーターの設置促進（再掲）","1","東京都（福祉保安局）"
