"","総数","聞いたことがある／人数","聞いたことがある／割合","なし／人数","なし／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","402","49.8","381","47.2","24","3.0"
"１呼吸器症状、ぜん息／なし","2558","1159","45.3","1342","52.5","57","2.2"
"２食物アレルギー／あり","733","416","56.8","295","40.2","22","3.0"
"２食物アレルギー／なし","2643","1150","43.5","1433","54.2","60","2.3"
"３アトピー性皮膚炎／あり","677","348","51.4","302","44.6","27","4.0"
"３アトピー性皮膚炎／なし","2684","1213","45.2","1416","52.8","55","2.0"
"４アレルギー性鼻炎／あり","710","360","50.7","320","45.1","30","4.2"
"４アレルギー性鼻炎／なし","2646","1198","45.3","1397","52.8","51","1.9"
"５アレルギー性結膜炎／あり","288","141","49.0","140","48.6","7","2.4"
"５アレルギー性結膜炎／なし","3052","1410","46.2","1570","51.4","72","2.4"
"６じんましん／あり","694","359","51.7","316","45.5","19","2.7"
"６じんましん／なし","2665","1200","45.0","1405","52.7","60","2.3"
"７その他のアレルギー疾患／あり","91","45","49.5","43","47.3","3","3.3"
"７その他のアレルギー疾患／なし","3196","1477","46.2","1643","51.4","76","2.4"
"何らかのアレルギーの症状または診断／あり","1996","983","49.2","957","47.9","56","2.8"
"何らかのアレルギーの症状または診断／なし","1435","605","42.2","802","55.9","28","2.0" 
