"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)40～74歳／人","(再掲)40～74歳／％","(再掲)65～74歳／人","(再掲)65～74歳／％","(再掲)75歳以上／人","(再掲)75歳以上／％"
"総数／総数","100.00","154","100.00","7","100.00","3","100.00","33","100.00","23","100.00","42","100.00","46","100.00","117","100.00","48","100.00","27"
"総数／腹囲〉=85Cm(男)／90Cm(女)+項目2つ以上該当","14.30","22","0.00","0","0.00","0","6.10","2","8.70","2","7.10","3","32.60","15","12.80","15","22.90","11","25.90","7"
"総数／腹囲〉=85Cm(男)／90Cm(女)+項目１つ該当","12.30","19","0.00","0","0.00","0","15.20","5","13.00","3","19.00","8","6.50","3","13.70","16","10.40","5","11.10","3"
"総数／上記以外","73.40","113","100.00","7","100.00","3","78.80","26","78.30","18","73.80","31","60.90","28","73.50","86","66.70","32","63.00","17"
"男／総数","100.00","63","100.00","3","100.00","1","100.00","8","100.00","8","100.00","17","100.00","26","100.00","47","100.00","26","100.00","12"
"男／腹囲〉=85cm+項目2つ以上該当","25.40","16","0.00","0","0.00","0","12.50","1","25.00","2","17.60","3","38.50","10","27.70","13","38.50","10","25.00","3"
"男／腹囲〉=85cm+項目１つ該当","20.60","13","0.00","0","0.00","0","50.00","4","12.50","1","35.30","6","7.70","2","23.40","11","11.50","3","16.70","2"
"男／上記以外","54.00","34","100.00","3","100.00","1","37.50","3","62.50","5","47.10","8","53.80","14","48.90","23","50.00","13","58.30","7"
"女／総数","100.00","91","100.00","4","100.00","2","100.00","25","100.00","15","100.00","25","100.00","20","100.00","70","100.00","22","100.00","15"
"女／腹囲〉=90cm+項目2つ以上該当","6.60","6","0.00","0","0.00","0","4.00","1","0.00","0","0.00","0","25.00","5","2.90","2","4.50","1","26.70","4"
"女／腹囲〉=90cm+項目１つ該当","6.60","6","0.00","0","0.00","0","4.00","1","13.30","2","8.00","2","5.00","1","7.10","5","9.10","2","6.70","1"
"女／上記以外","86.80","79","100.00","4","100.00","2","92.00","23","86.70","13","92.00","23","70.00","14","90.00","63","86.40","19","66.70","10"
