"妻の就業経歴／結婚持続期間・調査年次","就業継続型(人)","就業継続型・正規雇用（再掲）(人)","再就職型(人)","専業主婦型(人)"
"0～4年／平成4","1.35","1.36","1.60","1.35"
"0～4年／平成9","1.29","1.32","1.46","1.30"
"0～4年／平成14","1.27","1.28","1.24","1.31"
"5～9年／平成4","2.04","2.04","2.01","2.03"
"5～9年／平成9","2.00","1.94","1.94","1.95"
"5～9年／平成14","1.94","1.89","1.85","1.93"
"10～14年／平成4","2.41","2.34","2.26","2.29"
"10～14年／平成9","2.20","2.05","2.22","2.29"
"10～14年／平成14","2.19","2.16","2.17","2.11"
"15～19年／平成4","2.35","2.29","2.27","2.20"
"15～19年／平成9","2.41","2.27","2.26","2.27"
"15～19年／平成14","2.33","2.21","2.34","2.28"
