"","はい","いいえ"
"対象者数","1027","12537"
"症状１","971","11922"
"%","94.55","95.09"
"症状２","998","12062"
"%","97.18","96.21"
"症状３","948","11517"
"%","92.31","91.86"
"症状４","936","11365"
"%","91.14","90.65"
"症状５","1004","12229"
"%","97.76","97.54"
"（軽症）間欠型","232","3041"
"%","22.59","24.26"
"軽症持続型","396","4682"
"%","38.56","37.35"
"中等症持続型","333","3791"
"%","32.42","30.24"
"重症持続型","65","990"
"%","6.33","7.90"
"アレ・ダニ・陽性","711","8556"
"%","69.23","68.25"
"アレ・ダニ・擬陽性","27","241"
"%","2.63","1.92"
"アレ・ダニ・陰性","229","3206"
"%","22.30","25.57"
"アレ・ハウスダスト・陽性","693","8012"
"%","67.48","63.91"
"アレ・ハウスダスト・擬陽性","30","241"
"%","2.92","1.92"
"アレ・ハウスダスト・陰性","213","3122"
"%","20.74","24.90"
