"","総数／人数(人)","総数／%","20～29歳／人数(人)","20～29歳／%","30～39歳／人数(人)","30～39歳／%","40～49歳／人数(人)","40～49歳／%","50～59歳／人数(人)","50～59歳／%","60～69歳／人数(人)","60～69歳／%","70歳以上／人数(人)","70歳以上／%"
"男性／総数","193","","19","","25","","29","","34","","36","","50",""
"男性／1 寝つき(布団に入ってから眠るまでに要する時間)に、いつもより時間がかかった","23","11.9","1","5.3","4","16.0","4","13.8","5","14.7","4","11.1","5","10.0"
"男性／2 夜間、睡眠途中に目が覚めて困った","40","20.7","1","5.3","1","4.0","8","27.6","5","14.7","13","36.1","12","24.0"
"男性／3 起きようとする時刻よりも早く目が覚め、それ以上眠れなかった","28","14.5","1","5.3","2","8.0","2","6.9","5","14.7","5","13.9","13","26.0"
"男性／4 睡眠時間が足りなかった","48","24.9","9","47.4","9","36.0","6","20.7","10","29.4","7","19.4","7","14.0"
"男性／5 睡眠全体の質に満足できなかった","42","21.8","3","15.8","6","24.0","8","27.6","12","35.3","5","13.9","8","16.0"
"男性／6 日中、眠気を感じた","83","43.0","7","36.8","10","40.0","12","41.4","14","41.2","12","33.3","28","56.0"
"男性／7 上記1～6のようなことはなかった","48","24.9","5","26.3","7","28.0","6","20.7","10","29.4","12","33.3","8","16.0"
"女性／総数","218","","19","","14","","48","","33","","49","","55",""
"女性／1 寝つき(布団に入ってから眠るまでに要する時間)に、いつもより時間がかかった","33","15.1","3","15.8","1","7.1","4","8.3","5","15.2","14","28.6","6","10.9"
"女性／2 夜間、睡眠途中に目が覚めて困った","45","20.6","1","5.3","2","14.3","9","18.8","6","18.2","13","26.5","14","25.5"
"女性／3 起きようとする時刻よりも早く目が覚め、それ以上眠れなかった","36","16.5","0","0.0","1","7.1","7","14.6","3","9.1","14","28.6","11","20.0"
"女性／4 睡眠時間が足りなかった","46","21.1","7","36.8","1","7.1","13","27.1","12","36.4","10","20.4","3","5.5"
"女性／5 睡眠全体の質に満足できなかった","45","20.6","6","31.6","6","42.9","9","18.8","8","24.2","11","22.4","5","9.1"
"女性／6 日中、眠気を感じた","100","45.9","12","63.2","8","57.1","24","50.0","14","42.4","24","49.0","18","32.7"
"女性／7 上記1～6のようなことはなかった","68","31.2","5","26.3","5","35.7","16","33.3","9","27.3","13","26.5","20","36.4"
