"上段：度数／下段：%","n=","１００万未満","１００～２００万未満","２００～３００万未満","３００～４００万未満","４００万以上","無回答","平均値"
"ＴＯＴＡＬ","3969","156","118","363","682","416","2234","295.1"
"ＴＯＴＡＬ","100","3.9","3.0","9.1","17.2","10.5","56.3",""
"性別・年代／女性計","3618","138","107","339","624","355","2055","291.8"
"性別・年代／女性計","100","3.8","3.0","9.4","17.2","9.8","56.8",""
"性別・年代／女性２０代","1678","68","26","251","357","122","854","281.4"
"性別・年代／女性２０代","100","4.1","1.5","15.0","21.3","7.3","50.9",""
"性別・年代／女性３０代","987","26","34","46","171","147","563","321.6"
"性別・年代／女性３０代","100","2.6","3.4","4.7","17.3","14.9","57.0",""
"性別・年代／女性４０代","662","31","30","27","78","64","432","287.1"
"性別・年代／女性４０代","100","4.7","4.5","4.1","11.8","9.7","65.3",""
"性別・年代／女性５０代以上","272","12","17","15","14","18","196","248.8"
"性別・年代／女性５０代以上","100","4.4","6.3","5.5","5.1","6.6","72.1",""
"性別・年代／男性計","224","7","0","12","42","52","111","371.4"
"性別・年代／男性計","100","3.1","0.0","5.4","18.8","23.2","49.6",""
"性別・年代／男性２０代","135","3","0","11","34","24","63","335.1"
"性別・年代／男性２０代","100","2.2","0.0","8.1","25.2","17.8","46.7",""
"性別・年代／男性３０代以上","88","3","0","1","8","28","48","445.4"
"性別・年代／男性３０代以上","100","3.4","0.0","1.1","9.1","31.8","54.5",""
"性別・年代／無回答","127","11","11","12","16","9","68","236.3"
"性別・年代／無回答","100","8.7","8.7","9.4","12.6","7.1","53.5",""
