"変数名","オッズ比","９５％信頼区間／下限","９５％信頼区間／上限","９９％信頼区間／下限","９９％信頼区間／上限","p値"
"1)地域","","","","","","0.00000"
"1)地域／多摩南部","1.000","","","","",""
"1)地域／区東部","0.490","0.341","0.704","0.304","0.789",""
"1)地域／区北部","0.505","0.352","0.724","0.315","0.811",""
"1)地域／区西部","0.501","0.372","0.675","0.339","0.741",""
"1)地域／区南部","0.590","0.427","0.815","0.386","0.902",""
"1)地域／多摩北部","0.700","0.550","0.891","0.510","0.962",""
"1)地域／多摩中部","0.996","0.779","1.273","0.721","1.375",""
"1)地域／多摩西部","0.339","0.245","0.469","0.221","0.519",""
"2)性別","","","","","","0.09373"
"2)性別／男","1.000","","","","",""
"2)性別／女","1.150","0.977","1.355","0.928","1.427",""
"3)アレルゲン検査－ハウスダスト","","","","","","0.67825"
"3)アレルゲン検査－ハウスダスト／陰性","1.000","","","","",""
"3)アレルゲン検査－ハウスダスト／陽性・疑陽性","0.726","0.160","3.301","0.099","5.314",""
"4)アレルゲン検査－ダニ","","","","","","0.83975"
"4)アレルゲン検査－ダニ／陰性","1.000","","","","",""
"4)アレルゲン検査－ダニ／陽性・疑陽性","1.170","0.256","5.336","0.159","8.596",""
"5)主要幹線道路からの距離","","","","","","0.13593"
"5)主要幹線道路からの距離／200m以上","1.000","","","","",""
"5)主要幹線道路からの距離／50m未満","1.005","0.795","1.271","0.739","1.368",""
"5)主要幹線道路からの距離／50-100m未満","1.361","1.058","1.749","0.978","1.893",""
"5)主要幹線道路からの距離／100-150m未満","1.199","0.915","1.571","0.841","1.710",""
"5)主要幹線道路からの距離／150-200m未満","1.074","0.818","1.411","0.751","1.537",""
"6)住宅構造","","","","","","0.06970"
"6)住宅構造／木造","1.000","","","","",""
"6)住宅構造／鉄筋・鉄骨","0.859","0.728","1.012","0.692","1.066",""
"7)居間・寝室のカビ","","","","","","0.83542"
"7)居間・寝室のカビ／なし","1.000","","","","",""
"7)居間・寝室のカビ／あり","1.023","0.824","1.270","0.770","1.359",""
"8)暖房形態","","","","","","0.36844"
"8)暖房形態／クリ－ン型","1.000","","","","",""
"8)暖房形態／ダ－ティ型","1.079","0.915","1.272","0.869","1.339",""
"9)調理器具の熱源","","","","","","0.84375"
"9)調理器具の熱源／電気","1.000","","","","",""
"9)調理器具の熱源／ガス","0.971","0.725","1.301","0.661","1.426",""
"10)居間・寝室のカーペット使用","","","","","","0.76974"
"10)居間・寝室のカーペット使用／なし","1.000","","","","",""
"10)居間・寝室のカーペット使用／あり","1.026","0.864","1.219","0.818","1.287",""
"11)ペットの室内飼育","","","","","","0.74940"
"11)ペットの室内飼育／なし","1.000","","","","",""
"11)ペットの室内飼育／あり","0.971","0.810","1.164","0.765","1.232",""
"12)定期的な掃除機による布団掃除","","","","","","0.31468"
"12)定期的な掃除機による布団掃除／あり","1.000","","","","",""
"12)定期的な掃除機による布団掃除／なし","0.921","0.785","1.081","0.747","1.137",""
"13)粉塵職場の経験","","","","","","0.21811"
"13)粉塵職場の経験／なし","1.000","","","","",""
"13)粉塵職場の経験／あり","2.279","0.614","8.453","0.407","12.761",""
"14)家庭内受動喫煙","","","","","","0.50511"
"14)家庭内受動喫煙／なし","1.000","","","","",""
"14)家庭内受動喫煙／あり","0.940","0.784","1.127","0.740","1.194",""
"15)職場での受動喫煙","","","","","","0.02553"
"15)職場での受動喫煙／なし","1.000","","","","",""
"15)職場での受動喫煙／あり","1.487","1.050","2.106","0.941","2.350",""
