"","症状有または診断有（n=286）／人数","症状有または診断有（n=286）／割合","症状有（n=282）／人数","症状有（n=282）／割合","診断有（n=284）／人数","診断有（n=284）／割合"
"現在制限または除去している食物数／1種類","157","54.9","153","54.3","154","54.2"
"現在制限または除去している食物数／2種類","69","24.1","69","24.5","69","24.3"
"現在制限または除去している食物数／3種類","28","9.8","28","9.9","28","9.9"
"現在制限または除去している食物数／4種類","16","5.6","16","5.7","16","5.6"
"現在制限または除去している食物数／5種類","3","1.0","3","1.1","3","1.1"
"現在制限または除去している食物数／6種類","6","2.1","6","2.1","6","2.1"
"現在制限または除去している食物数／7種類","5","1.7","5","1.8","5","1.8"
"現在制限または除去している食物数／8種類","2","0.7","2","0.7","2","0.7"
"現在制限または除去している食物数／9種類","1","0.3","1","0.4","1","0.4"
"現在制限または除去している食物数／10種類以上","0","0.0","0","0.0","0","0.0"
