"","施設数","マニュアルやガイドライン等の資料が揃っていなかった／施設数","マニュアルやガイドライン等の資料が揃っていなかった／割合","所・園内でのアレルギー対策に関する話し合いの機会がなかった／施設数","所・園内でのアレルギー対策に関する話し合いの機会がなかった／割合","研修会や講演会に参加する機会がなかった／施設数","研修会や講演会に参加する機会がなかった／割合","相談できる関係機関を把握してなかった／施設数","相談できる関係機関を把握してなかった／割合","職員間で相談できる環境が整っていなかった／施設数","職員間で相談できる環境が整っていなかった／割合","緊急時に備えた訓練をしていなかった／施設数","緊急時に備えた訓練をしていなかった／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","5","2","40.0","1","20.0","","","","","1","20.0","1","20.0","3","60.0","",""
"認証保育所＊","","","","","","","","","","","","","","","","",""
"認定こども園＊","","","","","","","","","","","","","","","","",""
"幼稚園＊","","","","","","","","","","","","","","","","",""
"ベビーホテル","","","","","","","","","","","","","","","","",""
"家庭的保育","","","","","","","","","","","","","","","","",""
"学童保育","1","","","","","","","","","","","1","100.0","1","100.0","",""
"上記以外の施設","","","","","","","","","","","","","","","","",""
"総数","6","2","33.3","1","16.7","","","","","1","16.7","2","33.3","4","66.7","",""
"＊前回調査施設 (再掲）","5","2","40.0","1","20.0","","","","","1","20.0","1","20.0","3","60.0","","" 
