"保険者番号","保険者別","料(税)率／所得割(%)","料(税)率／資産割(%)","料(税)率／均等割(円)","料(税)率／平等割(円)","料(税)率／その他","賦課限度額(千円)","賦課期日現在／所得割の課税対象額(千円)","賦課期日現在／資産割の課税対象額(千円)","賦課期日現在／課税対象世帯数(世帯)","賦課期日現在／課税対象被保険者数(人)","賦課期日現在／軽減世帯数(世帯)","賦課期日現在／災害等による減免世帯数(世帯)","賦課期日現在／その他の減免世帯数(世帯)","賦課期日現在／限度額を超える世帯数(世帯)","所得割の算定基礎","資産割の算定基礎","備考"
"40","奥多摩町","1.60","","11000","","","160","393179","","507","618","237","0","0","2","イ","","-課税(賦課)標準-"
"42","日野市","1.20","","12000","","","160","15464119","","12817","15234","5052","1","28","146","イ","",""
"44","多摩市","1.20","","9000","","","160","14610317","","10880","12998","4237","2","0","107","イ","","所得割の算定基礎"
"45","稲城市","2.19","","13100","","","160","8982589","","5734","7020","2067","0","2","217","イ","",""
"46","国立市","1.15","","9000","","","120","10249581","","5991","7293","2332","4","0","242","イ","","イ 旧ただし書方式による基礎控除後の金額"
"47","狛江市","1.17","","11000","","","160","10418760","","6259","7522","2333","1","5","97","イ","",""
"48","小金井市","1.90","","16000","","","160","11950080","","8112","9735","3046","0","40","270","イ","",""
"49","国分寺市","0.99","","14000","","","140","13954859","","8172","9840","3038","0","5","306","イ","",""
"51","武蔵村山市","1.36","","11100","","","120","7854218","","6226","7822","2494","4","9","119","イ","","ロ 本文方式による所得控除及び基礎控除後の金額"
"52","東大和市","1.75","","10400","","","120","8282867","","6583","8070","2595","0","9","222","イ","",""
"53","東村山市","1.50","","13000","","","160","14772016","","11364","13767","4615","0","10","158","イ","",""
"54","清瀬市","1.80","","15000","","","120","7525647","","5778","7028","2322","1","2","197","イ","",""
"55","東久留米市","1.43","","9000","4500","","160","12335067","","9165","11164","3673","0","4","133","イ","",""
"57","西東京市","1.64","","14300","","","140","21622435","","14985","18107","5801","0","0","478","イ","","ハ 市町村民税の所得割額"
"58","小平市","1.20","","14900","","","140","19844776","","13154","16017","5419","36","0","228","イ","",""
"59","大島町","1.20","8.00","7000","4200","","160","1239248","21438","1028","1238","343","0","0","4","イ","ロ","ニ 市町村民税額等"
"60","利島村","0.40","8.00","5000","3000","","160","42243","1035","36","44","9","0","0","0","イ","ロ",""
"61","新島村","0.70","5.80","7000","4500","","160","362490","9008","344","438","143","0","0","1","イ","ロ","ホ その他"
"62","神津島村","0.58","6.00","6500","6000","","160","524453","9114","301","404","55","0","0","0","イ","ロ",""
"63","三宅村","1.20","17.00","6100","4000","","160","252313","9521","310","370","149","0","0","5","イ","ロ",""
"64","御蔵島村","0.61","16.44","7900","4700","","160","39632","574","33","35","8","0","0","0","イ","ロ","－資産割の算定基礎－"
"65","八丈町","1.50","14.50","10100","5500","","160","1209637","3015","1156","1384","538","0","0","11","イ","ロ",""
"66","青ヶ島村","0.30","10.00","7500","6000","","160","40665","496","23","25","4","0","0","0","イ","ロ","イ 固定資産税額等"
"67","小笠原村","0.42","11.00","5800","3200","","160","453754","7520","333","430","124","0","0","0","イ","ロ","ロ 固定資産税のうち土地家屋に係る部分の額"
"303","全国土木","","","","","","","","","118980","188099","","0","85","0","","",""
"304","東京理容","","","","","","","","","1775","3501","","0","0","0","","",""
"306","東京芸能人","","","","","","","","","3436","4840","","0","0","0","","",""
"307","文芸美術","","","","","","","","","4873","5837","","0","0","0","","","ハ その他"
"309","料理飲食","","","","","","","","","1371","2045","","0","0","0","","",""
"311","東京技芸","","","","","","","","","508","665","","0","0","0","","",""
"313","食品販売","","","","","","","","","20147","33275","","0","3","0","","",""
"314","東京美容","","","","","","","","","4771","6045","","0","0","0","","",""
"315","自転車商","","","","","","","","","403","705","","0","0","0","","",""
"316","青果卸売","","","","","","","","","526","699","","0","0","0","","",""
"317","東京浴場","","","","","","","","","308","595","","0","0","0","","",""
"318","写真材料","","","","","","","","","280","529","","0","0","0","","",""
"319","東京弁護士","","","","","","","","","17065","33324","","0","0","0","","",""
"320","東京薬剤師","","","","","","","","","2777","3163","","0","0","0","","",""
"322","東京都医師","","","","","","","","","12540","16678","","0","0","0","","",""
"323","左官タイル","","","","","","","","","9868","15255","","0","2","0","","",""
"324","建設職能","","","","","","","","","3137","7263","","0","0","0","","",""
"325","東京建設業","","","","","","","","","5978","8986","","0","0","0","","",""
"326","中央建設","","","","","","","","","99660","110429","","270","23","0","","",""
"327","東京土建","","","","","","","","","53570","73058","","1","0","0","","",""
"328","全国板金業","","","","","","","","","9447","21163","","0","2","0","","",""
"329","建設工事業","","","","","","","","","28604","44778","","0","1","0","","",""
