"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","中央区立レインボーハウス明石","社会福祉法人東京都手をつなぐ育成会","中央区","03-6226-1099","小宮","http://www.ikuseikai-tky.or.jp/~iku-r.b.h/","rbh_akashi@ikuseikai-tky.or.jp","クラフトカゴ","生活用品","1","10","１０日","500円/個","発注元による回収希望","無","無","有","赤茶色の商品となります。その他の色については応相談。"
"2","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","縫製小物（マスコット、バッグ、ポーチ等）","生活用品","50個","5000個","6か月","1000円/個","自力での納品可","無","有","有","デザイントートバッグやキャラクタ―マスコットの企画制作が可能。港区：スマートバッグ、民間⇒キャラクターマスコット、その他"
"3","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","洋服（丈詰め、袖詰め）","生活用品","30枚","300枚","1か月","500円/枚","自力での納品可","無","無","有","スーツ等のパンツの丈詰め、ジャケットの袖詰め等"
"4","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","機織り","生活用品","製品による","製品による","製品による","製品による","自力での納品可","無","無","有","手作り品の為、在庫に限りがあります"
"5","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","くるもボタンブローチ（刺繍）","生活用品","10","30","２週間","２００円","自力での納品可","無","無","無",""
"6","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","ハッピーバード（フェルト装飾品）","生活用品","10","30","２週間","６００円","自力での納品可","無","無","無",""
"7","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","キャンディーポーチ（刺繍）","生活用品","5","10","２週間","５００円～","自力での納品可","無","無","有","一般社団法人むすびリボンプロジェクト"
"8","新宿区立新宿生活実習所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-5229-5850","","","shinjyuku@ikuseikai-tky.or.jp","がま口ポーチ（刺繍）","生活用品","3","6","２週間","1600円","自力での納品可","無","無","無",""
"9","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","メモ帳","生活用品","１０個","要相談","適時","１００円～","自力での納品可","無","無","有","当施設キャラクター商品です。付箋タイプもございます。"
"10","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","刺繍加工","生活用品","適量","要相談","適時","５００円～","自力での納品可","無","無","無","布製品（Tシャツ、ミニトートなど）への刺繍を致します。"
"11","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","自主製品(水引しおり/ストラップ他）","生活用品","","２０セット","７営業日(原則）","しおり５００円～ストラップ４００円～","自力での納品可","無","無","有",""
"12","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","パスケース","生活用品","1","50","２ヶ月","１５００／個","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"13","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","マウスパッド","生活用品","1","50","２ヶ月","１２００／枚","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"14","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","ブックカバー","生活用品","1","50","2ヶ月","１５００／枚","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"15","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","アクセサリーの製造","生活用品","1個","5000個","一週間～応相談","応相談","自力での納品可","無","無","有","主に天然石を使ったアクセサリーや数珠の制作を行っています。ご希望のデザインのご相談を承ります。ノベルティなどにご活用ください。"
