"","支払義務額(円)","支払済額(円)","徴収金等(円)","戻入未済額(円)","未払額(円)"
"保険給付費／療養給付費／計","517612667737","518560646945","849774498","98204710","0"
"保険給付費／療養給付費／現年度分（再掲）","517612667737","518560646945","849774498","98204710","0"
"保険給付費／療養費／計","11388362135","11402949508","13877946","709427","0"
"保険給付費／療養費／現年度分（再掲）","11388362135","11402949508","13877946","709427","0"
"保険給付費／高額療養費","64916917868","64962954872","39818320","6218684","0"
"保険給付費／高額介護合算療養費","61857223","61958527","101304","0","0"
"保険給付費／移送費","1394282","1394282","0","0","0"
"保険給付費／その他の保険給付費","6471405424","6491337745","24973248","5523136","10564063"
"後期高齢者支援金","133377252749","133377252749","","","0"
"前期高齢者納付金","82162076","82162076","","","0"
"老人保健医療費拠出金","12658","12658","","","0"
"介護納付金","54266109273","54266109273","","","0"
