"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","533","2100","1711","2875","398","257","143","197","0.8"
"ＴＯＴＡＬ","100","6.5","25.6","20.8","35.0","4.8","3.1","1.7","2.4",""
"性別・年代／女性計","7526","478","1943","1581","2635","364","222","131","172","0.8"
"性別・年代／女性計","100","6.4","25.8","21.0","35.0","4.8","2.9","1.7","2.3",""
"性別・年代／女性２０代","3297","194","754","730","1228","187","101","62","41","0.7"
"性別・年代／女性２０代","100","5.9","22.9","22.1","37.2","5.7","3.1","1.9","1.2",""
"性別・年代／女性３０代","1612","113","435","356","536","74","50","26","22","0.8"
"性別・年代／女性３０代","100","7.0","27.0","22.1","33.3","4.6","3.1","1.6","1.4",""
"性別・年代／女性４０代","1560","102","458","295","523","62","42","31","47","0.8"
"性別・年代／女性４０代","100","6.5","29.4","18.9","33.5","4.0","2.7","2.0","3.0",""
"性別・年代／女性５０代以上","1005","65","284","192","327","40","28","11","58","0.9"
"性別・年代／女性５０代以上","100","6.5","28.3","19.1","32.5","4.0","2.8","1.1","5.8",""
"性別・年代／男性計","380","34","89","75","122","24","19","5","12","0.8"
"性別・年代／男性計","100","8.9","23.4","19.7","32.1","6.3","5.0","1.3","3.2",""
"性別・年代／男性２０代","281","27","67","52","94","15","14","4","8","0.8"
"性別・年代／男性２０代","100","9.6","23.8","18.5","33.5","5.3","5.0","1.4","2.8",""
"性別・年代／男性３０代以上","99","7","22","23","28","9","5","1","4","0.7"
"性別・年代／男性３０代以上","100","7.1","22.2","23.2","28.3","9.1","5.1","1.0","4.0",""
"性別・年代／無回答","308","21","68","55","118","10","16","7","13","0.6"
"性別・年代／無回答","100","6.8","22.1","17.9","38.3","3.2","5.2","2.3","4.2",""
