"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","63","100","3","100","1","100","8","100","8","100","17","100","26","100","12","100","14","100","9","100","3","100"
"男／30mg／dl未満","1","1.6","0","0","0","0","0","0","0","0","1","5.9","0","0","1","8.3","0","0","0","0","0","0"
"男／30～40未満","5","7.9","0","0","0","0","0","0","1","12.5","1","5.9","3","11.5","1","8.3","3","21.4","0","0","0","0"
"男／40～50未満","16","25.4","0","0","0","0","2","25","3","37.5","5","29.4","6","23.1","2","16.7","2","14.3","2","22.2","2","66.7"
"男／50～60未満","18","28.6","0","0","0","0","4","50","3","37.5","3","17.6","8","30.8","3","25","3","21.4","5","55.6","0","0"
"男／60～70未満","12","19","2","66.7","0","0","1","12.5","1","12.5","2","11.8","6","23.1","1","8.3","3","21.4","2","22.2","1","33.3"
"男／70～80未満","7","11.1","0","0","1","100","0","0","0","0","4","23.5","2","7.7","3","25","2","14.3","0","0","0","0"
"男／80～90未満","1","1.6","0","0","0","0","0","0","0","0","0","0","1","3.8","0","0","1","7.1","0","0","0","0"
"男／90～100未満","2","3.2","1","33.3","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／100以上","1","1.6","0","0","0","0","0","0","0","0","1","5.9","0","0","1","8.3","0","0","0","0","0","0"
"男／40以上(再掲)","57","90.5","3","100","1","100","8","100","7","87.5","15","88.2","23","88.5","10","83.3","11","78.6","9","100","3","100"
"男／平均値mg／dl","56.3","","71","","71","","58.3","","48.5","","57.8","","54.8","","58.8","","55.1","","55.6","","50.7",""
"男／標準偏差","15.1","","16.5","","0","","16.8","","8.8","","18.4","","12.8","","20.3","","16.5","","5.6","","10.8",""
"女／総数","92","100","4","100","2","100","25","100","15","100","26","100","20","100","17","100","5","100","12","100","3","100"
"女／30mg／dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／30～40未満","1","1.1","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","1","8.3","0","0"
"女／40～50未満","8","8.7","0","0","0","0","2","8","1","6.7","0","0","5","25","0","0","2","40","3","25","0","0"
"女／50～60未満","15","16.3","1","25","0","0","2","8","3","20","5","19.2","4","20","3","17.6","0","0","2","16.7","2","66.7"
"女／60～70未満","25","27.2","1","25","0","0","7","28","5","33.3","7","26.9","5","25","4","23.5","1","20","4","33.3","0","0"
"女／70～80未満","20","21.7","1","25","1","50","7","28","2","13.3","8","30.8","1","5","7","41.2","0","0","1","8.3","0","0"
"女／80～90未満","15","16.3","0","0","0","0","6","24","3","20","4","15.4","2","10","3","17.6","0","0","1","8.3","1","33.3"
"女／90～100未満","2","2.2","1","25","0","0","0","0","0","0","0","0","1","5","0","0","1","20","0","0","0","0"
"女／100以上","6","6.5","0","0","1","50","1","4","1","6.7","2","7.7","1","5","0","0","1","20","0","0","0","0"
"女／40以上(再掲)","91","98.9","4","100","2","100","25","100","15","100","26","100","19","95","17","100","5","100","11","91.7","3","100"
"女／平均値mg／dl","70","","71.3","","86.5","","72","","70.7","","72.6","","61.7","","70.2","","67.8","","58.8","","63",""
"女／標準偏差","17","","16.9","","19.1","","15.8","","18.2","","15.4","","18.2","","10.6","","26.8","","14.7","","19.2",""
