"","なし","排気あり","排気なし"
"対象者数","7007","1145","5221"
"症状１","6669","1081","4961"
"%","95.18","94.41","95.02"
"症状２","6734","1091","5052"
"%","96.1","95.28","96.76"
"症状３","6439","1043","4806"
"%","91.89","91.09","92.05"
"症状４","6365","1047","4717"
"%","90.84","91.44","90.35"
"症状５","6843","1113","5095"
"%","97.66","97.21","97.59"
"（軽症）間欠型","1691","248","1298"
"%","24.13","21.66","24.86"
"軽症持続型","2611","447","1948"
"%","37.26","39.04","37.31"
"中等症持続型","2136","328","1590"
"%","30.48","28.65","30.45"
"重症持続型","549","120","373"
"%","7.84","10.48","7.14"
"アレ・ダニ・陽性","5008","704","3455"
"%","71.47","61.48","66.18"
"アレ・ダニ・擬陽性","118","21","124"
"%","1.68","1.83","2.38"
"アレ・ダニ・陰性","1594","361","1409"
"%","22.75","31.53","26.99"
"アレ・ハウスダスト・陽性","4723","679","3211"
"%","67.4","59.3","61.5"
"アレ・ハウスダスト・擬陽性","133","22","113"
"%","1.9","1.92","2.16"
"アレ・ハウスダスト・陰性","1554","354","1353"
"%","22.18","30.92","25.91"
